Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
L Aquila,1,24/02/2020,0,0,0,0,0,0
L Aquila,2,25/02/2020,0,0,0,0,0,0
L Aquila,3,26/02/2020,0,0,0,0,0,0
L Aquila,4,27/02/2020,0,0,0,0,0,0
L Aquila,5,28/02/2020,0,0,0,0,0,0
L Aquila,6,29/02/2020,0,0,0,0,0,0
L Aquila,7,01/03/2020,0,0,0,0,0,0
L Aquila,8,02/03/2020,0,0,0,0,0,0
L Aquila,9,03/03/2020,1,1,0,0,0,0.33
L Aquila,10,04/03/2020,0,1,0,0,0,0.33
L Aquila,11,05/03/2020,0,1,0,0,0,0.33
L Aquila,12,06/03/2020,0,1,0,0,0,0.33
L Aquila,13,07/03/2020,0,1,0,0,0,0.33
L Aquila,14,08/03/2020,0,1,0,0,0,0.33
L Aquila,15,09/03/2020,4,5,0,0,0,1.67
L Aquila,16,10/03/2020,1,6,0,0,0,2.01
L Aquila,17,11/03/2020,0,6,0,0,0,2.01
L Aquila,18,12/03/2020,2,8,0,0,0,2.68
L Aquila,19,13/03/2020,1,9,0,0,0,3.01
L Aquila,20,14/03/2020,4,13,0,0,0,4.35
L Aquila,21,15/03/2020,2,15,0,0,0,5.02
L Aquila,22,16/03/2020,3,18,0,0,0,6.02
L Aquila,23,17/03/2020,1,19,0,0,0,6.35
L Aquila,24,18/03/2020,1,20,0,0,0,6.69
L Aquila,25,19/03/2020,5,25,0,0,0,8.36
L Aquila,26,20/03/2020,4,29,0,0,0,9.7
L Aquila,27,21/03/2020,2,31,0,0,0,10.37
L Aquila,28,22/03/2020,7,38,1,1,0.026,12.71
L Aquila,29,23/03/2020,2,40,0,1,0.025,13.38
L Aquila,30,24/03/2020,7,47,0,1,0.021,15.72
L Aquila,31,25/03/2020,13,60,1,2,0.033,20.06
L Aquila,32,26/03/2020,4,64,0,2,0.031,21.4
L Aquila,33,27/03/2020,11,75,1,3,0.04,25.08
L Aquila,34,28/03/2020,13,88,0,3,0.034,29.43
L Aquila,35,29/03/2020,13,101,1,4,0.04,33.78
L Aquila,36,30/03/2020,14,115,0,4,0.035,38.46
L Aquila,37,31/03/2020,8,123,0,4,0.033,41.13
L Aquila,38,01/04/2020,5,128,1,5,0.039,42.8
L Aquila,39,02/04/2020,12,140,0,5,0.036,46.82
L Aquila,40,03/04/2020,26,166,1,6,0.036,55.51
L Aquila,41,04/04/2020,8,174,0,6,0.034,58.19
L Aquila,42,05/04/2020,5,179,1,7,0.039,59.86
L Aquila,43,06/04/2020,4,183,0,7,0.038,61.2
L Aquila,44,07/04/2020,6,189,0,7,0.037,63.2
L Aquila,45,08/04/2020,8,197,0,7,0.036,65.88
L Aquila,46,09/04/2020,2,199,0,7,0.035,66.55
L Aquila,47,10/04/2020,14,213,0,7,0.033,71.23
L Aquila,48,11/04/2020,5,218,0,7,0.032,72.9
L Aquila,49,12/04/2020,2,220,1,8,0.036,73.57
L Aquila,50,13/04/2020,0,220,0,8,0.036,73.57
L Aquila,51,14/04/2020,8,228,0,8,0.035,76.25
L Aquila,52,15/04/2020,1,229,0,8,0.035,76.58
L Aquila,53,16/04/2020,3,232,0,8,0.034,77.58
L Aquila,54,17/04/2020,1,233,0,8,0.034,77.92
L Aquila,55,18/04/2020,0,233,0,8,0.034,77.92
L Aquila,56,19/04/2020,4,237,0,8,0.034,79.26
L Aquila,57,20/04/2020,0,237,0,8,0.034,79.26
L Aquila,58,21/04/2020,1,238,1,9,0.038,79.59
L Aquila,59,22/04/2020,0,238,0,9,0.038,79.59
L Aquila,60,23/04/2020,3,241,0,9,0.037,80.59
L Aquila,61,24/04/2020,0,241,0,9,0.037,80.59
L Aquila,62,25/04/2020,-1,240,0,9,0.038,80.26
L Aquila,63,26/04/2020,1,241,0,9,0.037,80.59
L Aquila,64,27/04/2020,1,242,0,9,0.037,80.93
L Aquila,65,28/04/2020,2,244,0,9,0.037,81.6
L Aquila,66,29/04/2020,0,244,0,9,0.037,81.6
L Aquila,67,30/04/2020,-1,243,1,10,0.041,81.26
L Aquila,68,01/05/2020,0,243,0,10,0.041,81.26
L Aquila,69,02/05/2020,0,243,0,10,0.041,81.26
L Aquila,70,03/05/2020,0,243,0,10,0.041,81.26
L Aquila,71,04/05/2020,-1,242,0,10,0.041,80.93
L Aquila,72,05/05/2020,0,242,0,10,0.041,80.93
L Aquila,73,06/05/2020,0,242,0,10,0.041,80.93
L Aquila,74,07/05/2020,1,243,0,10,0.041,81.26
L Aquila,75,08/05/2020,0,243,0,10,0.041,81.26
L Aquila,76,09/05/2020,0,243,0,10,0.041,81.26
L Aquila,77,10/05/2020,0,243,0,10,0.041,81.26
L Aquila,78,11/05/2020,0,243,0,10,0.041,81.26
L Aquila,79,12/05/2020,1,244,0,10,0.041,81.6
L Aquila,80,13/05/2020,0,244,0,10,0.041,81.6
L Aquila,81,14/05/2020,2,246,0,10,0.041,82.27
L Aquila,82,15/05/2020,0,246,1,11,0.045,82.27
L Aquila,83,16/05/2020,0,246,0,11,0.045,82.27
L Aquila,84,17/05/2020,0,246,0,11,0.045,82.27
L Aquila,85,18/05/2020,0,246,1,12,0.049,82.27
L Aquila,86,19/05/2020,0,246,0,12,0.049,82.27
L Aquila,87,20/05/2020,0,246,0,12,0.049,82.27
L Aquila,88,21/05/2020,0,246,0,12,0.049,82.27
L Aquila,89,22/05/2020,0,246,0,12,0.049,82.27
L Aquila,90,23/05/2020,0,246,0,12,0.049,82.27
L Aquila,91,24/05/2020,0,246,0,12,0.049,82.27
L Aquila,92,25/05/2020,0,246,0,12,0.049,82.27
L Aquila,93,26/05/2020,0,246,0,12,0.049,82.27
L Aquila,94,27/05/2020,0,246,0,12,0.049,82.27
L Aquila,95,28/05/2020,-1,245,0,12,0.049,81.93
L Aquila,96,29/05/2020,1,246,0,12,0.049,82.27
L Aquila,97,30/05/2020,0,246,0,12,0.049,82.27
L Aquila,98,31/05/2020,0,246,0,12,0.049,82.27
L Aquila,99,01/06/2020,0,246,0,12,0.049,82.27
L Aquila,100,02/06/2020,0,246,0,12,0.049,82.27
L Aquila,101,03/06/2020,1,247,0,12,0.049,82.6
L Aquila,102,04/06/2020,0,247,0,12,0.049,82.6
L Aquila,103,05/06/2020,0,247,0,12,0.049,82.6
L Aquila,104,06/06/2020,0,247,0,12,0.049,82.6
L Aquila,105,07/06/2020,0,247,0,12,0.049,82.6
L Aquila,106,08/06/2020,0,247,0,12,0.049,82.6
L Aquila,107,09/06/2020,0,247,0,12,0.049,82.6
L Aquila,108,10/06/2020,-1,246,0,12,0.049,82.27
L Aquila,109,11/06/2020,0,246,0,12,0.049,82.27
L Aquila,110,12/06/2020,0,246,0,12,0.049,82.27
L Aquila,111,13/06/2020,0,246,0,12,0.049,82.27
L Aquila,112,14/06/2020,1,247,0,12,0.049,82.6
L Aquila,113,15/06/2020,0,247,0,12,0.049,82.6
L Aquila,114,16/06/2020,0,247,0,12,0.049,82.6
L Aquila,115,17/06/2020,-1,246,0,12,0.049,82.27
L Aquila,116,18/06/2020,0,246,0,12,0.049,82.27
L Aquila,117,19/06/2020,0,246,0,12,0.049,82.27
L Aquila,118,20/06/2020,0,246,0,12,0.049,82.27
L Aquila,119,21/06/2020,0,246,0,12,0.049,82.27
L Aquila,120,22/06/2020,-1,245,0,12,0.049,81.93
L Aquila,121,23/06/2020,0,245,0,12,0.049,81.93
L Aquila,122,24/06/2020,-21,224,0,12,0.054,74.91
L Aquila,123,25/06/2020,0,224,0,12,0.054,74.91
L Aquila,124,26/06/2020,1,225,0,12,0.053,75.24
L Aquila,125,27/06/2020,0,225,0,12,0.053,75.24
L Aquila,126,28/06/2020,0,225,0,12,0.053,75.24
L Aquila,127,29/06/2020,0,225,0,12,0.053,75.24
L Aquila,128,30/06/2020,0,225,0,12,0.053,75.24
L Aquila,129,01/07/2020,0,225,0,12,0.053,75.24
L Aquila,130,02/07/2020,0,225,0,12,0.053,75.24
L Aquila,131,03/07/2020,1,226,0,12,0.053,75.58
L Aquila,132,04/07/2020,2,228,0,12,0.053,76.25
L Aquila,133,05/07/2020,2,230,0,12,0.052,76.92
L Aquila,134,06/07/2020,-1,229,0,12,0.052,76.58
L Aquila,135,07/07/2020,0,229,0,12,0.052,76.58
L Aquila,136,08/07/2020,0,229,0,12,0.052,76.58
L Aquila,137,09/07/2020,8,237,0,12,0.051,79.26
L Aquila,138,10/07/2020,1,238,0,12,0.05,79.59
L Aquila,139,11/07/2020,0,238,0,12,0.05,79.59
L Aquila,140,12/07/2020,3,241,0,12,0.05,80.59
L Aquila,141,13/07/2020,-1,240,0,12,0.05,80.26
L Aquila,142,14/07/2020,0,240,0,12,0.05,80.26
L Aquila,143,15/07/2020,0,240,0,12,0.05,80.26
L Aquila,144,16/07/2020,4,244,0,12,0.049,81.6
L Aquila,145,17/07/2020,0,244,0,12,0.049,81.6
L Aquila,146,18/07/2020,0,244,0,12,0.049,81.6
L Aquila,147,19/07/2020,0,244,0,12,0.049,81.6
L Aquila,148,20/07/2020,1,245,0,12,0.049,81.93
L Aquila,149,21/07/2020,2,247,1,13,0.053,82.6
L Aquila,150,22/07/2020,0,247,0,13,0.053,82.6
L Aquila,151,23/07/2020,2,249,0,13,0.052,83.27
L Aquila,152,24/07/2020,0,249,0,13,0.052,83.27
L Aquila,153,25/07/2020,0,249,0,13,0.052,83.27
L Aquila,154,26/07/2020,0,249,0,13,0.052,83.27
L Aquila,155,27/07/2020,7,256,1,14,0.055,85.61
L Aquila,156,28/07/2020,0,256,0,14,0.055,85.61
L Aquila,157,29/07/2020,0,256,0,14,0.055,85.61
L Aquila,158,30/07/2020,1,257,0,14,0.054,85.94
L Aquila,159,31/07/2020,2,259,0,14,0.054,86.61
L Aquila,160,01/08/2020,0,259,0,14,0.054,86.61
L Aquila,161,02/08/2020,0,259,0,14,0.054,86.61
L Aquila,162,03/08/2020,1,260,0,14,0.054,86.95
L Aquila,163,04/08/2020,0,260,0,14,0.054,86.95
L Aquila,164,05/08/2020,0,260,0,14,0.054,86.95
L Aquila,165,06/08/2020,8,268,0,14,0.052,89.62
L Aquila,166,07/08/2020,2,270,0,14,0.052,90.29
L Aquila,167,08/08/2020,0,270,0,14,0.052,90.29
L Aquila,168,09/08/2020,5,275,0,14,0.051,91.96
L Aquila,169,10/08/2020,0,275,0,14,0.051,91.96
L Aquila,170,11/08/2020,9,284,0,14,0.049,94.97
L Aquila,171,12/08/2020,4,288,0,14,0.049,96.31
L Aquila,172,13/08/2020,2,290,0,14,0.048,96.98
L Aquila,173,14/08/2020,3,293,0,14,0.048,97.98
L Aquila,174,15/08/2020,7,300,0,14,0.047,100.32
L Aquila,175,16/08/2020,2,302,0,14,0.046,100.99
L Aquila,176,17/08/2020,3,305,0,14,0.046,102
L Aquila,177,18/08/2020,0,305,0,14,0.046,102
L Aquila,178,19/08/2020,2,307,0,14,0.046,102.66
L Aquila,179,20/08/2020,1,308,0,14,0.045,103
L Aquila,180,21/08/2020,13,321,0,14,0.044,107.35
L Aquila,181,22/08/2020,8,329,0,14,0.043,110.02
L Aquila,182,23/08/2020,12,341,0,14,0.041,114.03
L Aquila,183,24/08/2020,4,345,0,14,0.041,115.37
L Aquila,184,25/08/2020,5,350,0,14,0.04,117.04
L Aquila,185,26/08/2020,16,366,0,14,0.038,122.4
L Aquila,186,27/08/2020,11,377,0,14,0.037,126.07
L Aquila,187,28/08/2020,11,388,0,14,0.036,129.75
L Aquila,188,29/08/2020,8,396,0,14,0.035,132.43
L Aquila,189,30/08/2020,20,416,0,14,0.034,139.12
L Aquila,190,31/08/2020,6,422,0,14,0.033,141.12
L Aquila,191,01/09/2020,4,426,0,14,0.033,142.46
L Aquila,192,02/09/2020,19,445,0,14,0.031,148.81
L Aquila,193,03/09/2020,16,461,0,14,0.03,154.16
L Aquila,194,04/09/2020,20,481,0,14,0.029,160.85
L Aquila,195,05/09/2020,10,491,0,14,0.029,164.2
L Aquila,196,06/09/2020,16,507,0,14,0.028,169.55
L Aquila,197,07/09/2020,12,519,0,14,0.027,173.56
L Aquila,198,08/09/2020,1,520,0,14,0.027,173.9
L Aquila,199,09/09/2020,37,557,0,14,0.025,186.27
L Aquila,200,10/09/2020,9,566,0,14,0.025,189.28
L Aquila,201,11/09/2020,4,570,0,14,0.025,190.62
L Aquila,202,12/09/2020,-17,553,0,14,0.025,184.93
L Aquila,203,13/09/2020,5,558,0,14,0.025,186.6
L Aquila,204,14/09/2020,-1,557,0,14,0.025,186.27
L Aquila,205,15/09/2020,9,566,0,14,0.025,189.28
L Aquila,206,16/09/2020,4,570,0,14,0.025,190.62
L Aquila,207,17/09/2020,2,572,0,14,0.024,191.28
L Aquila,208,18/09/2020,12,584,1,15,0.026,195.3
L Aquila,209,19/09/2020,0,584,0,15,0.026,195.3
L Aquila,210,20/09/2020,0,584,0,15,0.026,195.3
L Aquila,211,21/09/2020,11,595,0,15,0.025,198.98
L Aquila,212,22/09/2020,1,596,0,15,0.025,199.31
L Aquila,213,23/09/2020,4,600,0,15,0.025,200.65
L Aquila,214,24/09/2020,6,606,0,15,0.025,202.65
L Aquila,215,25/09/2020,10,616,0,15,0.024,206
L Aquila,216,26/09/2020,8,624,0,15,0.024,208.67
L Aquila,217,27/09/2020,0,624,0,15,0.024,208.67
L Aquila,218,28/09/2020,1,625,0,15,0.024,209.01
L Aquila,219,29/09/2020,6,631,0,15,0.024,211.01
L Aquila,220,30/09/2020,0,631,0,15,0.024,211.01
L Aquila,221,01/10/2020,9,640,0,15,0.023,214.02
L Aquila,222,02/10/2020,10,650,0,15,0.023,217.37
L Aquila,223,03/10/2020,7,657,0,15,0.023,219.71
