Province;Day;Date;New_cases;Curr_pos_cases;Deaths;Tot_deaths;Lethality_rate;Cumul_rates
Pescara;  1;24/02/2020;  0;   0; 0;  0;0,00000000;1e+05
Pescara;  2;25/02/2020;  0;   0; 0;  0;0,00000000;1e+05
Pescara;  3;26/02/2020;  0;   0; 0;  0;0,00000000;1e+05
Pescara;  4;27/02/2020;  0;   0; 0;  0;0,00000000;1e+05
Pescara;  5;28/02/2020;  0;   0; 0;  0;0,00000000;1e+05
Pescara;  6;29/02/2020;  0;   0; 0;  0;0,00000000;1e+05
Pescara;  7;01/03/2020;  0;   0; 0;  0;0,00000000;1e+05
Pescara;  8;02/03/2020;  0;   0; 0;  0;0,00000000;1e+05
Pescara;  9;03/03/2020;  1;   1; 0;  0;0,00000000;1e+05
Pescara; 10;04/03/2020;  0;   1; 0;  0;0,00000000;1e+05
Pescara; 11;05/03/2020;  0;   1; 0;  0;0,00000000;1e+05
Pescara; 12;06/03/2020;  0;   1; 0;  0;0,00000000;1e+05
Pescara; 13;07/03/2020;  1;   2; 0;  0;0,00000000;1e+05
Pescara; 14;08/03/2020;  6;   8; 0;  0;0,00000000;1e+05
Pescara; 15;09/03/2020;  6;  14; 0;  0;0,00000000;1e+05
Pescara; 16;10/03/2020;  4;  18; 1;  1;0,05555556;1e+05
Pescara; 17;11/03/2020;  0;  18; 0;  1;0,05555556;1e+05
Pescara; 18;12/03/2020; 30;  48; 0;  1;0,02083333;1e+05
Pescara; 19;13/03/2020;  0;  48; 0;  1;0,02083333;1e+05
Pescara; 20;14/03/2020; 17;  65; 0;  1;0,01538462;1e+05
Pescara; 21;15/03/2020; 17;  82; 0;  1;0,01219512;1e+05
Pescara; 22;16/03/2020; 19; 101; 1;  2;0,01980198;1e+05
Pescara; 23;17/03/2020; 37; 138; 0;  2;0,01449275;1e+05
Pescara; 24;18/03/2020; 22; 160; 0;  2;0,01250000;1e+05
Pescara; 25;19/03/2020; 63; 223; 2;  4;0,01793722;1e+05
Pescara; 26;20/03/2020; 36; 259; 4;  8;0,03088803;1e+05
Pescara; 27;21/03/2020; 43; 302; 3; 11;0,03642384;1e+05
Pescara; 28;22/03/2020; 32; 334; 7; 18;0,05389222;1e+05
Pescara; 29;23/03/2020; 36; 370; 3; 21;0,05675676;1e+05
Pescara; 30;24/03/2020; -1; 369; 3; 24;0,06504065;1e+05
Pescara; 31;25/03/2020; 43; 412; 2; 26;0,06310680;1e+05
Pescara; 32;26/03/2020; 33; 445; 5; 31;0,06966292;1e+05
Pescara; 33;27/03/2020; 31; 476; 3; 34;0,07142857;1e+05
Pescara; 34;28/03/2020; 36; 512; 2; 36;0,07031250;1e+05
Pescara; 35;29/03/2020; 64; 576; 4; 40;0,06944444;1e+05
Pescara; 36;30/03/2020; 18; 594;12; 52;0,08754209;1e+05
Pescara; 37;31/03/2020; 28; 622; 6; 58;0,09324759;1e+05
Pescara; 38;01/04/2020;  9; 631; 3; 61;0,09667195;1e+05
Pescara; 39;02/04/2020; 15; 646;10; 71;0,10990712;1e+05
Pescara; 40;03/04/2020; 23; 669; 7; 78;0,11659193;1e+05
Pescara; 41;04/04/2020; 31; 700; 4; 82;0,11714286;1e+05
Pescara; 42;05/04/2020; 27; 727; 2; 84;0,11554333;1e+05
Pescara; 43;06/04/2020;  1; 728; 6; 90;0,12362637;1e+05
Pescara; 44;07/04/2020; 28; 756; 1; 91;0,12037037;1e+05
Pescara; 45;08/04/2020; 15; 771; 4; 95;0,12321660;1e+05
Pescara; 46;09/04/2020; 34; 805; 3; 98;0,12173913;1e+05
Pescara; 47;10/04/2020; 33; 838; 3;101;0,12052506;1e+05
Pescara; 48;11/04/2020; 31; 869; 3;104;0,11967779;1e+05
Pescara; 49;12/04/2020; 20; 889; 2;106;0,11923510;1e+05
Pescara; 50;13/04/2020; 41; 930; 7;113;0,12150538;1e+05
Pescara; 51;14/04/2020; 17; 947; 2;115;0,12143611;1e+05
Pescara; 52;15/04/2020; 24; 971; 5;120;0,12358393;1e+05
Pescara; 53;16/04/2020; 34;1005; 1;121;0,12039801;1e+05
Pescara; 54;17/04/2020; 37;1042; 1;122;0,11708253;1e+05
Pescara; 55;18/04/2020; 29;1071; 2;124;0,11577965;1e+05
Pescara; 56;19/04/2020; 23;1094; 2;126;0,11517368;1e+05
Pescara; 57;20/04/2020; 49;1143; 1;127;0,11111111;1e+05
Pescara; 58;21/04/2020; 47;1190; 3;130;0,10924370;1e+05
Pescara; 59;22/04/2020; 25;1215; 3;133;0,10946502;1e+05
Pescara; 60;23/04/2020; 21;1236; 2;135;0,10922330;1e+05
Pescara; 61;24/04/2020;  8;1244; 4;139;0,11173633;1e+05
Pescara; 62;25/04/2020;  9;1253; 6;145;0,11572227;1e+05
Pescara; 63;26/04/2020;  7;1260; 1;146;0,11587302;1e+05
Pescara; 64;27/04/2020; 14;1274; 2;148;0,11616954;1e+05
Pescara; 65;28/04/2020; -4;1270; 7;155;0,12204724;1e+05
Pescara; 66;29/04/2020; 15;1285; 2;157;0,12217899;1e+05
Pescara; 67;30/04/2020;  7;1292; 2;159;0,12306501;1e+05
Pescara; 68;01/05/2020; 15;1307; 2;161;0,12318286;1e+05
Pescara; 69;02/05/2020;  9;1316; 1;162;0,12310030;1e+05
Pescara; 70;03/05/2020; 31;1347; 3;165;0,12249443;1e+05
Pescara; 71;04/05/2020;  4;1351; 2;167;0,12361214;1e+05
Pescara; 72;05/05/2020; 24;1375; 3;170;0,12363636;1e+05
Pescara; 73;06/05/2020; 25;1400; 5;175;0,12500000;1e+05
Pescara; 74;07/05/2020; 21;1421; 4;179;0,12596763;1e+05
Pescara; 75;08/05/2020;  2;1423; 2;181;0,12719606;1e+05
Pescara; 76;09/05/2020;  7;1430; 1;182;0,12727273;1e+05
Pescara; 77;10/05/2020; 14;1444; 4;186;0,12880886;1e+05
Pescara; 78;11/05/2020;  4;1448; 4;190;0,13121547;1e+05
Pescara; 79;12/05/2020;  0;1448; 4;194;0,13397790;1e+05
Pescara; 80;13/05/2020; 12;1460; 3;197;0,13493151;1e+05
Pescara; 81;14/05/2020;  7;1467; 4;201;0,13701431;1e+05
Pescara; 82;15/05/2020;  7;1474; 1;202;0,13704206;1e+05
Pescara; 83;16/05/2020;  9;1483; 1;203;0,13688469;1e+05
Pescara; 84;17/05/2020;  5;1488; 1;204;0,13709677;1e+05
Pescara; 85;18/05/2020; -1;1487; 2;206;0,13853396;1e+05
Pescara; 86;19/05/2020;  4;1491; 1;207;0,13883300;1e+05
Pescara; 87;20/05/2020;  6;1497; 0;207;0,13827655;1e+05
Pescara; 88;21/05/2020;  9;1506; 1;208;0,13811421;1e+05
Pescara; 89;22/05/2020;  3;1509; 1;209;0,13850232;1e+05
Pescara; 90;23/05/2020; -1;1508; 0;209;0,13859416;1e+05
Pescara; 91;24/05/2020;  4;1512; 4;213;0,14087302;1e+05
Pescara; 92;25/05/2020;  0;1512; 2;215;0,14219577;1e+05
Pescara; 93;26/05/2020;  1;1513; 0;215;0,14210179;1e+05
Pescara; 94;27/05/2020;  2;1515; 0;215;0,14191419;1e+05
Pescara; 95;28/05/2020;  3;1518; 1;216;0,14229249;1e+05
Pescara; 96;29/05/2020; -1;1517; 0;216;0,14238629;1e+05
Pescara; 97;30/05/2020;  0;1517; 0;216;0,14238629;1e+05
Pescara; 98;31/05/2020;  5;1522; 1;217;0,14257556;1e+05
Pescara; 99;01/06/2020;  0;1522; 0;217;0,14257556;1e+05
Pescara;100;02/06/2020;  0;1522; 3;220;0,14454665;1e+05
Pescara;101;03/06/2020;  2;1524; 1;221;0,14501312;1e+05
Pescara;102;04/06/2020;  2;1526; 1;222;0,14547837;1e+05
Pescara;103;05/06/2020;  1;1527; 0;222;0,14538310;1e+05
Pescara;104;06/06/2020; -3;1524; 2;224;0,14698163;1e+05
Pescara;105;07/06/2020;  7;1531; 0;224;0,14630960;1e+05
Pescara;106;08/06/2020;  0;1531; 0;224;0,14630960;1e+05
Pescara;107;09/06/2020;  1;1532; 1;225;0,14686684;1e+05
Pescara;108;10/06/2020;  1;1533; 1;226;0,14742335;1e+05
Pescara;109;11/06/2020;  1;1534; 0;226;0,14732725;1e+05
Pescara;110;12/06/2020;  2;1536; 0;226;0,14713542;1e+05
Pescara;111;13/06/2020;  2;1538; 1;227;0,14759428;1e+05
Pescara;112;14/06/2020;  1;1539; 0;227;0,14749838;1e+05
Pescara;113;15/06/2020;  0;1539; 0;227;0,14749838;1e+05
Pescara;114;16/06/2020;  1;1540; 1;228;0,14805195;1e+05
Pescara;115;17/06/2020;  1;1541; 0;228;0,14795587;1e+05
Pescara;116;18/06/2020;  0;1541; 0;228;0,14795587;1e+05
Pescara;117;19/06/2020;  1;1542; 1;229;0,14850843;1e+05
Pescara;118;20/06/2020;  0;1542; 0;229;0,14850843;1e+05
Pescara;119;21/06/2020;  0;1542; 0;229;0,14850843;1e+05
Pescara;120;22/06/2020;  1;1543; 1;230;0,14906027;1e+05
Pescara;121;23/06/2020;  0;1543; 0;230;0,14906027;1e+05
Pescara;122;24/06/2020; 42;1585; 1;231;0,14574133;1e+05
Pescara;123;25/06/2020;  0;1585; 0;231;0,14574133;1e+05
Pescara;124;26/06/2020;  1;1586; 0;231;0,14564943;1e+05
Pescara;125;27/06/2020;  0;1586; 0;231;0,14564943;1e+05
Pescara;126;28/06/2020;  0;1586; 1;232;0,14627995;1e+05
Pescara;127;29/06/2020;  0;1586; 0;232;0,14627995;1e+05
Pescara;128;30/06/2020;  0;1586; 1;233;0,14691047;1e+05
Pescara;129;01/07/2020;  1;1587; 0;233;0,14681790;1e+05
Pescara;130;02/07/2020;  1;1588; 0;233;0,14672544;1e+05
Pescara;131;03/07/2020; -1;1587; 0;233;0,14681790;1e+05
Pescara;132;04/07/2020;  3;1590; 0;233;0,14654088;1e+05
Pescara;133;05/07/2020;  2;1592; 0;233;0,14635678;1e+05
Pescara;134;06/07/2020;  0;1592; 0;233;0,14635678;1e+05
Pescara;135;07/07/2020;  0;1592; 0;233;0,14635678;1e+05
Pescara;136;08/07/2020;  1;1593; 0;233;0,14626491;1e+05
Pescara;137;09/07/2020;  0;1593; 0;233;0,14626491;1e+05
Pescara;138;10/07/2020;  2;1595; 0;233;0,14608151;1e+05
Pescara;139;11/07/2020;  2;1597; 0;233;0,14589856;1e+05
Pescara;140;12/07/2020;  1;1598; 1;234;0,14643304;1e+05
Pescara;141;13/07/2020;  0;1598; 0;234;0,14643304;1e+05
Pescara;142;14/07/2020;  0;1598; 0;234;0,14643304;1e+05
Pescara;143;15/07/2020;  1;1599; 0;234;0,14634146;1e+05
Pescara;144;16/07/2020;  0;1599; 1;235;0,14696685;1e+05
Pescara;145;17/07/2020;  0;1599; 0;235;0,14696685;1e+05
Pescara;146;18/07/2020;  1;1600; 0;235;0,14687500;1e+05
Pescara;147;19/07/2020;  0;1600; 0;235;0,14687500;1e+05
Pescara;148;20/07/2020;  1;1601; 0;235;0,14678326;1e+05
Pescara;149;21/07/2020; -1;1600; 1;236;0,14750000;1e+05
Pescara;150;22/07/2020;  1;1601; 0;236;0,14740787;1e+05
Pescara;151;23/07/2020;  4;1605; 0;236;0,14704050;1e+05
Pescara;152;24/07/2020;  4;1609; 0;236;0,14667495;1e+05
Pescara;153;25/07/2020;  2;1611; 0;236;0,14649286;1e+05
Pescara;154;26/07/2020;  1;1612; 0;236;0,14640199;1e+05
Pescara;155;27/07/2020;  0;1612; 0;236;0,14640199;1e+05
Pescara;156;28/07/2020;  1;1613; 0;236;0,14631122;1e+05
Pescara;157;29/07/2020;  0;1613; 0;236;0,14631122;1e+05
Pescara;158;30/07/2020;  1;1614; 0;236;0,14622057;1e+05
Pescara;159;31/07/2020;  1;1615; 0;236;0,14613003;1e+05
Pescara;160;01/08/2020;  5;1620; 0;236;0,14567901;1e+05
Pescara;161;02/08/2020;  0;1620; 0;236;0,14567901;1e+05
Pescara;162;03/08/2020;  8;1628; 0;236;0,14496314;1e+05
Pescara;163;04/08/2020;  1;1629; 0;236;0,14487416;1e+05
Pescara;164;05/08/2020;  2;1631; 0;236;0,14469651;1e+05
Pescara;165;06/08/2020;  4;1635; 0;236;0,14434251;1e+05
Pescara;166;07/08/2020;  3;1638; 0;236;0,14407814;1e+05
Pescara;167;08/08/2020;  0;1638; 0;236;0,14407814;1e+05
Pescara;168;09/08/2020;  0;1638; 0;236;0,14407814;1e+05
Pescara;169;10/08/2020;  0;1638; 0;236;0,14407814;1e+05
Pescara;170;11/08/2020;  1;1639; 0;236;0,14407814;1e+05
Pescara;171;12/08/2020;  1;1640; 0;236;0,14407814;1e+05
Pescara;172;13/08/2020;  1;1641; 0;236;0,14407814;1e+05
Pescara;173;14/08/2020;  7;1648; 0;236;0,14407814;1e+05
Pescara;174;15/08/2020;  3;1651; 0;236;0,14407814;1e+05
Pescara;175;16/08/2020;  0;1651; 0;236;0,14407814;1e+05
Pescara;176;17/08/2020;  2;1653; 0;236;0,14277072;1e+05
Pescara;177;18/08/2020;  1;1654; 0;236;0,14242607;1e+05
Pescara;178;19/08/2020;  3;1657; 0;236;0,14242607;1e+05
Pescara;179;20/08/2020;  1;1658; 0;236;0,14234017;1e+05
Pescara;180;21/08/2020;  5;1663; 0;236;0,14191221;1e+05
Pescara;181;22/08/2020;  7;1670; 0;236;0,14131737;1e+05
Pescara;182;23/08/2020;  4;1674; 0;236;0,14097969;1e+05
Pescara;183;24/08/2020;  0;1674; 0;236;0,14097969;1e+05
Pescara;184;25/08/2020;  2;1676; 0;236;0,14081146;1e+05
Pescara;185;26/08/2020;  4;1680; 0;236;0,14047619;1e+05
Pescara;186;27/08/2020;  2;1682; 0;236;0,14030916;1e+05
Pescara;187;28/08/2020;  4;1686; 0;236;0,13997628;1e+05
Pescara;188;29/08/2020;  1;1687; 0;236;0,13989330;1e+05
Pescara;189;30/08/2020;  4;1691; 0;236;0,13956239;1e+05
Pescara;190;31/08/2020;  3;1694; 0;236;0,13931523;1e+05
Pescara;191;01/09/2020;  0;1694; 0;236;0,13931523;1e+05
Pescara;192;02/09/2020;  4;1698; 0;236;0,13898704;1e+05
Pescara;193;03/09/2020;  2;1700; 0;236;0,13882353;1e+05
