Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Teramo,1,24/02/2020,0,0,0,0,0.0,0
Teramo,2,25/02/2020,0,0,0,0,0.0,0
Teramo,3,26/02/2020,0,0,0,0,0.0,0
Teramo,4,27/02/2020,1,1,0,0,0.0,0.324620519
Teramo,5,28/02/2020,0,1,0,0,0.0,0.324620519
Teramo,6,29/02/2020,1,2,0,0,0.0,0.649241037
Teramo,7,01/03/2020,3,5,0,0,0.0,1.623.102.593
Teramo,8,02/03/2020,0,5,0,0,0.0,1.623.102.593
Teramo,9,03/03/2020,-2,3,0,0,0.0,0.973861556
Teramo,10,04/03/2020,0,3,0,0,0.0,0.973861556
Teramo,11,05/03/2020,1,4,0,0,0.0,1.298.482.074
Teramo,12,06/03/2020,0,4,0,0,0.0,1.298.482.074
Teramo,13,07/03/2020,0,4,0,0,0.0,1.298.482.074
Teramo,14,08/03/2020,0,4,0,0,0.0,1.298.482.074
Teramo,15,09/03/2020,0,4,0,0,0.0,1.298.482.074
Teramo,16,10/03/2020,1,5,0,0,0.0,1.623.102.593
Teramo,17,11/03/2020,0,5,0,0,0.0,1.623.102.593
Teramo,18,12/03/2020,3,8,1,1,0.125,2.596.964.149
Teramo,19,13/03/2020,1,9,0,1,0.111,2.921.584.668
Teramo,20,14/03/2020,0,9,0,1,0.111,2.921.584.668
Teramo,21,15/03/2020,1,10,0,1,0.1,3.246.205.186
Teramo,22,16/03/2020,9,19,0,1,0.053,6.167.789.854
Teramo,23,17/03/2020,12,31,2,3,0.09699999999999999,1.006.323.608
Teramo,24,18/03/2020,8,39,0,3,0.077,1.266.020.023
Teramo,25,19/03/2020,29,68,1,4,0.059000000000000004,2.207.419.527
Teramo,26,20/03/2020,13,81,1,5,0.062,2.629.426.201
Teramo,27,21/03/2020,24,105,3,8,0.076,3.408.515.445
Teramo,28,22/03/2020,8,113,1,9,0.08,366.821.186
Teramo,29,23/03/2020,11,124,2,11,0.08900000000000001,4.025.294.431
Teramo,30,24/03/2020,16,140,2,13,0.09300000000000001,4.544.687.261
Teramo,31,25/03/2020,55,195,1,14,0.07200000000000001,6.330.100.113
Teramo,32,26/03/2020,67,262,1,15,0.057,8.505.057.588
Teramo,33,27/03/2020,15,277,0,15,0.054000000000000006,8.991.988.366
Teramo,34,28/03/2020,27,304,3,18,0.059000000000000004,9.868.463.766
Teramo,35,29/03/2020,46,350,5,23,0.066,1.136.171.815
Teramo,36,30/03/2020,13,363,1,24,0.066,1.178.372.483
Teramo,37,31/03/2020,13,376,4,28,0.07400000000000001,122.057.315
Teramo,38,01/04/2020,9,385,1,29,0.075,1.249.788.997
Teramo,39,02/04/2020,27,412,0,29,0.07,1.337.436.537
Teramo,40,03/04/2020,6,418,1,30,0.07200000000000001,13.569.137.680.000.000
Teramo,41,04/04/2020,19,437,1,31,0.071,1.418.591.666
Teramo,42,05/04/2020,35,472,2,33,0.07,15.322.088.480.000.000
Teramo,43,06/04/2020,11,483,4,37,0.077,1.567.917.105
Teramo,44,07/04/2020,28,511,1,38,0.07400000000000001,165.881.085
Teramo,45,08/04/2020,19,530,1,39,0.07400000000000001,17.204.887.490.000.000
Teramo,46,09/04/2020,28,558,12,51,0.091,1.811.382.494
Teramo,47,10/04/2020,13,571,0,51,0.08900000000000001,1.853.583.161
Teramo,48,11/04/2020,21,592,3,54,0.091,192.175.347
Teramo,49,12/04/2020,7,599,3,57,0.095,1.944.476.906
Teramo,50,13/04/2020,-1,598,2,59,0.099,1.941.230.701
Teramo,51,14/04/2020,3,601,3,62,0.10300000000000001,1.950.969.317
Teramo,52,15/04/2020,4,605,2,64,0.106,1.963.954.138
Teramo,53,16/04/2020,5,610,0,64,0.105,1.980.185.164
Teramo,54,17/04/2020,5,615,1,65,0.106,1.996.416.189
Teramo,55,18/04/2020,2,617,1,66,0.107,20.029.086
Teramo,56,19/04/2020,2,619,2,68,0.11,200.940.101
Teramo,57,20/04/2020,7,626,0,68,0.109,2.032.124.447
Teramo,58,21/04/2020,0,626,0,68,0.109,2.032.124.447
Teramo,59,22/04/2020,6,632,1,69,0.109,2.051.601.678
Teramo,60,23/04/2020,-1,631,2,71,0.113,2.048.355.472
Teramo,61,24/04/2020,0,631,1,72,0.114,2.048.355.472
Teramo,62,25/04/2020,2,633,0,72,0.114,2.054.847.883
Teramo,63,26/04/2020,2,635,0,72,0.113,2.061.340.293
Teramo,64,27/04/2020,0,635,1,73,0.115,2.061.340.293
Teramo,65,28/04/2020,-1,634,0,73,0.115,20.580.940.880.000.000
Teramo,66,29/04/2020,3,637,1,74,0.11599999999999999,2.067.832.704
Teramo,67,30/04/2020,1,638,0,74,0.11599999999999999,2.071.078.909
Teramo,68,01/05/2020,0,638,0,74,0.11599999999999999,2.071.078.909
Teramo,69,02/05/2020,3,641,0,74,0.115,2.080.817.524
Teramo,70,03/05/2020,0,641,0,74,0.115,2.080.817.524
Teramo,71,04/05/2020,0,641,0,74,0.115,2.080.817.524
Teramo,72,05/05/2020,0,641,0,74,0.115,2.080.817.524
Teramo,73,06/05/2020,0,641,0,74,0.115,2.080.817.524
Teramo,74,07/05/2020,0,641,0,74,0.115,2.080.817.524
Teramo,75,08/05/2020,2,643,1,75,0.11699999999999999,2.087.309.935
Teramo,76,09/05/2020,1,644,0,75,0.11599999999999999,209.055.614
Teramo,77,10/05/2020,0,644,0,75,0.11599999999999999,209.055.614
Teramo,78,11/05/2020,0,644,1,76,0.11800000000000001,209.055.614
Teramo,79,12/05/2020,1,645,0,76,0.11800000000000001,2.093.802.345
Teramo,80,13/05/2020,0,645,2,78,0.121,2.093.802.345
Teramo,81,14/05/2020,0,645,0,78,0.121,2.093.802.345
Teramo,82,15/05/2020,0,645,0,78,0.121,2.093.802.345
Teramo,83,16/05/2020,2,647,0,78,0.121,2.100.294.755
Teramo,84,17/05/2020,1,648,1,79,0.122,2.103.540.961
Teramo,85,18/05/2020,1,649,0,79,0.122,2.106.787.166
Teramo,86,19/05/2020,0,649,0,79,0.122,2.106.787.166
Teramo,87,20/05/2020,0,649,0,79,0.122,2.106.787.166
Teramo,88,21/05/2020,-3,646,0,79,0.122,209.704.855
Teramo,89,22/05/2020,1,647,0,79,0.122,2.100.294.755
Teramo,90,23/05/2020,3,650,0,79,0.122,2.110.033.371
Teramo,91,24/05/2020,0,650,0,79,0.122,2.110.033.371
Teramo,92,25/05/2020,1,651,0,79,0.121,2.113.279.576
Teramo,93,26/05/2020,1,652,0,79,0.121,2.116.525.781
Teramo,94,27/05/2020,1,653,0,79,0.121,2.119.771.987
Teramo,95,28/05/2020,1,654,0,79,0.121,2.123.018.192
Teramo,96,29/05/2020,0,654,0,79,0.121,2.123.018.192
Teramo,97,30/05/2020,0,654,0,79,0.121,2.123.018.192
Teramo,98,31/05/2020,0,654,0,79,0.121,2.123.018.192
Teramo,99,01/06/2020,0,654,0,79,0.121,2.123.018.192
Teramo,100,02/06/2020,0,654,0,79,0.121,2.123.018.192
Teramo,101,03/06/2020,3,657,0,79,0.12,2.132.756.807
Teramo,102,04/06/2020,1,658,0,79,0.12,2.136.003.012
