Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Catanzaro,1,24/02/2020,0,0,0,0,0.0,0.0
Catanzaro,2,25/02/2020,0,0,0,0,0.0,0.0
Catanzaro,3,26/02/2020,0,0,0,0,0.0,0.0
Catanzaro,4,27/02/2020,0,0,0,0,0.0,0.0
Catanzaro,5,28/02/2020,0,0,0,0,0.0,0.0
Catanzaro,6,29/02/2020,0,0,0,0,0.0,0.0
Catanzaro,7,01/03/2020,0,0,0,0,0.0,0.0
Catanzaro,8,02/03/2020,0,0,0,0,0.0,0.0
Catanzaro,9,03/03/2020,0,0,0,0,0.0,0.0
Catanzaro,10,04/03/2020,0,0,0,0,0.0,0.0
Catanzaro,11,05/03/2020,1,1,0,0,0.0,0.27908326699999997
Catanzaro,12,06/03/2020,1,2,0,0,0.0,0.558166535
Catanzaro,13,07/03/2020,0,2,0,0,0.0,0.558166535
Catanzaro,14,08/03/2020,0,2,0,0,0.0,0.558166535
Catanzaro,15,09/03/2020,1,3,0,0,0.0,0.837249802
Catanzaro,16,10/03/2020,0,3,0,0,0.0,0.837249802
Catanzaro,17,11/03/2020,-1,2,0,0,0.0,0.558166535
Catanzaro,18,12/03/2020,1,3,0,0,0.0,0.837249802
Catanzaro,19,13/03/2020,0,3,0,0,0.0,0.837249802
Catanzaro,20,14/03/2020,2,5,0,0,0.0,1.395416336
Catanzaro,21,15/03/2020,1,6,0,0,0.0,1.674499604
Catanzaro,22,16/03/2020,0,6,0,0,0.0,1.674499604
Catanzaro,23,17/03/2020,8,14,0,0,0.0,3.9071657419999997
Catanzaro,24,18/03/2020,6,20,0,0,0.0,5.581665346
Catanzaro,25,19/03/2020,7,27,0,0,0.0,7.535248217
Catanzaro,26,20/03/2020,7,34,0,0,0.0,9.488831088
Catanzaro,27,21/03/2020,4,38,0,0,0.0,10.60516416
Catanzaro,28,22/03/2020,7,45,0,0,0.0,12.55874703
Catanzaro,29,23/03/2020,1,46,0,0,0.0,12.837830300000002
Catanzaro,30,24/03/2020,3,49,0,0,0.0,13.6750801
Catanzaro,31,25/03/2020,2,51,0,0,0.0,14.23324663
Catanzaro,32,26/03/2020,2,53,0,0,0.0,14.79141317
Catanzaro,33,27/03/2020,62,115,0,0,0.0,32.09457574
Catanzaro,34,28/03/2020,3,118,0,0,0.0,32.93182554
Catanzaro,35,29/03/2020,5,123,1,1,0.008130080999999999,34.32724188
Catanzaro,36,30/03/2020,11,134,5,6,0.044776119,37.39715782
Catanzaro,37,31/03/2020,5,139,5,11,0.079136691,38.79257415
Catanzaro,38,01/04/2020,1,140,1,12,0.085714286,39.07165742
Catanzaro,39,02/04/2020,6,146,2,14,0.095890411,40.74615702
Catanzaro,40,03/04/2020,4,150,2,16,0.10666666699999999,41.86249009
Catanzaro,41,04/04/2020,0,150,3,19,0.12666666699999998,41.86249009
Catanzaro,42,05/04/2020,7,157,1,20,0.127388535,43.81607296
Catanzaro,43,06/04/2020,1,158,1,21,0.132911392,44.09515623
Catanzaro,44,07/04/2020,4,162,2,23,0.141975309,45.2114893
Catanzaro,45,08/04/2020,7,169,0,23,0.136094675,47.16507217
Catanzaro,46,09/04/2020,4,173,1,24,0.13872832400000001,48.28140524
Catanzaro,47,10/04/2020,3,176,-1,23,0.130681818,49.11865504
Catanzaro,48,11/04/2020,5,181,0,23,0.127071823,50.51407138
Catanzaro,49,12/04/2020,1,182,0,23,0.126373626,50.79315465
Catanzaro,50,13/04/2020,1,183,0,23,0.12568306,51.07223791
Catanzaro,51,14/04/2020,1,184,0,23,0.125,51.35132118
Catanzaro,52,15/04/2020,6,190,2,25,0.131578947,53.02582078
Catanzaro,53,16/04/2020,4,194,0,25,0.128865979,54.14215385
Catanzaro,54,17/04/2020,1,195,1,26,0.133333333,54.42123712
Catanzaro,55,18/04/2020,2,197,0,26,0.131979695,54.97940365
Catanzaro,56,19/04/2020,0,197,0,26,0.131979695,54.97940365
Catanzaro,57,20/04/2020,0,197,0,26,0.131979695,54.97940365
Catanzaro,58,21/04/2020,0,197,1,27,0.137055838,54.97940365
Catanzaro,59,22/04/2020,0,197,0,27,0.137055838,54.97940365
Catanzaro,60,23/04/2020,4,201,0,27,0.134328358,56.09573672
Catanzaro,61,24/04/2020,0,201,2,29,0.144278607,56.09573672
Catanzaro,62,25/04/2020,0,201,0,29,0.144278607,56.09573672
Catanzaro,63,26/04/2020,1,202,0,29,0.143564356,56.37481999
Catanzaro,64,27/04/2020,3,205,1,30,0.146341463,57.21206979
Catanzaro,65,28/04/2020,0,205,1,31,0.151219512,57.21206979
Catanzaro,66,29/04/2020,1,206,0,31,0.150485437,57.49115306
Catanzaro,67,30/04/2020,1,207,0,31,0.149758454,57.77023633
Catanzaro,68,01/05/2020,0,207,0,31,0.149758454,57.77023633
Catanzaro,69,02/05/2020,0,207,1,32,0.154589372,57.77023633
Catanzaro,70,03/05/2020,0,207,0,32,0.154589372,57.77023633
Catanzaro,71,04/05/2020,1,208,0,32,0.153846154,58.04931959
Catanzaro,72,05/05/2020,0,208,0,32,0.153846154,58.04931959
Catanzaro,73,06/05/2020,1,209,1,33,0.15789473699999998,58.32840286
Catanzaro,74,07/05/2020,1,210,0,33,0.157142857,58.60748613
Catanzaro,75,08/05/2020,0,210,0,33,0.157142857,58.60748613
Catanzaro,76,09/05/2020,0,210,0,33,0.157142857,58.60748613
Catanzaro,77,10/05/2020,0,210,0,33,0.157142857,58.60748613
Catanzaro,78,11/05/2020,1,211,0,33,0.156398104,58.8865694
Catanzaro,79,12/05/2020,0,211,0,33,0.156398104,58.8865694
Catanzaro,80,13/05/2020,0,211,0,33,0.156398104,58.8865694
Catanzaro,81,14/05/2020,0,211,0,33,0.156398104,58.8865694
Catanzaro,82,15/05/2020,0,211,0,33,0.156398104,58.8865694
Catanzaro,83,16/05/2020,0,211,0,33,0.156398104,58.8865694
Catanzaro,84,17/05/2020,0,211,0,33,0.156398104,58.8865694
Catanzaro,85,18/05/2020,0,211,0,33,0.156398104,58.8865694
Catanzaro,86,19/05/2020,1,212,0,33,0.155660377,59.16565266
