Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Crotone,1,24/02/2020,0,0,0,0,0,0
Crotone,2,25/02/2020,0,0,0,0,0,0
Crotone,3,26/02/2020,0,0,0,0,0,0
Crotone,4,27/02/2020,0,0,0,0,0,0
Crotone,5,28/02/2020,0,0,0,0,0,0
Crotone,6,29/02/2020,0,0,0,0,0,0
Crotone,7,01/03/2020,0,0,0,0,0,0
Crotone,8,02/03/2020,0,0,0,0,0,0
Crotone,9,03/03/2020,0,0,0,0,0,0
Crotone,10,04/03/2020,0,0,0,0,0,0
Crotone,11,05/03/2020,0,0,0,0,0,0
Crotone,12,06/03/2020,0,0,0,0,0,0
Crotone,13,07/03/2020,0,0,0,0,0,0
Crotone,14,08/03/2020,0,0,0,0,0,0
Crotone,15,09/03/2020,0,0,0,0,0,0
Crotone,16,10/03/2020,0,0,0,0,0,0
Crotone,17,11/03/2020,1,1,0,0,0,0.57
Crotone,18,12/03/2020,5,6,0,0,0,3.43
Crotone,19,13/03/2020,1,7,0,0,0,4
Crotone,20,14/03/2020,-2,5,0,0,0,2.86
Crotone,21,15/03/2020,12,17,0,0,0,9.72
Crotone,22,16/03/2020,0,17,0,0,0,9.72
Crotone,23,17/03/2020,4,21,0,0,0,12
Crotone,24,18/03/2020,2,23,0,0,0,13.14
Crotone,25,19/03/2020,16,39,1,1,0.03,22.29
Crotone,26,20/03/2020,6,45,0,1,0.02,25.72
Crotone,27,21/03/2020,5,50,0,1,0.02,28.57
Crotone,28,22/03/2020,11,61,0,1,0.02,34.86
Crotone,29,23/03/2020,1,62,0,1,0.02,35.43
Crotone,30,24/03/2020,4,66,0,1,0.01,37.72
Crotone,31,25/03/2020,5,71,0,1,0.01,40.58
Crotone,32,26/03/2020,9,80,0,1,0.01,45.72
Crotone,33,27/03/2020,0,80,1,2,0.03,45.72
Crotone,34,28/03/2020,7,87,0,2,0.02,49.72
Crotone,35,29/03/2020,3,90,1,3,0.03,51.43
Crotone,36,30/03/2020,3,93,1,4,0.04,53.15
Crotone,37,31/03/2020,0,93,0,4,0.04,53.15
Crotone,38,01/04/2020,1,94,0,4,0.04,53.72
Crotone,39,02/04/2020,0,94,0,4,0.04,53.72
Crotone,40,03/04/2020,12,106,0,4,0.04,60.58
Crotone,41,04/04/2020,0,106,0,4,0.04,60.58
Crotone,42,05/04/2020,3,109,0,4,0.04,62.29
Crotone,43,06/04/2020,2,111,1,5,0.04,63.44
Crotone,44,07/04/2020,1,112,0,5,0.04,64.01
Crotone,45,08/04/2020,1,113,0,5,0.04,64.58
Crotone,46,09/04/2020,0,113,0,5,0.04,64.58
Crotone,47,10/04/2020,0,113,0,5,0.04,64.58
Crotone,48,11/04/2020,0,113,1,6,0.05,64.58
Crotone,49,12/04/2020,4,117,0,6,0.05,66.86
Crotone,50,13/04/2020,0,117,0,6,0.05,66.86
Crotone,51,14/04/2020,0,117,0,6,0.05,66.86
Crotone,52,15/04/2020,0,117,0,6,0.05,66.86
Crotone,53,16/04/2020,0,117,0,6,0.05,66.86
Crotone,54,17/04/2020,0,117,0,6,0.05,66.86
Crotone,55,18/04/2020,0,117,0,6,0.05,66.86
Crotone,56,19/04/2020,0,117,0,6,0.05,66.86
