Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Reggio di Calabria,1,2020-02-24,0,0,0,0,0.0,0.0
Reggio di Calabria,2,2020-02-25,0,0,0,0,0.0,0.0
Reggio di Calabria,3,2020-02-26,0,0,0,0,0.0,0.0
Reggio di Calabria,4,2020-02-27,0,0,0,0,0.0,0.0
Reggio di Calabria,5,2020-02-28,0,0,0,0,0.0,0.0
Reggio di Calabria,6,2020-02-29,0,0,0,0,0.0,0.0
Reggio di Calabria,7,2020-03-01,0,0,0,0,0.0,0.0
Reggio di Calabria,8,2020-03-02,0,0,0,0,0.0,0.0
Reggio di Calabria,9,2020-03-03,0,0,0,0,0.0,0.0
Reggio di Calabria,10,2020-03-04,0,0,0,0,0.0,0.0
Reggio di Calabria,11,2020-03-05,0,0,0,0,0.0,0.0
Reggio di Calabria,12,2020-03-06,1,1,0,0,0.0,0.1824787549109589
Reggio di Calabria,13,2020-03-07,0,1,0,0,0.0,0.1824787549109589
Reggio di Calabria,14,2020-03-08,0,1,0,0,0.0,0.1824787549109589
Reggio di Calabria,15,2020-03-09,1,2,0,0,0.0,0.364957509821919
Reggio di Calabria,16,2020-03-10,1,3,0,0,0.0,0.547436264732878
Reggio di Calabria,17,2020-03-11,3,6,0,0,0.0,1.09487252946576
Reggio di Calabria,18,2020-03-12,5,11,0,0,0.0,2.00726630402055
Reggio di Calabria,19,2020-03-13,2,13,0,0,0.0,2.3722238138424703
Reggio di Calabria,20,2020-03-14,5,18,1,1,0.0555555555555556,3.28461758839727
Reggio di Calabria,21,2020-03-15,4,22,0,1,0.0454545454545455,4.01453260804111
Reggio di Calabria,22,2020-03-16,0,22,0,1,0.0454545454545455,4.01453260804111
Reggio di Calabria,23,2020-03-17,24,46,0,1,0.0217391304347826,8.39402272590414
Reggio di Calabria,24,2020-03-18,1,47,0,1,0.0212765957446809,8.5765014808151
Reggio di Calabria,25,2020-03-19,10,57,0,1,0.0175438596491228,10.4012890299247
Reggio di Calabria,26,2020-03-20,16,73,0,1,0.0136986301369863,13.320949108499999
