Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Forli-Cesena,1,24/02/2020,0,0,0,0,0,0
Forli-Cesena,2,25/02/2020,0,0,0,0,0,0
Forli-Cesena,3,26/02/2020,0,0,0,0,0,0
Forli-Cesena,4,27/02/2020,0,0,0,0,0,0
Forli-Cesena,5,28/02/2020,0,0,0,0,0,0
Forli-Cesena,6,29/02/2020,0,0,0,0,0,0
Forli-Cesena,7,01/03/2020,1,1,0,0,0,0.25
Forli-Cesena,8,02/03/2020,0,1,0,0,0,0.25
Forli-Cesena,9,03/03/2020,0,1,0,0,0,0.25
Forli-Cesena,10,04/03/2020,1,2,0,0,0,0.51
Forli-Cesena,11,05/03/2020,2,4,0,0,0,1.01
Forli-Cesena,12,06/03/2020,-1,3,0,0,0,0.76
Forli-Cesena,13,07/03/2020,4,7,0,0,0,1.77
Forli-Cesena,14,08/03/2020,8,15,0,0,0,3.8
Forli-Cesena,15,09/03/2020,1,16,0,0,0,4.05
Forli-Cesena,16,10/03/2020,4,20,0,0,0,5.07
Forli-Cesena,17,11/03/2020,4,24,0,0,0,6.08
Forli-Cesena,18,12/03/2020,9,33,1,1,0.03,8.36
Forli-Cesena,19,13/03/2020,16,49,0,1,0.02,12.42
Forli-Cesena,20,14/03/2020,13,62,0,1,0.02,15.71
Forli-Cesena,21,15/03/2020,16,78,1,2,0.03,19.77
Forli-Cesena,22,16/03/2020,25,103,0,2,0.02,26.1
Forli-Cesena,23,17/03/2020,41,144,1,3,0.02,36.49
Forli-Cesena,24,18/03/2020,27,171,1,4,0.02,43.33
Forli-Cesena,25,19/03/2020,56,227,1,5,0.02,57.52
Forli-Cesena,26,20/03/2020,23,250,3,8,0.03,63.35
Forli-Cesena,27,21/03/2020,19,269,1,9,0.03,68.17
Forli-Cesena,28,22/03/2020,60,329,1,10,0.03,83.37
Forli-Cesena,29,23/03/2020,51,380,0,10,0.03,96.29
Forli-Cesena,30,24/03/2020,57,437,0,10,0.02,110.74
Forli-Cesena,31,25/03/2020,17,454,3,13,0.03,115.05
Forli-Cesena,32,26/03/2020,59,513,4,17,0.03,130
Forli-Cesena,33,27/03/2020,67,580,3,20,0.03,146.97
