Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Parma,1,24/02/2020,0,0,0,0,0.0,0.0
Parma,2,25/02/2020,4,4,0,0,0.0,0.885678795
Parma,3,26/02/2020,4,8,0,0,0.0,1.771357591
Parma,4,27/02/2020,2,10,0,0,0.0,2.2141969880000003
Parma,5,28/02/2020,17,27,1,1,0.037037037,5.978331868
Parma,6,29/02/2020,8,35,1,2,0.05714285700000001,7.749689459
Parma,7,01/03/2020,24,59,2,4,0.06779661,13.06376223
Parma,8,02/03/2020,2,61,1,5,0.081967213,13.50660163
Parma,9,03/03/2020,23,84,1,6,0.071428571,18.5992547
Parma,10,04/03/2020,31,115,1,7,0.060869565,25.46326536
Parma,11,05/03/2020,35,150,2,9,0.06,33.21295482
Parma,12,06/03/2020,31,181,2,11,0.060773481,40.07696549
Parma,13,07/03/2020,48,229,3,14,0.061135371,50.70511103
Parma,14,08/03/2020,47,276,0,14,0.050724638,61.11183688
Parma,15,09/03/2020,3,279,5,19,0.068100358,61.77609597
Parma,16,10/03/2020,46,325,2,21,0.064615385,71.96140212
Parma,17,11/03/2020,53,378,4,25,0.066137566,83.69664616
Parma,18,12/03/2020,52,430,8,33,0.07674418599999999,95.21047049
Parma,19,13/03/2020,88,518,21,54,0.104247104,114.695404
Parma,20,14/03/2020,52,570,8,62,0.10877193,126.2092283
Parma,21,15/03/2020,92,662,9,71,0.107250755,146.57984059999995
Parma,22,16/03/2020,45,707,7,78,0.110325318,156.54372709999996
Parma,23,17/03/2020,93,800,6,84,0.105,177.1357591
Parma,24,18/03/2020,0,800,34,118,0.1475,177.1357591
Parma,25,19/03/2020,69,869,7,125,0.143843498,192.41371830000003
Parma,26,20/03/2020,110,979,39,164,0.167517875,216.7698851
Parma,27,21/03/2020,35,1014,15,179,0.1765286,224.5195746
Parma,28,22/03/2020,195,1209,22,201,0.166253102,267.6964159
Parma,29,23/03/2020,155,1364,13,214,0.156891496,302.0164692
Parma,30,24/03/2020,71,1435,20,234,0.163066202,317.7372678000001
Parma,31,25/03/2020,90,1525,16,250,0.163934426,337.6650407
Parma,32,26/03/2020,86,1611,16,266,0.165114836,356.7071348
Parma,33,27/03/2020,79,1690,13,279,0.165088757,374.199291
Parma,34,28/03/2020,62,1752,2,281,0.16038812800000002,387.9273123
Parma,35,29/03/2020,57,1809,21,302,0.166943062,400.5482352
Parma,36,30/03/2020,50,1859,25,327,0.175901022,411.6192201
Parma,37,31/03/2020,74,1933,25,352,0.182100362,428.0042778
Parma,38,01/04/2020,72,2005,24,376,0.187531172,443.9464961
Parma,39,02/04/2020,44,2049,11,387,0.188872621,453.6889629
Parma,40,03/04/2020,34,2083,9,396,0.190110418,461.2172327
Parma,41,04/04/2020,118,2201,25,421,0.191276692,487.3447571
Parma,42,05/04/2020,74,2275,13,434,0.190769231,503.7298148
Parma,43,06/04/2020,42,2317,13,447,0.192921882,513.0294422000002
Parma,44,07/04/2020,48,2365,14,461,0.194926004,523.6575877
Parma,45,08/04/2020,30,2395,16,477,0.199164927,530.3001787
Parma,46,09/04/2020,26,2421,19,496,0.204874019,536.0570909
Parma,47,10/04/2020,52,2473,19,515,0.20824909,547.5709152000002
Parma,48,11/04/2020,39,2512,21,536,0.213375796,556.2062834
Parma,49,12/04/2020,19,2531,18,554,0.218885816,560.4132577
Parma,50,13/04/2020,42,2573,6,560,0.217644773,569.7128851
Parma,51,14/04/2020,9,2582,20,580,0.224632068,571.7056623999998
Parma,52,15/04/2020,34,2616,10,590,0.225535168,579.2339321000002
Parma,53,16/04/2020,82,2698,8,598,0.221645663,597.3903474
Parma,54,17/04/2020,27,2725,6,604,0.221651376,603.3686792999998
Parma,55,18/04/2020,43,2768,9,613,0.221459538,612.8897262999999
Parma,56,19/04/2020,45,2813,8,621,0.220760754,622.8536128
Parma,57,20/04/2020,74,2887,6,627,0.217180464,639.2386705
Parma,58,21/04/2020,22,2909,8,635,0.218288072,644.1099039
Parma,59,22/04/2020,64,2973,6,641,0.215607131,658.2807646000001
Parma,60,23/04/2020,26,2999,12,653,0.21773924600000005,664.0376767999999
Parma,61,24/04/2020,12,3011,5,658,0.218532049,666.6947132
Parma,62,25/04/2020,23,3034,9,667,0.219841793,671.7873662000002
Parma,63,26/04/2020,39,3073,6,673,0.21900423,680.4227344999998
Parma,64,27/04/2020,39,3112,7,680,0.218508997,689.0581027000003
Parma,65,28/04/2020,10,3122,3,683,0.218770019,691.2722997000003
Parma,66,29/04/2020,22,3144,8,691,0.219783715,696.1435331
Parma,67,30/04/2020,13,3157,6,697,0.22077922100000005,699.0219892000001
Parma,68,01/05/2020,20,3177,6,703,0.221277935,703.4503832
Parma,69,02/05/2020,22,3199,6,709,0.22163176,708.3216165
Parma,70,03/05/2020,5,3204,1,710,0.221598002,709.428715
Parma,71,04/05/2020,23,3227,1,711,0.220328478,714.5213681
Parma,72,05/05/2020,3,3230,2,713,0.220743034,715.1856272000001
Parma,73,06/05/2020,14,3244,5,718,0.221331689,718.2855030000003
Parma,74,07/05/2020,16,3260,2,720,0.22085889600000005,721.8282182
Parma,75,08/05/2020,6,3266,2,722,0.221065524,723.1567364
Parma,76,09/05/2020,19,3285,2,724,0.220395738,727.3637106000001
