Province;Day;Date;New_cases;Curr_pos_cases;Deaths;Tot_deaths;Lethality_rate;Cumul_rates
Reggio nell Emilia;1;24/02/2020;0;0;0;0;0;100000
Reggio nell Emilia;2;25/02/2020;0;0;0;0;0;100000
Reggio nell Emilia;3;26/02/2020;0;0;0;0;0;100000
Reggio nell Emilia;4;27/02/2020;0;0;0;0;0;100000
Reggio nell Emilia;5;28/02/2020;1;1;0;0;0;100000
Reggio nell Emilia;6;29/02/2020;3;4;0;0;0;100000
Reggio nell Emilia;7;01/03/2020;3;7;0;0;0;100000
Reggio nell Emilia;8;02/03/2020;1;8;0;0;0;100000
Reggio nell Emilia;9;03/03/2020;6;14;0;0;0;100000
Reggio nell Emilia;10;04/03/2020;6;20;0;0;0;100000
Reggio nell Emilia;11;05/03/2020;11;31;0;0;0;100000
Reggio nell Emilia;12;06/03/2020;13;44;0;0;0;100000
Reggio nell Emilia;13;07/03/2020;4;48;0;0;0;100000
Reggio nell Emilia;14;08/03/2020;22;70;0;0;0;100000
Reggio nell Emilia;15;09/03/2020;33;103;0;0;0;100000
Reggio nell Emilia;16;10/03/2020;1;104;3;3;0,02884615;100000
Reggio nell Emilia;17;11/03/2020;10;114;3;6;0,05263158;100000
Reggio nell Emilia;18;12/03/2020;9;123;5;11;0,08943089;100000
Reggio nell Emilia;19;13/03/2020;15;138;5;16;0,11594203;100000
Reggio nell Emilia;20;14/03/2020;15;153;1;17;0,11111111;100000
Reggio nell Emilia;21;15/03/2020;32;185;1;18;0,0972973;100000
Reggio nell Emilia;22;16/03/2020;56;241;4;22;0,09128631;100000
Reggio nell Emilia;23;17/03/2020;58;299;4;26;0,08695652;100000
Reggio nell Emilia;24;18/03/2020;115;414;5;31;0,07487923;100000
Reggio nell Emilia;25;19/03/2020;194;608;7;38;0,0625;100000
Reggio nell Emilia;26;20/03/2020;165;773;19;57;0,07373868;100000
Reggio nell Emilia;27;21/03/2020;204;977;11;68;0,06960082;100000
Reggio nell Emilia;28;22/03/2020;190;1167;10;78;0,06683805;100000
Reggio nell Emilia;29;23/03/2020;202;1369;21;99;0,07231556;100000
Reggio nell Emilia;30;24/03/2020;68;1437;17;116;0,08072373;100000
Reggio nell Emilia;31;25/03/2020;149;1586;9;125;0,07881463;100000
Reggio nell Emilia;32;26/03/2020;112;1698;10;135;0,0795053;100000
Reggio nell Emilia;33;27/03/2020;163;1861;16;151;0,08113917;100000
Reggio nell Emilia;34;28/03/2020;135;1996;12;163;0,08166333;100000
Reggio nell Emilia;35;29/03/2020;150;2146;13;176;0,08201305;100000
Reggio nell Emilia;36;30/03/2020;62;2208;12;188;0,08514493;100000
Reggio nell Emilia;37;31/03/2020;99;2307;23;211;0,09146077;100000
Reggio nell Emilia;38;01/04/2020;246;2553;9;220;0,08617313;100000
Reggio nell Emilia;39;02/04/2020;112;2665;9;229;0,0859287;100000
Reggio nell Emilia;40;03/04/2020;135;2800;14;243;0,08678571;100000
Reggio nell Emilia;41;04/04/2020;108;2908;15;258;0,08872077;100000
Reggio nell Emilia;42;05/04/2020;158;3066;11;269;0,08773646;100000
Reggio nell Emilia;43;06/04/2020;101;3167;8;277;0,08746448;100000
Reggio nell Emilia;44;07/04/2020;48;3215;12;289;0,08989113;100000
Reggio nell Emilia;45;08/04/2020;137;3352;8;297;0,08860382;100000
Reggio nell Emilia;46;09/04/2020;153;3505;13;310;0,08844508;100000
Reggio nell Emilia;47;10/04/2020;125;3630;9;319;0,08787879;100000
Reggio nell Emilia;48;11/04/2020;135;3765;20;339;0,09003984;100000
Reggio nell Emilia;49;12/04/2020;84;3849;13;352;0,09145233;100000
Reggio nell Emilia;50;13/04/2020;39;3888;6;358;0,09207819;100000
Reggio nell Emilia;51;14/04/2020;59;3947;9;367;0,09298201;100000
Reggio nell Emilia;52;15/04/2020;35;3982;17;384;0,09643395;100000
Reggio nell Emilia;53;16/04/2020;71;4053;7;391;0,09647175;100000
Reggio nell Emilia;54;17/04/2020;37;4090;14;405;0,099022;100000
Reggio nell Emilia;55;18/04/2020;127;4217;10;415;0,09841119;100000
Reggio nell Emilia;56;19/04/2020;101;4318;6;421;0,09749884;100000
Reggio nell Emilia;57;20/04/2020;34;4352;12;433;0,09949448;100000
Reggio nell Emilia;58;21/04/2020;17;4369;7;440;0,10070954;100000
Reggio nell Emilia;59;22/04/2020;68;4437;11;451;0,10164526;100000
Reggio nell Emilia;60;23/04/2020;45;4482;8;459;0,10240964;100000
Reggio nell Emilia;61;24/04/2020;38;4520;3;462;0,10221239;100000
Reggio nell Emilia;62;25/04/2020;32;4552;4;466;0,10237258;100000
Reggio nell Emilia;63;26/04/2020;25;4577;8;474;0,10356129;100000
Reggio nell Emilia;64;27/04/2020;8;4585;4;478;0,104253;100000
Reggio nell Emilia;65;28/04/2020;8;4593;10;488;0,10624864;100000
Reggio nell Emilia;66;29/04/2020;20;4613;4;492;0,10665511;100000
Reggio nell Emilia;67;30/04/2020;47;4660;11;503;0,10793991;100000
Reggio nell Emilia;68;01/05/2020;53;4713;2;505;0,10715044;100000
Reggio nell Emilia;69;02/05/2020;20;4733;5;510;0,10775407;100000
Reggio nell Emilia;70;03/05/2020;32;4765;5;515;0,10807975;100000
Reggio nell Emilia;71;04/05/2020;13;4778;1;516;0,10799498;100000
Reggio nell Emilia;72;05/05/2020;10;4788;10;526;0,10985798;100000
Reggio nell Emilia;73;06/05/2020;11;4799;3;529;0,1102313;100000
Reggio nell Emilia;74;07/05/2020;13;4812;2;531;0,11034913;100000
Reggio nell Emilia;75;08/05/2020;7;4819;4;535;0,11101888;100000
Reggio nell Emilia;76;09/05/2020;16;4835;3;538;0,11127197;100000
Reggio nell Emilia;77;10/05/2020;11;4846;4;542;0,11184482;100000
Reggio nell Emilia;78;11/05/2020;3;4849;1;543;0,11198185;100000
Reggio nell Emilia;79;12/05/2020;5;4854;0;543;0,1118665;100000
Reggio nell Emilia;80;13/05/2020;5;4859;5;548;0,11278041;100000
Reggio nell Emilia;81;14/05/2020;11;4870;2;550;0,11293634;100000
Reggio nell Emilia;82;15/05/2020;9;4879;1;551;0,11293298;100000
Reggio nell Emilia;83;16/05/2020;9;4888;4;555;0,11354337;100000
