Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Gorizia,1,24/02/2020,0,0,0,0,0,0
Gorizia,2,25/02/2020,0,0,0,0,0,0
Gorizia,3,26/02/2020,0,0,0,0,0,0
Gorizia,4,27/02/2020,0,0,0,0,0,0
Gorizia,5,28/02/2020,0,0,0,0,0,0
Gorizia,6,29/02/2020,0,0,0,0,0,0
Gorizia,7,01/03/2020,0,0,0,0,0,0
Gorizia,8,02/03/2020,0,0,0,0,0,0
Gorizia,9,03/03/2020,3,3,0,0,0,2.15
Gorizia,10,04/03/2020,2,5,0,0,0,3.59
Gorizia,11,05/03/2020,0,5,0,0,0,3.59
Gorizia,12,06/03/2020,1,6,0,0,0,4.3
Gorizia,13,07/03/2020,0,6,0,0,0,4.3
Gorizia,14,08/03/2020,0,6,0,0,0,4.3
Gorizia,15,09/03/2020,0,6,0,0,0,4.3
Gorizia,16,10/03/2020,4,10,0,0,0,7.17
Gorizia,17,11/03/2020,2,12,0,0,0,8.61
Gorizia,18,12/03/2020,0,12,0,0,0,8.61
Gorizia,19,13/03/2020,8,20,0,0,0,14.35
Gorizia,20,14/03/2020,0,20,0,0,0,14.35
Gorizia,21,15/03/2020,11,31,0,0,0,22.24
Gorizia,22,16/03/2020,-15,16,0,0,0,11.48
Gorizia,23,17/03/2020,2,18,0,0,0,12.91
Gorizia,24,18/03/2020,7,25,0,0,0,17.93
Gorizia,25,19/03/2020,3,28,0,0,0,20.09
Gorizia,26,20/03/2020,2,30,0,0,0,21.52
Gorizia,27,21/03/2020,8,38,0,0,0,27.26
Gorizia,28,22/03/2020,6,44,0,0,0,31.56
Gorizia,29,23/03/2020,11,55,0,0,0,39.45
Gorizia,30,24/03/2020,2,57,0,0,0,40.89
Gorizia,31,25/03/2020,8,65,0,0,0,46.63
Gorizia,32,26/03/2020,10,75,0,0,0,53.8
Gorizia,33,27/03/2020,4,79,0,0,0,56.67
Gorizia,34,28/03/2020,6,85,0,0,0,60.97
Gorizia,35,29/03/2020,6,91,0,0,0,65.28
Gorizia,36,30/03/2020,0,91,0,0,0,65.28
Gorizia,37,31/03/2020,7,98,0,0,0,70.3
Gorizia,38,01/04/2020,8,106,0,0,0,76.04
Gorizia,39,02/04/2020,4,110,0,0,0,78.91
Gorizia,40,03/04/2020,1,111,0,0,0,79.63
Gorizia,41,04/04/2020,4,115,0,0,0,82.49
Gorizia,42,05/04/2020,1,116,0,0,0,83.21
Gorizia,43,06/04/2020,3,119,0,0,0,85.36
Gorizia,44,07/04/2020,0,119,0,0,0,85.36
Gorizia,45,08/04/2020,2,121,0,0,0,86.8
Gorizia,46,09/04/2020,-1,120,0,0,0,86.08
Gorizia,47,10/04/2020,1,121,0,0,0,86.8
Gorizia,48,11/04/2020,0,121,0,0,0,86.8
Gorizia,49,12/04/2020,2,123,0,0,0,88.23
Gorizia,50,13/04/2020,4,127,0,0,0,91.1
Gorizia,51,14/04/2020,2,129,0,0,0,92.54
Gorizia,52,15/04/2020,1,130,0,0,0,93.25
Gorizia,53,16/04/2020,2,132,0,0,0,94.69
Gorizia,54,17/04/2020,0,132,0,0,0,94.69
Gorizia,55,18/04/2020,-1,131,0,0,0,93.97
Gorizia,56,19/04/2020,1,132,0,0,0,94.69
Gorizia,57,20/04/2020,6,138,0,0,0,98.99
Gorizia,58,21/04/2020,5,143,0,0,0,102.58
Gorizia,59,22/04/2020,6,149,0,0,0,106.88
Gorizia,60,23/04/2020,15,164,0,0,0,117.64
Gorizia,61,24/04/2020,4,168,0,0,0,120.51
Gorizia,62,25/04/2020,6,174,0,0,0,124.82
Gorizia,63,26/04/2020,1,175,0,0,0,125.54
Gorizia,64,27/04/2020,4,179,0,0,0,128.4
Gorizia,65,28/04/2020,2,181,0,0,0,129.84
Gorizia,66,29/04/2020,1,182,0,0,0,130.56
Gorizia,67,30/04/2020,4,186,0,0,0,133.43
Gorizia,68,01/05/2020,1,187,0,0,0,134.14
Gorizia,69,02/05/2020,2,189,0,0,0,135.58
Gorizia,70,03/05/2020,0,189,0,0,0,135.58
Gorizia,71,04/05/2020,0,189,0,0,0,135.58
Gorizia,72,05/05/2020,0,189,0,0,0,135.58
Gorizia,73,06/05/2020,1,190,0,0,0,136.3
Gorizia,74,07/05/2020,2,192,0,0,0,137.73
Gorizia,75,08/05/2020,2,194,0,0,0,139.16
Gorizia,76,09/05/2020,1,195,0,0,0,139.88
Gorizia,77,10/05/2020,0,195,0,0,0,139.88
Gorizia,78,11/05/2020,0,195,0,0,0,139.88
Gorizia,79,12/05/2020,1,196,0,0,0,140.6
Gorizia,80,13/05/2020,1,197,0,0,0,141.32
Gorizia,81,14/05/2020,1,198,0,0,0,142.03
Gorizia,82,15/05/2020,1,199,0,0,0,142.75
