Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Trieste,1,24/02/2020,0,0,0,0,0,0
Trieste,2,25/02/2020,0,0,0,0,0,0
Trieste,3,26/02/2020,0,0,0,0,0,0
Trieste,4,27/02/2020,0,0,0,0,0,0
Trieste,5,28/02/2020,0,0,0,0,0,0
Trieste,6,29/02/2020,0,0,0,0,0,0
Trieste,7,01/03/2020,6,6,0,0,0,2.56
Trieste,8,02/03/2020,3,9,0,0,0,3.84
Trieste,9,03/03/2020,-7,2,0,0,0,0.85
Trieste,10,04/03/2020,3,5,0,0,0,2.13
Trieste,11,05/03/2020,0,5,0,0,0,2.13
Trieste,12,06/03/2020,2,7,0,0,0,2.99
Trieste,13,07/03/2020,4,11,0,0,0,4.69
Trieste,14,08/03/2020,14,25,0,0,0,10.66
Trieste,15,09/03/2020,0,25,0,0,0,10.66
Trieste,16,10/03/2020,28,53,0,0,0,22.6
Trieste,17,11/03/2020,4,57,0,0,0,24.31
Trieste,18,12/03/2020,0,57,0,0,0,24.31
Trieste,19,13/03/2020,74,131,0,0,0,55.87
Trieste,20,14/03/2020,17,148,0,0,0,63.11
Trieste,21,15/03/2020,-8,140,0,0,0,59.7
Trieste,22,16/03/2020,24,164,0,0,0,69.94
Trieste,23,17/03/2020,13,177,0,0,0,75.48
Trieste,24,18/03/2020,3,180,0,0,0,76.76
Trieste,25,19/03/2020,28,208,0,0,0,88.7
Trieste,26,20/03/2020,8,216,0,0,0,92.11
Trieste,27,21/03/2020,54,270,0,0,0,115.14
Trieste,28,22/03/2020,27,297,0,0,0,126.66
Trieste,29,23/03/2020,23,320,0,0,0,136.46
Trieste,30,24/03/2020,9,329,0,0,0,140.3
Trieste,31,25/03/2020,26,355,0,0,0,151.39
Trieste,32,26/03/2020,30,385,0,0,0,164.18
Trieste,33,27/03/2020,26,411,0,0,0,175.27
Trieste,34,28/03/2020,41,452,0,0,0,192.76
Trieste,35,29/03/2020,24,476,0,0,0,202.99
Trieste,36,30/03/2020,18,494,0,0,0,210.67
Trieste,37,31/03/2020,51,545,0,0,0,232.42
Trieste,38,01/04/2020,30,575,6,6,0.01,245.21
Trieste,39,02/04/2020,23,598,4,10,0.017,255.02
Trieste,40,03/04/2020,31,629,3,13,0.021,268.24
Trieste,41,04/04/2020,22,651,5,18,0.028,277.62
