Province;Day;Date;New_cases;Curr_pos_cases;Deaths;Tot_deaths;Lethality_rate;Cumul_rates
Rieti;1;24/02/2020;0;0;0;0;0;0
Rieti;2;25/02/2020;0;0;0;0;0;0
Rieti;3;26/02/2020;0;0;0;0;0;0
Rieti;4;27/02/2020;0;0;0;0;0;0
Rieti;5;28/02/2020;0;0;0;0;0;0
Rieti;6;29/02/2020;0;0;0;0;0;0
Rieti;7;01/03/2020;0;0;0;0;0;0
Rieti;8;02/03/2020;0;0;0;0;0;0
Rieti;9;03/03/2020;0;0;0;0;0;0
Rieti;10;04/03/2020;0;0;0;0;0;0
Rieti;11;05/03/2020;0;0;0;0;0;0
Rieti;12;06/03/2020;0;0;0;0;0;0
Rieti;13;07/03/2020;0;0;0;0;0;0
Rieti;14;08/03/2020;0;0;0;0;0;0
Rieti;15;09/03/2020;0;0;0;0;0;0
Rieti;16;10/03/2020;1;1;0;0;0;0.64307441
Rieti;17;11/03/2020;2;3;0;0;0;1.92922323
Rieti;18;12/03/2020;-1;2;0;0;0;1.28614882
Rieti;19;13/03/2020;1;3;0;0;0;1.92922323
Rieti;20;14/03/2020;0;3;0;0;0;1.92922323
Rieti;21;15/03/2020;1;4;0;0;0;2.572297641
Rieti;22;16/03/2020;7;11;0;0;0;7.073818512
Rieti;23;17/03/2020;1;12;0;0;0;7.716892922
Rieti;24;18/03/2020;0;12;0;0;0;7.716892922
Rieti;25;19/03/2020;6;18;0;0;0;11.57533938
Rieti;26;20/03/2020;0;18;0;0;0;11.57533938
Rieti;27;21/03/2020;6;24;0;0;0;15.43378584
Rieti;28;22/03/2020;0;24;0;0;0;15.43378584
Rieti;29;23/03/2020;7;31;0;0;0;19.93530671
Rieti;30;24/03/2020;2;33;0;0;0;21.22145553
Rieti;31;25/03/2020;6;39;0;0;0;25.079902
Rieti;32;26/03/2020;2;41;0;0;0;26.36605082
Rieti;33;27/03/2020;2;43;1;1;0.023255814;27.65219964
Rieti;34;28/03/2020;19;62;0;1;0.016129032;39.87061343
Rieti;35;29/03/2020;14;76;3;4;0.052631579;48.87365517
Rieti;36;30/03/2020;29;105;0;4;0.038095238;67.52281306
Rieti;37;31/03/2020;27;132;3;7;0.053030303;84.88582214
Rieti;38;01/04/2020;61;193;1;8;0.041450777;124.1133612
Rieti;39;02/04/2020;-5;188;3;11;0.058510638;120.8979891
Rieti;40;03/04/2020;0;188;3;14;0.074468085;120.8979891
Rieti;41;04/04/2020;0;188;1;15;0.079787234;120.8979891
Rieti;42;05/04/2020;1;189;3;18;0.095238095;121.5410635
Rieti;43;06/04/2020;77;266;2;20;0.07518797;171.0577931
Rieti;44;07/04/2020;2;268;2;22;0.082089552;172.3439419
Rieti;45;08/04/2020;1;269;0;22;0.081784387;172.9870163
Rieti;46;09/04/2020;0;269;1;23;0.085501859;172.9870163
Rieti;47;10/04/2020;1;270;2;25;0.092592593;173.6300907
Rieti;48;11/04/2020;3;273;1;26;0.095238095;175.559314
Rieti;49;12/04/2020;3;276;0;26;0.094202899;177.4885372
Rieti;50;13/04/2020;0;276;1;27;0.097826087;177.4885372
Rieti;51;14/04/2020;0;276;0;27;0.097826087;177.4885372
Rieti;52;15/04/2020;1;277;0;27;0.097472924;178.1316116
Rieti;53;16/04/2020;0;277;1;28;0.101083032;178.1316116
Rieti;54;17/04/2020;1;278;1;29;0.104316547;178.774686
Rieti;55;18/04/2020;2;280;0;29;0.103571429;180.0608348
Rieti;56;19/04/2020;0;280;1;30;0.107142857;180.0608348
Rieti;57;20/04/2020;1;281;0;30;0.106761566;180.7039092
Rieti;58;21/04/2020;0;281;3;33;0.117437722;180.7039092
Rieti;59;22/04/2020;1;282;0;33;0.117021277;181.3469837
Rieti;60;23/04/2020;9;291;0;33;0.113402062;187.1346534
Rieti;61;24/04/2020;21;312;0;33;0.105769231;200.639216
Rieti;62;25/04/2020;1;313;0;33;0.10543131;201.2822904
Rieti;63;26/04/2020;0;313;1;34;0.108626198;201.2822904
Rieti;64;27/04/2020;1;314;0;34;0.108280255;201.9253648
Rieti;65;28/04/2020;-1;313;2;36;0.115015974;201.2822904
Rieti;66;29/04/2020;11;324;1;37;0.114197531;208.3561089
Rieti;67;30/04/2020;0;324;1;38;0.117283951;208.3561089
Rieti;68;01/05/2020;0;324;0;38;0.117283951;208.3561089
Rieti;69;02/05/2020;0;324;0;38;0.117283951;208.3561089
Rieti;70;03/05/2020;1;325;0;38;0.116923077;208.9991833
Rieti;71;04/05/2020;0;325;0;38;0.116923077;208.9991833
Rieti;72;05/05/2020;2;327;0;38;0.116207951;210.2853321
Rieti;73;06/05/2020;1;328;0;38;0.115853659;210.9284065
Rieti;74;07/05/2020;0;328;0;38;0.115853659;210.9284065
Rieti;75;08/05/2020;3;331;0;38;0.114803625;212.8576298
Rieti;76;09/05/2020;0;331;0;38;0.114803625;212.8576298
Rieti;77;10/05/2020;0;331;0;38;0.114803625;212.8576298
Rieti;78;11/05/2020;2;333;0;38;0.114114114;214.1437786
Rieti;79;12/05/2020;5;338;0;38;0.112426036;217.3591506
Rieti;80;13/05/2020;11;349;0;38;0.108882521;224.4329691
Rieti;81;14/05/2020;19;368;0;38;0.10326087;236.6513829
Rieti;82;15/05/2020;8;376;0;38;0.10106383;241.7959782
Rieti;83;16/05/2020;0;376;0;38;0.10106383;241.7959782
Rieti;84;17/05/2020;2;378;0;38;0.100529101;243.082127
Rieti;85;18/05/2020;2;380;0;38;0.1;244.3682759
Rieti;86;19/05/2020;-2;378;0;38;0.100529101;243.082127
Rieti;87;20/05/2020;0;378;0;38;0.100529101;243.082127
Rieti;88;21/05/2020;0;378;0;38;0.100529101;243.082127
Rieti;89;22/05/2020;0;378;0;38;0.100529101;243.082127
Rieti;90;23/05/2020;0;378;0;38;0.100529101;243.082127
Rieti;91;24/05/2020;1;379;0;38;0.100263852;243.7252014
Rieti;92;25/05/2020;1;380;0;38;0.1;244.3682759
Rieti;93;26/05/2020;0;380;0;38;0.1;244.3682759
Rieti;94;27/05/2020;0;380;0;38;0.1;244.3682759
Rieti;95;28/05/2020;3;383;0;38;0.09921671;246.2974991
Rieti;96;29/05/2020;2;385;0;38;0.098701299;247.5836479
Rieti;97;30/05/2020;0;385;0;38;0.098701299;247.5836479
Rieti;98;31/05/2020;0;385;0;38;0.098701299;247.5836479
Rieti;99;01/06/2020;1;386;1;39;0.101036269;248.2267223
Rieti;100;02/06/2020;0;386;0;39;0.101036269;248.2267223
Rieti;101;03/06/2020;0;386;0;39;0.101036269;248.2267223
Rieti;102;04/06/2020;0;386;0;39;0.101036269;248.2267223
Rieti;103;05/06/2020;0;386;0;39;0.101036269;248.2267223
Rieti;104;06/06/2020;0;386;0;39;0.101036269;248.2267223
Rieti;105;07/06/2020;0;386;0;39;0.101036269;248.2267223
Rieti;106;08/06/2020;0;386;0;39;0.101036269;248.2267223
Rieti;107;09/06/2020;0;386;0;39;0.101036269;248.2267223
Rieti;108;10/06/2020;6;392;0;39;0.099489796;252.0851688
Rieti;109;11/06/2020;3;395;0;39;0.098734177;254.014392
Rieti;110;12/06/2020;1;396;0;39;0.098484848;254.6574664
Rieti;111;13/06/2020;-1;395;0;39;0.098734177;254.014392
Rieti;112;14/06/2020;1;396;0;39;0.098484848;254.6574664
Rieti;113;15/06/2020;1;397;0;39;0.098236776;255.3005408
Rieti;114;16/06/2020;0;397;0;39;0.098236776;255.3005408
Rieti;115;17/06/2020;0;397;0;39;0.098236776;255.3005408
Rieti;116;18/06/2020;0;397;0;39;0.098236776;255.3005408
Rieti;117;19/06/2020;0;397;3;42;0.105793451;255.3005408
Rieti;118;20/06/2020;0;397;0;42;0.105793451;255.3005408
Rieti;119;21/06/2020;0;397;0;42;0.105793451;255.3005408
Rieti;120;22/06/2020;0;397;0;42;0.105793451;255.3005408
Rieti;121;23/06/2020;0;397;0;42;0.105793451;255.3005408
Rieti;122;24/06/2020;14;411;0;42;0.102189781;264.3035826
Rieti;123;25/06/2020;0;411;0;42;0.102189781;264.3035826
Rieti;124;26/06/2020;0;411;0;42;0.102189781;264.3035826
Rieti;125;27/06/2020;0;411;0;42;0.102189781;264.3035826
Rieti;126;28/06/2020;0;411;0;42;0.102189781;264.3035826
Rieti;127;29/06/2020;0;411;0;42;0.102189781;264.3035826
Rieti;128;30/06/2020;0;411;0;42;0.102189781;264.3035826
Rieti;129;01/07/2020;0;411;0;42;0.102189781;264.3035826
Rieti;130;02/07/2020;1;412;0;42;0.101941748;264.946657
Rieti;131;03/07/2020;0;412;0;42;0.101941748;264.946657
Rieti;132;04/07/2020;0;412;0;42;0.101941748;264.946657
Rieti;133;05/07/2020;0;412;0;42;0.101941748;264.946657
Rieti;134;06/07/2020;2;414;0;42;0.101449275;266.2328058
Rieti;135;07/07/2020;-2;412;0;42;0.101941748;264.946657
Rieti;136;08/07/2020;6;418;0;42;0.100478469;268.8051034
Rieti;137;09/07/2020;-5;413;0;42;0.101694915;265.5897314
Rieti;138;10/07/2020;0;413;0;42;0.101694915;265.5897314
Rieti;139;11/07/2020;0;413;0;42;0.101694915;265.5897314
Rieti;140;12/07/2020;0;413;0;42;0.101694915;265.5897314
Rieti;141;13/07/2020;0;413;0;42;0.101694915;265.5897314
Rieti;142;14/07/2020;0;413;0;42;0.101694915;265.5897314
Rieti;143;15/07/2020;0;413;0;42;0.101694915;265.5897314
Rieti;144;16/07/2020;0;413;0;42;0.101694915;265.5897314
Rieti;145;17/07/2020;0;413;0;42;0.101694915;265.5897314
Rieti;146;18/07/2020;0;413;0;42;0.101694915;265.5897314
Rieti;147;19/07/2020;1;414;0;42;0.101449275;266.2328058
Rieti;148;20/07/2020;0;414;0;42;0.101449275;266.2328058
Rieti;149;21/07/2020;0;414;0;42;0.101449275;266.2328058
Rieti;150;22/07/2020;0;414;0;42;0.101449275;266.2328058
Rieti;151;23/07/2020;0;414;0;42;0.101449275;266.2328058
Rieti;152;24/07/2020;0;414;0;42;0.101449275;266.2328058
Rieti;153;25/07/2020;0;414;0;42;0.101449275;266.2328058
Rieti;154;26/07/2020;0;414;0;42;0.101449275;266.2328058
Rieti;155;27/07/2020;4;418;0;42;0.100478469;268.8051034
Rieti;156;28/07/2020;2;420;0;42;0.1;270.0912523
Rieti;157;29/07/2020;1;421;0;42;0.09976247;270.7343267
Rieti;158;30/07/2020;1;422;0;42;0.099526066;271.3774011
Rieti;159;31/07/2020;1;423;0;42;0.09929078;272.0204755
Rieti;160;01/08/2020;0;423;0;42;0.09929078;272.0204755
Rieti;161;02/08/2020;0;423;0;42;0.09929078;272.0204755
Rieti;162;03/08/2020;0;423;0;42;0.09929078;272.0204755
Rieti;163;04/08/2020;1;424;0;42;0.099056604;272.6635499
Rieti;164;05/08/2020;1;425;0;42;0.098823529;273.3066243
Rieti;165;06/08/2020;2;427;0;42;0.098360656;274.5927731
Rieti;166;07/08/2020;0;427;0;42;0.098360656;274.5927731
Rieti;167;08/08/2020;1;428;0;42;0.098130841;275.2358475
Rieti;168;09/08/2020;2;430;0;42;0.098130841;275.2358475
Rieti;169;10/08/2020;3;433;0;42;0.098130841;275.2358475
Rieti;170;11/08/2020;1;434;0;42;0.098130841;275.2358475
Rieti;171;12/08/2020;1;435;0;42;0.098130841;275.2358475
Rieti;172;13/08/2020;4;439;0;42;0.098130841;275.2358475
Rieti;173;14/08/2020;0;439;0;42;0.098130841;275.2358475
Rieti;174;15/08/2020;0;439;0;42;0.098130841;275.2358475
Rieti;175;16/08/2020;0;439;0;42;0.098130841;275.2358475
