Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Roma,1,24/02/2020,0,0,0,0,0,0
Roma,2,25/02/2020,3,3,0,0,0,0.07
Roma,3,26/02/2020,0,3,0,0,0,0.07
Roma,4,27/02/2020,0,3,0,0,0,0.07
Roma,5,28/02/2020,0,3,0,0,0,0.07
Roma,6,29/02/2020,3,6,0,0,0,0.14
Roma,7,01/03/2020,0,6,0,0,0,0.14
Roma,8,02/03/2020,1,7,0,0,0,0.16
Roma,9,03/03/2020,7,14,0,0,0,0.32
Roma,10,04/03/2020,15,29,0,0,0,0.67
Roma,11,05/03/2020,13,42,0,0,0,0.97
Roma,12,06/03/2020,7,49,1,1,0.02,1.13
Roma,13,07/03/2020,22,71,0,1,0.01,1.64
Roma,14,08/03/2020,6,77,1,2,0.03,1.77
Roma,15,09/03/2020,14,91,2,4,0.04,2.1
Roma,16,10/03/2020,-15,76,0,4,0.05,1.75
Roma,17,11/03/2020,23,99,0,4,0.04,2.28
Roma,18,12/03/2020,63,162,3,7,0.04,3.73
Roma,19,13/03/2020,56,218,1,8,0.04,5.02
Roma,20,14/03/2020,70,288,1,9,0.03,6.63
Roma,21,15/03/2020,66,354,1,10,0.03,8.15
Roma,22,16/03/2020,58,412,3,13,0.03,9.49
Roma,23,17/03/2020,74,486,2,15,0.03,11.19
Roma,24,18/03/2020,104,590,4,19,0.03,13.59
Roma,25,19/03/2020,88,678,6,25,0.04,15.61
Roma,26,20/03/2020,77,755,5,30,0.04,17.39
Roma,27,21/03/2020,138,893,9,39,0.04,20.57
Roma,28,22/03/2020,156,1049,1,40,0.04,24.16
Roma,29,23/03/2020,122,1171,7,47,0.04,26.97
Roma,30,24/03/2020,116,1287,14,61,0.05,29.64
Roma,31,25/03/2020,141,1428,9,70,0.05,32.89
Roma,32,26/03/2020,139,1567,9,79,0.05,36.09
Roma,33,27/03/2020,136,1703,7,86,0.05,39.22
Roma,34,28/03/2020,136,1839,4,90,0.05,42.35
Roma,35,29/03/2020,136,1945,7,97,0.05,44.79
Roma,36,30/03/2020,123,2068,10,107,0.05,47.63
Roma,37,31/03/2020,118,2186,8,115,0.05,50.34
Roma,38,01/04/2020,74,2260,4,119,0.05,52.05
Roma,39,02/04/2020,133,2393,11,130,0.05,55.11
Roma,40,03/04/2020,110,2503,8,138,0.06,57.64
Roma,41,04/04/2020,117,2620,10,148,0.06,60.34
Roma,42,05/04/2020,94,2714,1,149,0.06,62.5
Roma,43,06/04/2020,55,2769,7,156,0.06,63.77
Roma,44,07/04/2020,61,2830,7,163,0.06,65.17
Roma,45,08/04/2020,80,2910,5,168,0.06,67.02
Roma,46,09/04/2020,116,3026,5,173,0.06,69.69
Roma,47,10/04/2020,88,3114,7,180,0.06,71.71
Roma,48,11/04/2020,105,3219,7,187,0.06,74.13
Roma,49,12/04/2020,96,3315,4,191,0.06,76.34
Roma,50,13/04/2020,116,3431,4,195,0.06,79.02
Roma,51,14/04/2020,129,3560,15,210,0.06,81.99
Roma,52,15/04/2020,105,3665,10,220,0.06,84.4
Roma,53,16/04/2020,102,3767,3,223,0.06,86.75
Roma,54,17/04/2020,121,3888,10,233,0.06,89.54
Roma,55,18/04/2020,130,4018,7,240,0.06,92.53
Roma,56,19/04/2020,64,4082,0,240,0.06,94.01
Roma,57,20/04/2020,51,4133,5,245,0.06,95.18
Roma,58,21/04/2020,56,4189,10,255,0.06,96.47
Roma,59,22/04/2020,68,4257,5,260,0.06,98.04
Roma,60,23/04/2020,56,4313,3,263,0.06,99.33
Roma,61,24/04/2020,48,4361,8,271,0.06,100.43
Roma,62,25/04/2020,73,4434,2,273,0.06,102.11
Roma,63,26/04/2020,67,4501,0,273,0.06,103.66
Roma,64,27/04/2020,68,4569,6,279,0.06,105.22
Roma,65,28/04/2020,73,4642,14,293,0.06,106.9
Roma,66,29/04/2020,51,4693,6,299,0.06,108.08
Roma,67,30/04/2020,63,4756,10,309,0.06,109.53
Roma,68,01/05/2020,51,4807,7,316,0.07,110.7
Roma,69,02/05/2020,56,4863,8,324,0.07,111.99
Roma,70,03/05/2020,48,4911,10,334,0.07,113.1
Roma,71,04/05/2020,37,4948,12,346,0.07,113.95
Roma,72,05/05/2020,57,5005,5,351,0.07,115.26
Roma,73,06/05/2020,75,5080,3,354,0.07,116.99
Roma,74,07/05/2020,37,5117,5,359,0.07,117.84
Roma,75,08/05/2020,47,5164,6,365,0.07,118.93
Roma,76,09/05/2020,38,5202,2,367,0.07,119.8
Roma,77,10/05/2020,27,5229,1,368,0.07,120.42
Roma,78,11/05/2020,21,5250,5,373,0.07,120.91
Roma,79,12/05/2020,16,5266,2,375,0.07,121.27
Roma,80,13/05/2020,25,5291,5,380,0.07,121.85
Roma,81,14/05/2020,17,5308,4,384,0.07,122.24
Roma,82,15/05/2020,63,5371,4,388,0.07,123.69
Roma,83,16/05/2020,26,5397,8,396,0.07,124.29
Roma,84,17/05/2020,39,5436,0,396,0.07,125.19
Roma,85,18/05/2020,30,5466,2,398,0.07,125.88
Roma,86,19/05/2020,8,5474,9,407,0.07,126.06
Roma,87,20/05/2020,20,5494,2,409,0.07,126.53
