Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Viterbo,1,24/02/2020,0,0,0,0,0.0,0.0
Viterbo,2,25/02/2020,0,0,0,0,0.0,0.0
Viterbo,3,26/02/2020,0,0,0,0,0.0,0.0
Viterbo,4,27/02/2020,0,0,0,0,0.0,0.0
Viterbo,5,28/02/2020,0,0,0,0,0.0,0.0
Viterbo,6,29/02/2020,0,0,0,0,0.0,0.0
Viterbo,7,01/03/2020,0,0,0,0,0.0,0.0
Viterbo,8,02/03/2020,0,0,0,0,0.0,0.0
Viterbo,9,03/03/2020,0,0,0,0,0.0,0.0
Viterbo,10,04/03/2020,0,0,0,0,0.0,0.0
Viterbo,11,05/03/2020,0,0,0,0,0.0,0.0
Viterbo,12,06/03/2020,2,2,0,0,0.0,0.630855124
Viterbo,13,07/03/2020,0,2,0,0,0.0,0.630855124
Viterbo,14,08/03/2020,0,2,0,0,0.0,0.630855124
Viterbo,15,09/03/2020,0,2,0,0,0.0,0.630855124
Viterbo,16,10/03/2020,3,5,0,0,0.0,1.57713781
Viterbo,17,11/03/2020,5,10,0,0,0.0,3.154275621
Viterbo,18,12/03/2020,-5,5,0,0,0.0,1.57713781
Viterbo,19,13/03/2020,5,10,0,0,0.0,3.154275621
Viterbo,20,14/03/2020,3,13,0,0,0.0,4.100558307
Viterbo,21,15/03/2020,2,15,1,1,0.066666667,4.731413431
Viterbo,22,16/03/2020,12,27,0,1,0.037037037,8.516544176
Viterbo,23,17/03/2020,4,31,0,1,0.032258065,9.778254424
Viterbo,24,18/03/2020,8,39,0,1,0.025641026,12.30167492
Viterbo,25,19/03/2020,11,50,0,1,0.02,15.771378099999998
Viterbo,26,20/03/2020,13,63,0,1,0.015873016,19.87193641
Viterbo,27,21/03/2020,9,72,0,1,0.013888889,22.71078447
Viterbo,28,22/03/2020,10,82,0,1,0.012195122,25.86506009
Viterbo,29,23/03/2020,11,93,0,1,0.010752688,29.33476327
Viterbo,30,24/03/2020,28,121,0,1,0.008264463,38.16673501
Viterbo,31,25/03/2020,1,122,1,2,0.016393443,38.48216257
Viterbo,32,26/03/2020,0,122,1,3,0.024590164,38.48216257
Viterbo,33,27/03/2020,2,124,0,3,0.024193548,39.1130177
Viterbo,34,28/03/2020,20,144,0,3,0.020833333,45.42156894
Viterbo,35,29/03/2020,35,179,0,3,0.033519553,56.46153361
Viterbo,36,30/03/2020,2,181,2,5,0.027624309,57.09238873
Viterbo,37,31/03/2020,0,181,0,5,0.027624309,57.09238873
Viterbo,38,01/04/2020,12,193,1,6,0.031088083,60.87751948
Viterbo,39,02/04/2020,26,219,0,6,0.02739726,69.07863609
Viterbo,40,03/04/2020,7,226,0,6,0.026548673,71.28662903
Viterbo,41,04/04/2020,14,240,0,6,0.025,75.70261489
Viterbo,42,05/04/2020,3,243,0,6,0.024691358,76.64889758
Viterbo,43,06/04/2020,0,243,0,6,0.024691358,76.64889758
Viterbo,44,07/04/2020,19,262,0,6,0.022900763,82.64202126
Viterbo,45,08/04/2020,1,263,0,6,0.022813688,82.95744882
Viterbo,46,09/04/2020,15,278,0,6,0.021582734,87.68886225
Viterbo,47,10/04/2020,26,304,1,7,0.023026316,95.88997887
Viterbo,48,11/04/2020,9,313,2,9,0.028753994,98.72882692
Viterbo,49,12/04/2020,3,316,0,9,0.028481013,99.67510961
Viterbo,50,13/04/2020,2,318,0,9,0.028301887,100.3059647
Viterbo,51,14/04/2020,8,326,0,9,0.027607362000000003,102.8293852
Viterbo,52,15/04/2020,0,326,1,10,0.030674847,102.8293852
Viterbo,53,16/04/2020,12,338,0,10,0.029585799,106.614516
Viterbo,54,17/04/2020,8,346,1,11,0.031791908,109.1379365
Viterbo,55,18/04/2020,3,349,1,12,0.034383954,110.0842192
Viterbo,56,19/04/2020,0,349,0,12,0.034383954,110.0842192
Viterbo,57,20/04/2020,0,349,1,13,0.037249284,110.0842192
Viterbo,58,21/04/2020,6,355,0,13,0.036619718,111.9767845
Viterbo,59,22/04/2020,2,357,1,14,0.039215686,112.60763970000001
Viterbo,60,23/04/2020,9,366,0,14,0.038251366,115.4464877
Viterbo,61,24/04/2020,6,372,0,14,0.037634409,117.3390531
Viterbo,62,25/04/2020,4,376,1,15,0.039893617,118.6007633
Viterbo,63,26/04/2020,2,378,1,16,0.042328042,119.2316185
Viterbo,64,27/04/2020,5,383,1,17,0.044386423,120.8087563
Viterbo,65,28/04/2020,0,383,0,17,0.044386423,120.8087563
Viterbo,66,29/04/2020,2,385,0,17,0.04415584400000002,121.4396114
Viterbo,67,30/04/2020,5,390,1,18,0.046153846,123.0167492
Viterbo,68,01/05/2020,1,391,0,18,0.046035806,123.3321768
Viterbo,69,02/05/2020,4,395,0,18,0.04556962,124.593887
Viterbo,70,03/05/2020,1,396,1,19,0.047979798,124.9093146
Viterbo,71,04/05/2020,1,397,0,19,0.047858942,125.2247421
Viterbo,72,05/05/2020,4,401,1,20,0.049875312000000005,126.4864524
Viterbo,73,06/05/2020,2,403,0,20,0.049627792,127.1173075
Viterbo,74,07/05/2020,0,403,0,20,0.049627792,127.1173075
Viterbo,75,08/05/2020,3,406,0,20,0.049261084,128.0635902
Viterbo,76,09/05/2020,0,406,0,20,0.049261084,128.0635902
Viterbo,77,10/05/2020,2,408,0,20,0.049019608,128.69444529999998
Viterbo,78,11/05/2020,1,409,0,20,0.048899756,129.0098729
Viterbo,79,12/05/2020,1,410,0,20,0.048780488,129.3253004
Viterbo,80,13/05/2020,0,410,1,21,0.051219512,129.3253004
Viterbo,81,14/05/2020,5,415,0,21,0.05060241,130.9024383
Viterbo,82,15/05/2020,1,416,1,22,0.052884615,131.2178658
Viterbo,83,16/05/2020,3,419,0,22,0.052505967,132.1641485
Viterbo,84,17/05/2020,2,421,1,23,0.05463182900000002,132.79500359999997
Viterbo,85,18/05/2020,1,422,0,23,0.05450237,133.1104312
Viterbo,86,19/05/2020,-1,421,0,23,0.05463182900000002,132.79500359999997
Viterbo,87,20/05/2020,2,423,0,23,0.054373522,133.4258588
Viterbo,88,21/05/2020,2,425,0,23,0.054117647000000005,134.0567139
Viterbo,89,22/05/2020,1,426,0,23,0.05399061,134.3721414
Viterbo,90,23/05/2020,0,426,0,23,0.05399061,134.3721414
