Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
La Spezia,1,24/02/2020,0,0,0,0,0,0
La Spezia,2,25/02/2020,0,0,0,0,0,0
La Spezia,3,26/02/2020,1,1,0,0,0,0.46
La Spezia,4,27/02/2020,0,1,0,0,0,0.46
La Spezia,5,28/02/2020,0,1,0,0,0,0.46
La Spezia,6,29/02/2020,0,1,0,0,0,0.46
La Spezia,7,01/03/2020,0,1,0,0,0,0.46
La Spezia,8,02/03/2020,0,1,0,0,0,0.46
La Spezia,9,03/03/2020,0,1,0,0,0,0.46
La Spezia,10,04/03/2020,0,1,0,0,0,0.46
La Spezia,11,05/03/2020,0,1,0,0,0,0.46
La Spezia,12,06/03/2020,0,1,0,0,0,0.46
La Spezia,13,07/03/2020,4,5,0,0,0,2.28
La Spezia,14,08/03/2020,6,11,0,0,0,5.01
La Spezia,15,09/03/2020,4,15,0,0,0,6.83
La Spezia,16,10/03/2020,0,15,0,0,0,6.83
La Spezia,17,11/03/2020,4,19,0,0,0,8.65
La Spezia,18,12/03/2020,7,26,0,0,0,11.84
La Spezia,19,13/03/2020,11,37,0,0,0,16.85
La Spezia,20,14/03/2020,15,52,0,0,0,23.68
La Spezia,21,15/03/2020,8,60,0,0,0,27.33
La Spezia,22,16/03/2020,0,60,0,0,0,27.33
La Spezia,23,17/03/2020,5,65,0,0,0,29.61
La Spezia,24,18/03/2020,18,83,0,0,0,37.8
La Spezia,25,19/03/2020,5,88,0,0,0,40.08
La Spezia,26,20/03/2020,2,90,0,0,0,40.99
La Spezia,27,21/03/2020,4,94,0,0,0,42.81
La Spezia,28,22/03/2020,5,99,0,0,0,45.09
La Spezia,29,23/03/2020,11,110,0,0,0,50.1
La Spezia,30,24/03/2020,-6,104,0,0,0,47.37
La Spezia,31,25/03/2020,33,137,0,0,0,62.4
La Spezia,32,26/03/2020,12,149,0,0,0,67.86
La Spezia,33,27/03/2020,64,213,0,0,0,97.01
La Spezia,34,28/03/2020,21,234,0,0,0,106.58
La Spezia,35,29/03/2020,-1,233,0,0,0,106.12
La Spezia,36,30/03/2020,1,234,0,0,0,106.58
La Spezia,37,31/03/2020,14,248,0,0,0,112.96
La Spezia,38,01/04/2020,-3,245,0,0,0,111.59
La Spezia,39,02/04/2020,5,250,0,0,0,113.87
La Spezia,40,03/04/2020,73,323,0,0,0,147.12
La Spezia,41,04/04/2020,18,341,0,0,0,155.31
La Spezia,42,05/04/2020,104,445,0,0,0,202.68
La Spezia,43,06/04/2020,5,450,0,0,0,204.96
La Spezia,44,07/04/2020,13,463,0,0,0,210.88
La Spezia,45,08/04/2020,142,605,0,0,0,275.56
La Spezia,46,09/04/2020,14,619,0,0,0,281.93
La Spezia,47,10/04/2020,10,629,0,0,0,286.49
La Spezia,48,11/04/2020,0,629,0,0,0,286.49
La Spezia,49,12/04/2020,41,670,0,0,0,305.16
La Spezia,50,13/04/2020,0,670,0,0,0,305.16
La Spezia,51,14/04/2020,-10,660,0,0,0,300.61
La Spezia,52,15/04/2020,36,696,0,0,0,317
La Spezia,53,16/04/2020,24,720,0,0,0,327.93
La Spezia,54,17/04/2020,5,725,0,0,0,330.21
La Spezia,55,18/04/2020,16,741,0,0,0,337.5
La Spezia,56,19/04/2020,26,767,0,0,0,349.34
La Spezia,57,20/04/2020,10,777,0,0,0,353.9
La Spezia,58,21/04/2020,11,788,0,0,0,358.91
La Spezia,59,22/04/2020,5,793,0,0,0,361.18
La Spezia,60,23/04/2020,10,803,0,0,0,365.74
La Spezia,61,24/04/2020,6,809,0,0,0,368.47
La Spezia,62,25/04/2020,4,813,0,0,0,370.29
La Spezia,63,26/04/2020,2,815,0,0,0,371.2
La Spezia,64,27/04/2020,8,823,0,0,0,374.85
