Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Savona,1,24/02/2020,0,0,0,0,0,0
Savona,2,25/02/2020,1,1,0,0,0,0.36
Savona,3,26/02/2020,9,10,0,0,0,3.62
Savona,4,27/02/2020,8,18,0,0,0,6.52
Savona,5,28/02/2020,0,18,0,0,0,6.52
Savona,6,29/02/2020,23,41,0,0,0,14.85
Savona,7,01/03/2020,-22,19,0,0,0,6.88
Savona,8,02/03/2020,-3,16,0,0,0,5.8
Savona,9,03/03/2020,4,20,0,0,0,7.24
Savona,10,04/03/2020,-1,19,1,1,0.053,6.88
Savona,11,05/03/2020,1,20,1,2,0.1,7.24
Savona,12,06/03/2020,-5,15,0,2,0.133,5.43
Savona,13,07/03/2020,4,19,0,2,0.105,6.88
Savona,14,08/03/2020,6,25,1,3,0.12,9.06
Savona,15,09/03/2020,10,35,2,5,0.143,12.68
Savona,16,10/03/2020,3,38,0,5,0.132,13.76
Savona,17,11/03/2020,4,42,0,5,0.119,15.21
Savona,18,12/03/2020,10,52,0,5,0.096,18.84
Savona,19,13/03/2020,10,62,0,5,0.081,22.46
Savona,20,14/03/2020,25,87,0,5,0.057,31.51
Savona,21,15/03/2020,9,96,0,5,0.052,34.77
Savona,22,16/03/2020,0,96,0,5,0.052,34.77
Savona,23,17/03/2020,4,100,0,5,0.05,36.22
Savona,24,18/03/2020,26,126,0,5,0.04,45.64
Savona,25,19/03/2020,5,131,0,5,0.038,47.45
Savona,26,20/03/2020,31,162,6,11,0.068,58.68
Savona,27,21/03/2020,11,173,0,11,0.064,62.67
Savona,28,22/03/2020,2,175,2,13,0.074,63.39
Savona,29,23/03/2020,10,185,1,14,0.076,67.01
Savona,30,24/03/2020,19,204,3,17,0.083,73.9
Savona,31,25/03/2020,6,210,0,17,0.081,76.07
Savona,32,26/03/2020,-1,209,1,18,0.086,75.71
Savona,33,27/03/2020,14,223,1,19,0.085,80.78
Savona,34,28/03/2020,-4,219,2,21,0.096,79.33
Savona,35,29/03/2020,20,239,5,26,0.109,86.57
Savona,36,30/03/2020,10,249,3,29,0.116,90.2
Savona,37,31/03/2020,0,249,2,31,0.124,90.2
Savona,38,01/04/2020,2,251,2,33,0.131,90.92
Savona,39,02/04/2020,-6,245,4,37,0.151,88.75
Savona,40,03/04/2020,19,264,4,41,0.155,95.63
Savona,41,04/04/2020,-3,261,5,46,0.176,94.54
Savona,42,05/04/2020,473,734,1,47,0.064,265.88
Savona,43,06/04/2020,-39,695,4,51,0.073,251.75
Savona,44,07/04/2020,-186,509,4,55,0.108,184.38
Savona,45,08/04/2020,145,654,7,62,0.095,236.9
Savona,46,09/04/2020,2,656,5,67,0.102,237.63
Savona,47,10/04/2020,30,686,1,68,0.099,248.49
Savona,48,11/04/2020,85,771,2,70,0.091,279.28
Savona,49,12/04/2020,26,797,3,73,0.092,288.7
Savona,50,13/04/2020,0,797,4,77,0.097,288.7
Savona,51,14/04/2020,-100,697,5,82,0.118,252.48
Savona,52,15/04/2020,20,717,4,86,0.12,259.72
Savona,53,16/04/2020,32,749,1,87,0.116,271.31
Savona,54,17/04/2020,63,812,4,91,0.112,294.13
Savona,55,18/04/2020,0,812,3,94,0.116,294.13
Savona,56,19/04/2020,114,926,3,97,0.105,335.43
Savona,57,20/04/2020,11,937,4,101,0.108,339.41
Savona,58,21/04/2020,23,960,6,107,0.111,347.75
Savona,59,22/04/2020,37,997,2,109,0.109,361.15
Savona,60,23/04/2020,2,999,5,114,0.114,361.87
Savona,61,24/04/2020,54,1053,3,117,0.111,381.43
Savona,62,25/04/2020,57,1110,2,119,0.107,402.08
Savona,63,26/04/2020,13,1123,0,119,0.106,406.79
Savona,64,27/04/2020,6,1129,1,120,0.106,408.96
Savona,65,28/04/2020,39,1168,1,121,0.104,423.09
Savona,66,29/04/2020,2,1170,4,125,0.107,423.81
Savona,67,30/04/2020,34,1204,2,127,0.105,436.13
Savona,68,01/05/2020,43,1247,5,132,0.106,451.71
Savona,69,02/05/2020,11,1258,1,133,0.106,455.69
Savona,70,03/05/2020,28,1286,1,134,0.104,465.83
Savona,71,04/05/2020,3,1289,2,136,0.106,466.92
Savona,72,05/05/2020,15,1304,2,138,0.106,472.35
