Province;Day;Date;New_cases;Curr_pos_cases;Deaths;Tot_deaths;Lethality_rate;Cumul_rates
Cremona;  1;24/02/2020;  0;    0; 0;   1;       Inf;   0,00
Cremona;  2;25/02/2020;  0;   53; 0;   1;0,01900000;  14,77
Cremona;  3;26/02/2020;  4;   57; 0;   1;0,01800000;  15,88
Cremona;  4;27/02/2020; 34;   91; 0;   1;0,01100000;  25,35
Cremona;  5;28/02/2020; 32;  123; 1;   2;0,01600000;  34,27
Cremona;  6;29/02/2020; 13;  136; 0;   2;0,01500000;  37,89
Cremona;  7;01/03/2020; 78;  214; 0;   2;0,00900000;  59,62
Cremona;  8;02/03/2020;  9;  223; 1;   3;0,01300000;  62,12
Cremona;  9;03/03/2020; 64;  287; 2;   5;0,01700000;  79,95
Cremona; 10;04/03/2020; 46;  333; 4;   9;0,02700000;  92,77
Cremona; 11;05/03/2020; 73;  406; 4;  13;0,03200000; 113,11
Cremona; 12;06/03/2020; 46;  452; 4;  17;0,03800000; 125,92
Cremona; 13;07/03/2020;110;  562;10;  27;0,04800000; 156,57
Cremona; 14;08/03/2020;103;  665; 8;  35;0,05300000; 185,26
Cremona; 15;09/03/2020;251;  916; 9;  44;0,04800000; 255,19
Cremona; 16;10/03/2020; 41;  957;32;  76;0,07900000; 266,61
Cremona; 17;11/03/2020;104; 1061;11;  87;0,08200000; 295,58
Cremona; 18;12/03/2020;241; 1302;14; 101;0,07800000; 362,72
Cremona; 19;13/03/2020; 42; 1344; 6; 107;0,08000000; 374,42
Cremona; 20;14/03/2020;312; 1656; 6; 113;0,06800000; 461,34
Cremona; 21;15/03/2020;136; 1792;14; 127;0,07100000; 499,23
Cremona; 22;16/03/2020; 89; 1881;24; 151;0,08000000; 524,02
Cremona; 23;17/03/2020;192; 2073;19; 170;0,08200000; 577,51
Cremona; 24;18/03/2020; 94; 2167;28; 198;0,09100000; 603,70
Cremona; 25;19/03/2020;119; 2286;19; 217;0,09500000; 636,85
Cremona; 26;20/03/2020;106; 2392;36; 253;0,10600000; 666,38
Cremona; 27;21/03/2020;341; 2733;47; 300;0,11000000; 761,38
Cremona; 28;22/03/2020;162; 2895;21; 321;0,11100000; 806,51
Cremona; 29;23/03/2020; 30; 2925;11; 332;0,11400000; 814,87
Cremona; 30;24/03/2020;136; 3061;31; 363;0,11900000; 852,75
Cremona; 31;25/03/2020; 95; 3156;20; 383;0,12100000; 879,22
Cremona; 32;26/03/2020;214; 3370;25; 408;0,12100000; 938,84
Cremona; 33;27/03/2020;126; 3496;47; 455;0,13000000; 973,94
Cremona; 34;28/03/2020;109; 3605;52; 507;0,14100000;1004,30
Cremona; 35;29/03/2020;157; 3762;24; 531;0,14100000;1048,04
Cremona; 36;30/03/2020; 26; 3788;22; 553;0,14600000;1055,29
Cremona; 37;31/03/2020; 81; 3869;23; 576;0,14900000;1077,85
Cremona; 38;01/04/2020; 72; 3941;29; 605;0,15400000;1097,91
Cremona; 39;02/04/2020; 33; 3974;26; 631;0,15900000;1107,10
