Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Ancona,1,24/02/2020,0,0,0,0,0,1000000
Ancona,2,25/02/2020,0,0,0,0,0,1000000
Ancona,3,26/02/2020,0,0,0,0,0,1000000
Ancona,4,27/02/2020,0,0,0,0,0,1000000
Ancona,5,28/02/2020,0,0,0,0,0,1000000
Ancona,6,29/02/2020,0,0,0,0,0,1000000
Ancona,7,01/03/2020,1,1,0,0,0,1000000
Ancona,8,02/03/2020,1,2,0,0,0,1000000
Ancona,9,03/03/2020,3,5,0,0,0,1000000
Ancona,10,04/03/2020,4,9,0,0,0,1000000
Ancona,11,05/03/2020,10,19,0,0,0,1000000
Ancona,12,06/03/2020,4,23,0,0,0,1000000
Ancona,13,07/03/2020,15,38,1,1,0.026,1000000
Ancona,14,08/03/2020,16,54,1,2,0.037,1000000
Ancona,15,09/03/2020,9,63,1,3,0.048,1000000
Ancona,16,10/03/2020,18,81,1,4,0.049,1000000
Ancona,17,11/03/2020,29,110,2,6,0.055,1000000
Ancona,18,12/03/2020,32,142,2,8,0.056,1000000
Ancona,19,13/03/2020,16,158,1,9,0.057,1000000
Ancona,20,14/03/2020,57,215,6,15,0.07,1000000
Ancona,21,15/03/2020,52,267,2,17,0.064,1000000
Ancona,22,16/03/2020,56,323,0,17,0.053,1000000
Ancona,23,17/03/2020,33,356,10,27,0.076,1000000
Ancona,24,18/03/2020,47,403,2,29,0.072,1000000
Ancona,25,19/03/2020,44,447,6,35,0.078,1000000
Ancona,26,20/03/2020,66,513,6,41,0.08,1000000
Ancona,27,21/03/2020,51,564,3,44,0.078,1000000
Ancona,28,22/03/2020,112,676,5,49,0.072,1000000
Ancona,29,23/03/2020,26,702,11,60,0.085,1000000
Ancona,30,24/03/2020,49,751,11,71,0.095,1000000
Ancona,31,25/03/2020,69,820,7,78,0.095,1000000
Ancona,32,26/03/2020,49,869,9,87,0.1,1000000
Ancona,33,27/03/2020,36,905,11,98,0.108,1000000
Ancona,34,28/03/2020,39,944,8,106,0.112,1000000
Ancona,35,29/03/2020,75,1019,15,121,0.119,1000000
Ancona,36,30/03/2020,41,1060,9,130,0.123,1000000
Ancona,37,31/03/2020,56,1116,11,141,0.126,1000000
Ancona,38,01/04/2020,58,1174,7,148,0.126,1000000
Ancona,39,02/04/2020,37,1211,10,158,0.13,1000000
Ancona,40,03/04/2020,52,1263,6,164,0.13,1000000
Ancona,41,04/04/2020,27,1290,7,171,0.133,1000000
Ancona,42,05/04/2020,66,1356,4,175,0.129,1000000
Ancona,43,06/04/2020,45,1401,6,181,0.129,1000000
Ancona,44,07/04/2020,28,1429,5,186,0.13,1000000
Ancona,45,08/04/2020,26,1455,7,193,0.133,1000000
Ancona,46,09/04/2020,26,1481,5,198,0.134,1000000
Ancona,47,10/04/2020,20,1501,3,201,0.134,1000000
Ancona,48,11/04/2020,46,1547,4,205,0.133,1000000
Ancona,49,12/04/2020,43,1590,3,208,0.131,1000000
Ancona,50,13/04/2020,15,1605,2,210,0.131,1000000
Ancona,51,14/04/2020,24,1629,6,216,0.133,1000000
Ancona,52,15/04/2020,18,1647,4,220,0.134,1000000
Ancona,53,16/04/2020,17,1664,5,225,0.135,1000000
Ancona,54,17/04/2020,22,1686,5,230,0.136,1000000
Ancona,55,18/04/2020,16,1702,3,233,0.137,1000000
