Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Ascoli Piceno,1,24/02/2020,0,0,0,0,0,0
Ascoli Piceno,2,25/02/2020,0,0,0,0,0,0
Ascoli Piceno,3,26/02/2020,0,0,0,0,0,0
Ascoli Piceno,4,27/02/2020,0,0,0,0,0,0
Ascoli Piceno,5,28/02/2020,0,0,0,0,0,0
Ascoli Piceno,6,29/02/2020,0,0,0,0,0,0
Ascoli Piceno,7,01/03/2020,0,0,0,0,0,0
Ascoli Piceno,8,02/03/2020,0,0,0,0,0,0
Ascoli Piceno,9,03/03/2020,0,0,0,0,0,0
Ascoli Piceno,10,04/03/2020,0,0,0,0,0,0
Ascoli Piceno,11,05/03/2020,0,0,0,0,0,0
Ascoli Piceno,12,06/03/2020,0,0,0,0,0,0
Ascoli Piceno,13,07/03/2020,0,0,0,0,0,0
Ascoli Piceno,14,08/03/2020,0,0,0,0,0,0
Ascoli Piceno,15,09/03/2020,0,0,0,0,0,0
Ascoli Piceno,16,10/03/2020,0,0,0,0,0,0
Ascoli Piceno,17,11/03/2020,1,1,0,0,0,0.48
Ascoli Piceno,18,12/03/2020,0,1,0,0,0,0.48
Ascoli Piceno,19,13/03/2020,1,2,1,1,0.5,0.97
Ascoli Piceno,20,14/03/2020,5,7,0,1,0.14,3.38
Ascoli Piceno,21,15/03/2020,7,14,0,1,0.07,6.76
Ascoli Piceno,22,16/03/2020,7,21,0,1,0.05,10.14
Ascoli Piceno,23,17/03/2020,2,23,1,2,0.09,11.1
Ascoli Piceno,24,18/03/2020,2,25,0,2,0.08,12.07
Ascoli Piceno,25,19/03/2020,2,27,0,2,0.07,13.03
Ascoli Piceno,26,20/03/2020,16,43,0,2,0.05,20.75
Ascoli Piceno,27,21/03/2020,7,50,0,2,0.04,24.13
Ascoli Piceno,28,22/03/2020,6,56,0,2,0.04,27.03
Ascoli Piceno,29,23/03/2020,5,61,0,2,0.03,29.44
Ascoli Piceno,30,24/03/2020,3,64,0,2,0.03,30.89
Ascoli Piceno,31,25/03/2020,16,80,1,3,0.04,38.61
Ascoli Piceno,32,26/03/2020,31,111,1,4,0.04,53.58
Ascoli Piceno,33,27/03/2020,7,118,1,5,0.04,56.96
Ascoli Piceno,34,28/03/2020,45,163,1,6,0.04,78.68
Ascoli Piceno,35,29/03/2020,16,179,0,6,0.03,86.4
Ascoli Piceno,36,30/03/2020,18,197,0,6,0.03,95.09
Ascoli Piceno,37,31/03/2020,25,222,0,6,0.03,107.15
Ascoli Piceno,38,01/04/2020,2,224,0,6,0.03,108.12
Ascoli Piceno,39,02/04/2020,3,227,1,7,0.03,109.57
Ascoli Piceno,40,03/04/2020,5,232,1,8,0.03,111.98
Ascoli Piceno,41,04/04/2020,1,233,0,8,0.03,112.46
Ascoli Piceno,42,05/04/2020,2,235,1,9,0.04,113.43
Ascoli Piceno,43,06/04/2020,0,235,0,9,0.04,113.43
Ascoli Piceno,44,07/04/2020,0,235,1,10,0.04,113.43
Ascoli Piceno,45,08/04/2020,1,236,0,10,0.04,113.91
Ascoli Piceno,46,09/04/2020,0,236,1,11,0.05,113.91
Ascoli Piceno,47,10/04/2020,1,237,0,11,0.05,114.39
Ascoli Piceno,48,11/04/2020,12,249,0,11,0.04,120.19
Ascoli Piceno,49,12/04/2020,4,253,2,13,0.05,122.12
Ascoli Piceno,50,13/04/2020,1,254,0,13,0.05,122.6
Ascoli Piceno,51,14/04/2020,0,254,1,14,0.06,122.6
Ascoli Piceno,52,15/04/2020,5,259,0,14,0.05,125.01
Ascoli Piceno,53,16/04/2020,7,266,0,14,0.05,128.39
Ascoli Piceno,54,17/04/2020,2,268,0,14,0.05,129.36
Ascoli Piceno,55,18/04/2020,3,271,0,14,0.05,130.8
Ascoli Piceno,56,19/04/2020,0,271,2,16,0.06,130.8
Ascoli Piceno,57,20/04/2020,0,271,0,16,0.06,130.8
Ascoli Piceno,58,21/04/2020,0,271,0,16,0.06,130.8
Ascoli Piceno,59,22/04/2020,2,273,1,17,0.06,131.77
Ascoli Piceno,60,23/04/2020,1,274,0,17,0.06,132.25
Ascoli Piceno,61,24/04/2020,1,275,0,17,0.06,132.74
Ascoli Piceno,62,25/04/2020,1,276,0,17,0.06,133.22
Ascoli Piceno,63,26/04/2020,3,279,0,17,0.06,134.67
Ascoli Piceno,64,27/04/2020,0,279,1,18,0.06,134.67
Ascoli Piceno,65,28/04/2020,0,279,0,18,0.06,134.67
Ascoli Piceno,66,29/04/2020,2,281,0,18,0.06,135.63
Ascoli Piceno,67,30/04/2020,0,281,0,18,0.06,135.63
Ascoli Piceno,68,01/05/2020,0,281,0,18,0.06,135.63
Ascoli Piceno,69,02/05/2020,1,282,1,19,0.07,136.11
Ascoli Piceno,70,03/05/2020,0,282,1,20,0.07,136.11
Ascoli Piceno,71,04/05/2020,2,284,0,20,0.07,137.08
Ascoli Piceno,72,05/05/2020,1,285,1,21,0.07,137.56
Ascoli Piceno,73,06/05/2020,0,285,0,21,0.07,137.56
Ascoli Piceno,74,07/05/2020,1,286,1,22,0.08,138.04
Ascoli Piceno,75,08/05/2020,1,287,1,23,0.08,138.53
Ascoli Piceno,76,09/05/2020,0,287,1,24,0.08,138.53
Ascoli Piceno,77,10/05/2020,0,287,1,25,0.09,138.53
Ascoli Piceno,78,11/05/2020,1,288,1,26,0.09,139.01
Ascoli Piceno,79,12/05/2020,0,288,0,26,0.09,139.01
Ascoli Piceno,80,13/05/2020,0,288,0,26,0.09,139.01
Ascoli Piceno,81,14/05/2020,0,288,0,26,0.09,139.01
Ascoli Piceno,82,15/05/2020,0,288,0,26,0.09,139.01
Ascoli Piceno,83,16/05/2020,1,289,0,26,0.09,139.49
Ascoli Piceno,84,17/05/2020,1,290,0,26,0.09,139.98
Ascoli Piceno,85,18/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,86,19/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,87,20/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,88,21/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,89,22/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,90,23/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,91,24/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,92,25/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,93,26/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,94,27/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,95,28/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,96,29/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,97,30/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,98,31/05/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,99,01/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,100,02/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,101,03/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,102,04/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,103,05/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,104,06/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,105,07/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,106,08/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,107,09/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,108,10/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,109,11/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,110,12/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,111,13/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,112,14/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,113,15/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,114,16/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,115,17/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,116,18/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,117,19/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,118,20/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,119,21/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,120,22/06/2020,0,290,0,26,0.09,139.98
Ascoli Piceno,121,23/06/2020,0,290,0,26,0.09,139.98
