Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Fermo,1,24/02/2020,0,0,0,0,0,0
Fermo,2,25/02/2020,0,0,0,0,0,0
Fermo,3,26/02/2020,0,0,0,0,0,0
Fermo,4,27/02/2020,0,0,0,0,0,0
Fermo,5,28/02/2020,0,0,0,0,0,0
Fermo,6,29/02/2020,0,0,0,0,0,0
Fermo,7,01/03/2020,0,0,0,0,0,0
Fermo,8,02/03/2020,0,0,0,0,0,0
Fermo,9,03/03/2020,0,0,0,0,0,0
Fermo,10,04/03/2020,1,1,0,0,0,0.58
Fermo,11,05/03/2020,2,3,0,0,0,1.73
Fermo,12,06/03/2020,0,3,0,0,0,1.73
Fermo,13,07/03/2020,0,3,0,0,0,1.73
Fermo,14,08/03/2020,2,5,0,0,0,2.88
Fermo,15,09/03/2020,0,5,0,0,0,2.88
Fermo,16,10/03/2020,1,6,0,0,0,3.45
Fermo,17,11/03/2020,2,8,1,1,0.125,4.6
Fermo,18,12/03/2020,3,11,0,1,0.091,6.33
Fermo,19,13/03/2020,5,16,0,1,0.062,9.21
Fermo,20,14/03/2020,6,22,0,1,0.045,12.66
Fermo,21,15/03/2020,14,36,0,1,0.028,20.71
Fermo,22,16/03/2020,0,36,1,2,0.056,20.71
Fermo,23,17/03/2020,0,36,1,3,0.083,20.71
Fermo,24,18/03/2020,10,46,0,3,0.065,26.47
Fermo,25,19/03/2020,22,68,1,4,0.059,39.13
Fermo,26,20/03/2020,12,80,0,4,0.05,46.03
Fermo,27,21/03/2020,2,82,0,4,0.049,47.18
Fermo,28,22/03/2020,31,113,0,4,0.035,65.02
Fermo,29,23/03/2020,20,133,1,5,0.038,76.52
Fermo,30,24/03/2020,6,139,0,5,0.036,79.98
Fermo,31,25/03/2020,21,160,0,5,0.031,92.06
Fermo,32,26/03/2020,44,204,0,5,0.025,117.38
Fermo,33,27/03/2020,29,233,0,5,0.021,134.06
Fermo,34,28/03/2020,8,241,0,5,0.021,138.67
Fermo,35,29/03/2020,5,246,0,5,0.02,141.54
Fermo,36,30/03/2020,0,246,6,11,0.045,141.54
Fermo,37,31/03/2020,13,259,3,14,0.054,149.02
Fermo,38,01/04/2020,4,263,0,14,0.053,151.32
Fermo,39,02/04/2020,21,284,0,14,0.049,163.41
Fermo,40,03/04/2020,14,298,2,16,0.054,171.46
Fermo,41,04/04/2020,7,305,3,19,0.062,175.49
Fermo,42,05/04/2020,3,308,0,19,0.062,177.22
Fermo,43,06/04/2020,4,312,1,20,0.064,179.52
Fermo,44,07/04/2020,2,314,0,20,0.064,180.67
Fermo,45,08/04/2020,20,334,0,20,0.06,192.17
Fermo,46,09/04/2020,5,339,1,21,0.062,195.05
Fermo,47,10/04/2020,4,343,0,21,0.061,197.35
Fermo,48,11/04/2020,11,354,2,23,0.065,203.68
Fermo,49,12/04/2020,7,361,1,24,0.066,207.71
Fermo,50,13/04/2020,2,363,1,25,0.069,208.86
Fermo,51,14/04/2020,0,363,1,26,0.072,208.86
Fermo,52,15/04/2020,4,367,1,27,0.074,211.16
Fermo,53,16/04/2020,11,378,1,28,0.074,217.49
Fermo,54,17/04/2020,1,379,2,30,0.079,218.07
Fermo,55,18/04/2020,2,381,0,30,0.079,219.22
Fermo,56,19/04/2020,3,384,0,30,0.078,220.94
Fermo,57,20/04/2020,7,391,1,31,0.079,224.97
Fermo,58,21/04/2020,4,395,1,32,0.081,227.27
Fermo,59,22/04/2020,4,399,0,32,0.08,229.57
Fermo,60,23/04/2020,3,402,0,32,0.08,231.3
Fermo,61,24/04/2020,10,412,1,33,0.08,237.05
Fermo,62,25/04/2020,4,416,0,33,0.079,239.36
Fermo,63,26/04/2020,7,423,0,33,0.078,243.38
Fermo,64,27/04/2020,0,423,0,33,0.078,243.38
Fermo,65,28/04/2020,4,427,0,33,0.077,245.68
Fermo,66,29/04/2020,4,431,1,34,0.079,247.99
Fermo,67,30/04/2020,4,435,0,34,0.078,250.29
Fermo,68,01/05/2020,3,438,1,35,0.08,252.01
Fermo,69,02/05/2020,11,449,1,36,0.08,258.34
Fermo,70,03/05/2020,1,450,0,36,0.08,258.92
Fermo,71,04/05/2020,1,451,2,38,0.084,259.49
Fermo,72,05/05/2020,2,453,0,38,0.084,260.64
Fermo,73,06/05/2020,1,454,0,38,0.084,261.22
Fermo,74,07/05/2020,0,454,0,38,0.084,261.22
Fermo,75,08/05/2020,0,454,0,38,0.084,261.22
Fermo,76,09/05/2020,1,455,0,38,0.084,261.8
Fermo,77,10/05/2020,0,455,0,38,0.084,261.8
Fermo,78,11/05/2020,0,455,0,38,0.084,261.8
Fermo,79,12/05/2020,0,455,1,39,0.086,261.8
Fermo,80,13/05/2020,0,455,0,39,0.086,261.8
Fermo,81,14/05/2020,0,455,0,39,0.086,261.8
Fermo,82,15/05/2020,0,455,0,39,0.086,261.8
Fermo,83,16/05/2020,0,455,0,39,0.086,261.8
Fermo,84,17/05/2020,3,458,0,39,0.085,263.52
Fermo,85,18/05/2020,0,458,0,39,0.085,263.52
Fermo,86,19/05/2020,0,458,1,40,0.087,263.52
Fermo,87,20/05/2020,0,458,0,40,0.087,263.52
Fermo,88,21/05/2020,6,464,0,40,0.086,266.97
Fermo,89,22/05/2020,0,464,0,40,0.086,266.97
Fermo,90,23/05/2020,1,465,0,40,0.086,267.55
Fermo,91,24/05/2020,3,468,0,40,0.085,269.28
Fermo,92,25/05/2020,1,469,0,40,0.085,269.85
Fermo,93,26/05/2020,0,469,0,40,0.085,269.85
Fermo,94,27/05/2020,0,469,0,40,0.085,269.85
Fermo,95,28/05/2020,0,469,0,40,0.085,269.85
Fermo,96,29/05/2020,0,469,0,40,0.085,269.85
Fermo,97,30/05/2020,0,469,0,40,0.085,269.85
Fermo,98,31/05/2020,0,469,0,40,0.085,269.85
Fermo,99,01/06/2020,0,469,0,40,0.085,269.85
Fermo,100,02/06/2020,0,469,0,40,0.085,269.85
Fermo,101,03/06/2020,1,470,0,40,0.085,270.43
Fermo,102,04/06/2020,0,470,0,40,0.085,270.43
Fermo,103,05/06/2020,0,470,0,40,0.085,270.43
Fermo,104,06/06/2020,0,470,0,40,0.085,270.43
Fermo,105,07/06/2020,0,470,0,40,0.085,270.43
Fermo,106,08/06/2020,0,470,0,40,0.085,270.43
Fermo,107,09/06/2020,0,470,0,40,0.085,270.43
Fermo,108,10/06/2020,0,470,0,40,0.085,270.43
Fermo,109,11/06/2020,0,470,0,40,0.085,270.43
Fermo,110,12/06/2020,0,470,0,40,0.085,270.43
Fermo,111,13/06/2020,0,470,0,40,0.085,270.43
Fermo,112,14/06/2020,1,471,0,40,0.085,271
Fermo,113,15/06/2020,0,471,0,40,0.085,271
Fermo,114,16/06/2020,0,471,0,40,0.085,271
Fermo,115,17/06/2020,0,471,0,40,0.085,271
Fermo,116,18/06/2020,0,471,0,40,0.085,271
Fermo,117,19/06/2020,0,471,0,40,0.085,271
Fermo,118,20/06/2020,0,471,0,40,0.085,271
Fermo,119,21/06/2020,0,471,0,40,0.085,271
Fermo,120,22/06/2020,0,471,0,40,0.085,271
Fermo,121,23/06/2020,0,471,0,40,0.085,271
Fermo,122,24/06/2020,0,471,0,40,0.085,271
Fermo,123,25/06/2020,0,471,0,40,0.085,271
Fermo,124,26/06/2020,0,471,0,40,0.085,271
Fermo,125,27/06/2020,2,473,0,40,0.085,272.15
Fermo,126,28/06/2020,0,473,0,40,0.085,272.15
Fermo,127,29/06/2020,0,473,0,40,0.085,272.15
Fermo,128,30/06/2020,0,473,0,40,0.085,272.15
Fermo,129,01/07/2020,0,473,0,40,0.085,272.15
Fermo,130,02/07/2020,0,473,0,40,0.085,272.15
Fermo,131,03/07/2020,0,473,0,40,0.085,272.15
Fermo,132,04/07/2020,0,473,0,40,0.085,272.15
Fermo,133,05/07/2020,0,473,0,40,0.085,272.15
Fermo,134,06/07/2020,0,473,0,40,0.085,272.15
Fermo,135,07/07/2020,0,473,0,40,0.085,272.15
Fermo,136,08/07/2020,0,473,0,40,0.085,272.15
Fermo,137,09/07/2020,0,473,0,40,0.085,272.15
Fermo,138,10/07/2020,0,473,0,40,0.085,272.15
Fermo,139,11/07/2020,0,473,0,40,0.085,272.15
Fermo,140,12/07/2020,0,473,0,40,0.085,272.15
Fermo,141,13/07/2020,0,473,0,40,0.085,272.15
Fermo,142,14/07/2020,0,473,0,40,0.085,272.15
Fermo,143,15/07/2020,0,473,0,40,0.085,272.15
