Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Macerata,1,24/02/2020,0,0,0,0,0.0,0.0
Macerata,2,25/02/2020,0,0,0,0,0.0,0.0
Macerata,3,26/02/2020,0,0,0,0,0.0,0.0
Macerata,4,27/02/2020,0,0,0,0,0.0,0.0
Macerata,5,28/02/2020,0,0,0,0,0.0,0.0
Macerata,6,29/02/2020,0,0,0,0,0.0,0.0
Macerata,7,01/03/2020,0,0,0,0,0.0,0.0
Macerata,8,02/03/2020,0,0,0,0,0.0,0.0
Macerata,9,03/03/2020,1,1,0,0,0.0,0.318290905
Macerata,10,04/03/2020,1,2,0,0,0.0,0.63658181
Macerata,11,05/03/2020,0,2,0,0,0.0,0.63658181
Macerata,12,06/03/2020,5,7,0,0,0.0,2.228036336
Macerata,13,07/03/2020,0,7,0,0,0.0,2.228036336
Macerata,14,08/03/2020,2,9,0,0,0.0,2.864618146
Macerata,15,09/03/2020,0,9,0,0,0.0,2.864618146
Macerata,16,10/03/2020,2,11,0,0,0.0,3.501199957
Macerata,17,11/03/2020,6,17,0,0,0.0,5.410945387999999
Macerata,18,12/03/2020,15,32,0,0,0.0,10.18530896
Macerata,19,13/03/2020,16,48,0,0,0.0,15.27796345
Macerata,20,14/03/2020,10,58,1,1,0.017241378999999998,18.4608725
Macerata,21,15/03/2020,36,94,0,1,0.010638298,29.91934508
Macerata,22,16/03/2020,23,117,2,3,0.025641026,37.2400359
Macerata,23,17/03/2020,11,128,3,6,0.046875,40.74123586
Macerata,24,18/03/2020,32,160,3,9,0.05625,50.92654482
Macerata,25,19/03/2020,26,186,2,11,0.059139785,59.20210836
Macerata,26,20/03/2020,29,215,0,11,0.051162791,68.43254461
Macerata,27,21/03/2020,23,238,0,11,0.046218487,75.75323543
Macerata,28,22/03/2020,55,293,0,11,0.037542662,93.25923521
Macerata,29,23/03/2020,33,326,3,14,0.042944785,103.7628351
Macerata,30,24/03/2020,42,368,5,19,0.051630435,117.1310531
Macerata,31,25/03/2020,27,395,4,23,0.058227848,125.7249075
Macerata,32,26/03/2020,10,405,0,23,0.056790123,128.9078166
Macerata,33,27/03/2020,6,411,0,23,0.055961071,130.817562
Macerata,34,28/03/2020,46,457,1,24,0.052516411,145.4589437
Macerata,35,29/03/2020,19,476,1,25,0.052521008,151.5064709
Macerata,36,30/03/2020,1,477,1,26,0.054507338,151.8247618
Macerata,37,31/03/2020,16,493,2,28,0.05679513200000001,156.9174162
Macerata,38,01/04/2020,13,506,9,37,0.07312253,161.055198
Macerata,39,02/04/2020,27,533,0,37,0.069418386,169.6490524
Macerata,40,03/04/2020,28,561,1,38,0.067736185,178.5611978
Macerata,41,04/04/2020,37,598,1,39,0.065217391,190.3379613
Macerata,42,05/04/2020,16,614,0,39,0.063517915,195.4306158
Macerata,43,06/04/2020,25,639,5,44,0.06885759,203.3878884
Macerata,44,07/04/2020,25,664,6,50,0.075301205,211.345161
Macerata,45,08/04/2020,50,714,2,52,0.072829132,227.2597063
Macerata,46,09/04/2020,18,732,3,55,0.075136612,232.9889426
Macerata,47,10/04/2020,44,776,1,56,0.07216494799999999,246.9937424
Macerata,48,11/04/2020,25,801,1,57,0.071161049,254.951015
Macerata,49,12/04/2020,17,818,1,58,0.070904645,260.36196040000004
Macerata,50,13/04/2020,16,834,2,60,0.071942446,265.4546149
Macerata,51,14/04/2020,3,837,4,64,0.07646356,266.40948760000003
Macerata,52,15/04/2020,9,846,10,74,0.087470449,269.27410580000003
Macerata,53,16/04/2020,25,871,6,80,0.09184845,277.2313784
Macerata,54,17/04/2020,24,895,2,82,0.091620112,284.8703601
Macerata,55,18/04/2020,11,906,5,87,0.09602649,288.3715601
Macerata,56,19/04/2020,8,914,3,90,0.098468271,290.9178873
Macerata,57,20/04/2020,8,922,5,95,0.103036876,293.4642146
Macerata,58,21/04/2020,10,932,2,97,0.104077253,296.6471236
Macerata,59,22/04/2020,14,946,4,101,0.106765328,301.1031963
Macerata,60,23/04/2020,10,956,3,104,0.108786611,304.2861053000001
Macerata,61,24/04/2020,20,976,2,106,0.108606557,310.6519234
Macerata,62,25/04/2020,9,985,1,107,0.108629442,313.5165416000001
Macerata,63,26/04/2020,13,998,3,110,0.110220441,317.6543233
Macerata,64,27/04/2020,1,999,2,112,0.112112112,317.9726143000001
Macerata,65,28/04/2020,7,1006,1,113,0.112326044,320.2006506
Macerata,66,29/04/2020,4,1010,2,115,0.113861386,321.4738142
Macerata,67,30/04/2020,7,1017,2,117,0.115044248,323.7018505
Macerata,68,01/05/2020,7,1024,2,119,0.116210938,325.9298869
Macerata,69,02/05/2020,2,1026,2,121,0.117933723,326.5664687
Macerata,70,03/05/2020,5,1031,2,123,0.119301649,328.1579232
Macerata,71,04/05/2020,3,1034,0,123,0.118955513,329.1127959
Macerata,72,05/05/2020,8,1042,1,124,0.119001919,331.6591232
Macerata,73,06/05/2020,5,1047,0,124,0.11843362,333.25057769999995
Macerata,74,07/05/2020,3,1050,1,125,0.119047619,334.2054504
Macerata,75,08/05/2020,1,1051,0,125,0.118934348,334.5237413000001
Macerata,76,09/05/2020,5,1056,0,125,0.118371212,336.1151958000001
Macerata,77,10/05/2020,11,1067,0,125,0.11715089,339.6163958
Macerata,78,11/05/2020,1,1068,1,126,0.117977528,339.9346867
Macerata,79,12/05/2020,7,1075,1,127,0.118139535,342.162723
Macerata,80,13/05/2020,2,1077,1,128,0.118848654,342.7993049
Macerata,81,14/05/2020,5,1082,1,129,0.11922366,344.3907594
Macerata,82,15/05/2020,5,1087,1,130,0.119595216,345.9822139
Macerata,83,16/05/2020,5,1092,1,131,0.11996337,347.5736684
Macerata,84,17/05/2020,11,1103,0,131,0.118766999,351.0748684
Macerata,85,18/05/2020,2,1105,1,132,0.119457014,351.7114502
Macerata,86,19/05/2020,1,1106,0,132,0.119349005,352.0297411
Macerata,87,20/05/2020,0,1106,1,133,0.120253165,352.0297411
Macerata,88,21/05/2020,4,1110,0,133,0.11981982,353.3029047
Macerata,89,22/05/2020,3,1113,1,134,0.120395328,354.25777739999984
Macerata,90,23/05/2020,1,1114,0,134,0.120287253,354.57606830000014
Macerata,91,24/05/2020,2,1116,0,134,0.120071685,355.2126502
Macerata,92,25/05/2020,0,1116,0,134,0.120071685,355.2126502
Macerata,93,26/05/2020,1,1117,0,134,0.11996419,355.5309411
Macerata,94,27/05/2020,0,1117,1,135,0.120859445,355.5309411
Macerata,95,28/05/2020,1,1118,0,135,0.120751342,355.849232
Macerata,96,29/05/2020,3,1121,0,135,0.120428189,356.8041047
Macerata,97,30/05/2020,0,1121,0,135,0.120428189,356.8041047
Macerata,98,31/05/2020,1,1122,0,135,0.120320856,357.1223956
Macerata,99,01/06/2020,0,1122,0,135,0.120320856,357.1223956
Macerata,100,02/06/2020,1,1123,0,135,0.120213713,357.4406865
Macerata,101,03/06/2020,0,1123,1,136,0.121104185,357.4406865
Macerata,102,04/06/2020,0,1123,1,137,0.121994657,357.4406865
Macerata,103,05/06/2020,1,1124,0,137,0.121886121,357.7589774
Macerata,104,06/06/2020,0,1124,0,137,0.121886121,357.7589774
Macerata,105,07/06/2020,3,1127,0,137,0.121561668,358.7138501
Macerata,106,08/06/2020,0,1127,0,137,0.121561668,358.7138501
Macerata,107,09/06/2020,0,1127,0,137,0.121561668,358.7138501
Macerata,108,10/06/2020,1,1128,0,137,0.121453901,359.032141
Macerata,109,11/06/2020,1,1129,0,137,0.121346324,359.3504319
Macerata,110,12/06/2020,1,1130,0,137,0.121238938,359.6687228
Macerata,111,13/06/2020,1,1131,0,137,0.121131742,359.98701370000015
Macerata,112,14/06/2020,2,1133,0,137,0.120917917,360.6235955
Macerata,113,15/06/2020,3,1136,0,137,0.120598592,361.5784683
Macerata,114,16/06/2020,0,1136,0,137,0.120598592,361.5784683
Macerata,115,17/06/2020,1,1137,0,137,0.120492524,361.8967592
Macerata,116,18/06/2020,4,1141,0,137,0.120070114,363.1699228
Macerata,117,19/06/2020,0,1141,0,137,0.120070114,363.1699228
Macerata,118,20/06/2020,0,1141,0,137,0.120070114,363.1699228
Macerata,119,21/06/2020,0,1141,0,137,0.120070114,363.1699228
Macerata,120,22/06/2020,5,1146,0,137,0.119546248,364.7613773
Macerata,121,23/06/2020,0,1146,0,137,0.119546248,364.7613773
Macerata,122,24/06/2020,3,1149,0,137,0.119234117,365.71625
Macerata,123,25/06/2020,3,1152,0,137,0.118923611,366.6711227
Macerata,124,26/06/2020,2,1154,0,137,0.118717504,367.3077045
Macerata,125,27/06/2020,0,1154,0,137,0.118717504,367.3077045
Macerata,126,28/06/2020,0,1154,0,137,0.118717504,367.3077045
Macerata,127,29/06/2020,0,1154,0,137,0.118717504,367.3077045
Macerata,128,30/06/2020,0,1154,0,137,0.118717504,367.3077045
Macerata,129,01/07/2020,0,1154,0,137,0.118717504,367.3077045
Macerata,130,02/07/2020,1,1155,0,137,0.118614719,367.6259955
Macerata,131,03/07/2020,0,1155,0,137,0.118614719,367.6259955
Macerata,132,04/07/2020,0,1155,0,137,0.118614719,367.6259955
Macerata,133,05/07/2020,0,1155,0,137,0.118614719,367.6259955
Macerata,134,06/07/2020,0,1155,0,137,0.118614719,367.6259955
Macerata,135,07/07/2020,0,1155,0,137,0.118614719,367.6259955
Macerata,136,08/07/2020,0,1155,0,137,0.118614719,367.6259955
Macerata,137,09/07/2020,2,1157,0,137,0.11840968,368.2625773
Macerata,138,10/07/2020,0,1157,0,137,0.11840968,368.2625773
Macerata,139,11/07/2020,0,1157,0,137,0.11840968,368.2625773
Macerata,140,12/07/2020,1,1158,0,137,0.118307427,368.5808682
Macerata,141,13/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,142,14/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,143,15/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,144,16/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,145,17/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,146,18/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,147,19/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,148,20/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,149,21/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,150,22/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,151,23/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,152,24/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,153,25/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,154,26/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,155,27/07/2020,0,1158,0,137,0.118307427,368.5808682
Macerata,156,28/07/2020,4,1162,0,137,0.117900172,369.8540318
Macerata,157,29/07/2020,0,1162,0,137,0.117900172,369.8540318
Macerata,158,30/07/2020,3,1165,0,137,0.117596567,370.8089045
Macerata,159,31/07/2020,0,1165,0,137,0.117596567,370.8089045
Macerata,160,01/08/2020,3,1168,0,137,0.117294521,371.7637772
Macerata,161,02/08/2020,1,1169,0,137,0.117194183,372.0820681
Macerata,162,03/08/2020,0,1169,0,137,0.117194183,372.0820681
Macerata,163,04/08/2020,0,1169,0,137,0.117194183,372.0820681
Macerata,164,05/08/2020,0,1169,0,137,0.117194183,372.0820681
Macerata,165,06/08/2020,0,1169,0,137,0.117194183,372.0820681
Macerata,166,07/08/2020,5,1174,0,137,0.11669506,373.6735227
Macerata,167,08/08/2020,0,1174,0,137,0.11669506,373.6735227
Macerata,168,09/08/2020,2,1176,0,137,0.11669506,373.6735227
Macerata,169,10/08/2020,1,1177,0,137,0.11669506,373.6735227
Macerata,170,11/08/2020,1,1178,0,137,0.11669506,373.6735227
Macerata,171,12/08/2020,0,1178,0,137,0.11669506,373.6735227
Macerata,172,13/08/2020,1,1179,0,137,0.11669506,373.6735227
Macerata,173,14/08/2020,1,1180,0,137,0.11669506,373.6735227
Macerata,174,15/08/2020,1,1181,0,137,0.11669506,373.6735227
Macerata,175,16/08/2020,1,1182,0,137,0.11669506,373.6735227
Macerata,176,17/08/2020,0,1182,0,137,0.11590524534686973,376.2198498940091
Macerata,177,18/08/2020,0,1182,0,137,0.11570945945945944,376.8564317043205
Macerata,178,19/08/2020,2,1184,0,137,0.11570945945945944,376.8564317043205
Macerata,179,20/08/2020,2,1186,0,137,0.11551433389544688,377.49301351463185
