Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Pesaro e Urbino,1,24/02/2020,0,0,0,0,0.0,0.0
Pesaro e Urbino,2,25/02/2020,0,0,0,0,0.0,0.0
Pesaro e Urbino,3,26/02/2020,1,1,0,0,0.0,0.278640014
Pesaro e Urbino,4,27/02/2020,2,3,0,0,0.0,0.835920041
Pesaro e Urbino,5,28/02/2020,3,6,0,0,0.0,1.6718400830000002
Pesaro e Urbino,6,29/02/2020,5,11,0,0,0.0,3.065040152
Pesaro e Urbino,7,01/03/2020,13,24,0,0,0.0,6.687360332000001
Pesaro e Urbino,8,02/03/2020,9,33,1,1,0.03030303,9.195120456
Pesaro e Urbino,9,03/03/2020,22,55,1,2,0.036363636,15.32520076
Pesaro e Urbino,10,04/03/2020,17,72,2,4,0.055555556,20.062081
Pesaro e Urbino,11,05/03/2020,28,100,0,4,0.04,27.86400138
Pesaro e Urbino,12,06/03/2020,26,126,0,4,0.031746032,35.10864174
Pesaro e Urbino,13,07/03/2020,33,159,1,5,0.031446541,44.3037622
Pesaro e Urbino,14,08/03/2020,45,204,0,5,0.024509804,56.84256282
Pesaro e Urbino,15,09/03/2020,42,246,2,7,0.028455285,68.5454434
Pesaro e Urbino,16,10/03/2020,50,296,2,9,0.030405405,82.47744409
Pesaro e Urbino,17,11/03/2020,46,342,2,11,0.032163743,95.29488473
Pesaro e Urbino,18,12/03/2020,61,403,3,14,0.034739453999999996,112.2919256
Pesaro e Urbino,19,13/03/2020,93,496,7,21,0.04233871,138.2054469
Pesaro e Urbino,20,14/03/2020,95,591,3,24,0.040609137000000003,164.67624819999997
Pesaro e Urbino,21,15/03/2020,121,712,9,33,0.046348315,198.3916898
Pesaro e Urbino,22,16/03/2020,21,733,9,42,0.05729877200000001,204.2431301
Pesaro e Urbino,23,17/03/2020,79,812,7,49,0.060344827999999996,226.2556912
Pesaro e Urbino,24,18/03/2020,98,910,18,67,0.07362637400000001,253.56241260000002
Pesaro e Urbino,25,19/03/2020,73,983,13,80,0.08138352,273.9031336
Pesaro e Urbino,26,20/03/2020,116,1099,11,91,0.082802548,306.2253752
Pesaro e Urbino,27,21/03/2020,87,1186,27,118,0.099494098,330.4670564
Pesaro e Urbino,28,22/03/2020,63,1249,14,132,0.105684548,348.0213773
