Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Campobasso,1,24/02/2020,0,0,0,0,0.0,0.0
Campobasso,2,25/02/2020,0,0,0,0,0.0,0.0
Campobasso,3,26/02/2020,0,0,0,0,0.0,0.0
Campobasso,4,27/02/2020,0,0,0,0,0.0,0.0
Campobasso,5,28/02/2020,0,0,0,0,0.0,0.0
Campobasso,6,29/02/2020,0,0,0,0,0.0,0.0
Campobasso,7,01/03/2020,0,0,0,0,0.0,0.0
Campobasso,8,02/03/2020,0,0,0,0,0.0,0.0
Campobasso,9,03/03/2020,3,3,0,0,0.0,1.356005749
Campobasso,10,04/03/2020,0,3,0,0,0.0,1.356005749
Campobasso,11,05/03/2020,4,7,0,0,0.0,3.164013415
Campobasso,12,06/03/2020,5,12,0,0,0.0,5.424022998
Campobasso,13,07/03/2020,2,14,0,0,0.0,6.328026831
Campobasso,14,08/03/2020,0,14,0,0,0.0,6.328026831
Campobasso,15,09/03/2020,0,14,0,0,0.0,6.328026831
Campobasso,16,10/03/2020,1,15,0,0,0.0,6.780028747
Campobasso,17,11/03/2020,1,16,0,0,0.0,7.232030664
Campobasso,18,12/03/2020,0,16,0,0,0.0,7.232030664
Campobasso,19,13/03/2020,1,17,0,0,0.0,7.68403258
Campobasso,20,14/03/2020,0,17,0,0,0.0,7.68403258
Campobasso,21,15/03/2020,0,17,0,0,0.0,7.68403258
Campobasso,22,16/03/2020,4,21,1,1,0.048,9.492040246
Campobasso,23,17/03/2020,4,25,0,1,0.04,11.30004791
Campobasso,24,18/03/2020,-1,24,1,2,0.083,10.848046
Campobasso,25,19/03/2020,9,33,2,4,0.121,14.91606324
Campobasso,26,20/03/2020,6,39,0,4,0.10300000000000001,17.62807474
Campobasso,27,21/03/2020,10,49,2,6,0.122,22.14809391
Campobasso,28,22/03/2020,4,53,0,6,0.113,23.95610157
Campobasso,29,23/03/2020,1,54,0,6,0.111,24.40810349
Campobasso,30,24/03/2020,6,60,1,7,0.11699999999999999,27.12011499
Campobasso,31,25/03/2020,0,60,0,7,0.11699999999999999,27.12011499
Campobasso,32,26/03/2020,25,85,1,8,0.094,38.4201629
Campobasso,33,27/03/2020,6,91,0,8,0.08800000000000001,41.1321744
Campobasso,34,28/03/2020,6,97,0,8,0.08199999999999999,43.8441859
Campobasso,35,29/03/2020,11,108,0,8,0.07400000000000001,48.81620698
Campobasso,36,30/03/2020,6,114,0,8,0.07,51.52821848
Campobasso,37,31/03/2020,10,124,1,9,0.073,56.04823764
Campobasso,38,01/04/2020,15,139,0,9,0.065,62.82826639
Campobasso,39,02/04/2020,3,142,1,10,0.07,64.18427214
Campobasso,40,03/04/2020,7,149,0,10,0.067,67.34828556
Campobasso,41,04/04/2020,5,154,0,10,0.065,69.60829514
Campobasso,42,05/04/2020,12,166,1,11,0.066,75.03231814
Campobasso,43,06/04/2020,0,166,0,11,0.066,75.03231814
Campobasso,44,07/04/2020,0,166,0,11,0.066,75.03231814
Campobasso,45,08/04/2020,0,166,0,11,0.066,75.03231814
Campobasso,46,09/04/2020,10,176,0,11,0.062,79.5523373
