Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Biella,1,24/02/2020,0,0,0,0,0,0
Biella,2,25/02/2020,0,0,0,0,0,0
Biella,3,26/02/2020,0,0,0,0,0,0
Biella,4,27/02/2020,0,0,0,0,0,0
Biella,5,28/02/2020,0,0,0,0,0,0
Biella,6,29/02/2020,0,0,0,0,0,0
Biella,7,01/03/2020,0,0,0,0,0,0
Biella,8,02/03/2020,0,0,0,0,0,0
Biella,9,03/03/2020,0,0,0,0,0,0
Biella,10,04/03/2020,0,0,0,0,0,0
Biella,11,05/03/2020,2,2,0,0,0,1.14
Biella,12,06/03/2020,1,3,0,0,0,1.71
Biella,13,07/03/2020,3,6,0,0,0,3.42
Biella,14,08/03/2020,13,19,0,0,0,10.82
Biella,15,09/03/2020,-1,18,0,0,0,10.25
Biella,16,10/03/2020,2,20,1,1,0.05,11.39
Biella,17,11/03/2020,16,36,0,1,0.028,20.5
Biella,18,12/03/2020,3,39,0,1,0.026,22.21
Biella,19,13/03/2020,9,48,3,4,0.083,27.34
Biella,20,14/03/2020,0,48,0,4,0.083,27.34
Biella,21,15/03/2020,2,50,1,5,0.1,28.48
Biella,22,16/03/2020,17,67,4,9,0.134,38.16
Biella,23,17/03/2020,29,96,11,20,0.208,54.67
Biella,24,18/03/2020,13,109,2,22,0.202,62.08
Biella,25,19/03/2020,0,109,2,24,0.22,62.08
Biella,26,20/03/2020,66,175,1,25,0.143,99.67
Biella,27,21/03/2020,7,182,0,25,0.137,103.65
Biella,28,22/03/2020,61,243,6,31,0.128,138.39
Biella,29,23/03/2020,10,253,3,34,0.134,144.09
Biella,30,24/03/2020,27,280,4,38,0.136,159.47
Biella,31,25/03/2020,47,327,3,41,0.125,186.23
Biella,32,26/03/2020,9,336,5,46,0.137,191.36
Biella,33,27/03/2020,31,367,11,57,0.155,209.02
Biella,34,28/03/2020,32,399,1,58,0.145,227.24
Biella,35,29/03/2020,40,439,10,68,0.155,250.02
Biella,36,30/03/2020,32,471,1,69,0.146,268.25
Biella,37,31/03/2020,19,490,0,69,0.141,279.07
Biella,38,01/04/2020,13,503,6,75,0.149,286.47
Biella,39,02/04/2020,20,523,5,80,0.153,297.86
Biella,40,03/04/2020,19,542,2,82,0.151,308.68
Biella,41,04/04/2020,17,559,2,84,0.15,318.36
Biella,42,05/04/2020,12,571,3,87,0.152,325.2
Biella,43,06/04/2020,12,583,5,92,0.158,332.03
Biella,44,07/04/2020,8,591,3,95,0.161,336.59
Biella,45,08/04/2020,9,600,1,96,0.16,341.71
Biella,46,09/04/2020,21,621,1,97,0.156,353.67
Biella,47,10/04/2020,7,628,12,109,0.174,357.66
Biella,48,11/04/2020,25,653,2,111,0.17,371.9
Biella,49,12/04/2020,9,662,6,117,0.177,377.03
Biella,50,13/04/2020,17,679,8,125,0.184,386.71
Biella,51,14/04/2020,23,702,6,131,0.187,399.81
Biella,52,15/04/2020,15,717,3,134,0.187,408.35
Biella,53,16/04/2020,2,719,3,137,0.191,409.49
Biella,54,17/04/2020,9,728,4,141,0.194,414.61
Biella,55,18/04/2020,20,748,3,144,0.193,426
Biella,56,19/04/2020,35,783,3,147,0.188,445.94
Biella,57,20/04/2020,4,787,1,148,0.188,448.22
Biella,58,21/04/2020,21,808,2,150,0.186,460.18
Biella,59,22/04/2020,25,833,4,154,0.185,474.41
Biella,60,23/04/2020,27,860,1,155,0.18,489.79
Biella,61,24/04/2020,40,900,0,155,0.172,512.57
Biella,62,25/04/2020,15,915,0,155,0.169,521.12
Biella,63,26/04/2020,30,945,0,155,0.164,538.2
Biella,64,27/04/2020,7,952,2,157,0.165,542.19
Biella,65,28/04/2020,9,961,4,161,0.168,547.31
Biella,66,29/04/2020,2,963,1,162,0.168,548.45
Biella,67,30/04/2020,3,966,1,163,0.169,550.16
Biella,68,01/05/2020,4,970,1,164,0.169,552.44
Biella,69,02/05/2020,8,978,1,165,0.169,557
Biella,70,03/05/2020,2,980,0,165,0.168,558.13
Biella,71,04/05/2020,12,992,0,165,0.166,564.97
Biella,72,05/05/2020,1,993,0,165,0.166,565.54
Biella,73,06/05/2020,4,997,0,165,0.165,567.82
Biella,74,07/05/2020,5,1002,1,166,0.166,570.66
Biella,75,08/05/2020,0,1002,0,166,0.166,570.66
Biella,76,09/05/2020,5,1007,1,167,0.166,573.51
Biella,77,10/05/2020,8,1015,0,167,0.165,578.07
Biella,78,11/05/2020,0,1015,0,167,0.165,578.07
Biella,79,12/05/2020,1,1016,0,167,0.164,578.64
Biella,80,13/05/2020,5,1021,0,167,0.164,581.48
Biella,81,14/05/2020,1,1022,0,167,0.163,582.05
Biella,82,15/05/2020,0,1022,4,171,0.167,582.05
Biella,83,16/05/2020,1,1023,5,176,0.172,582.62
Biella,84,17/05/2020,0,1023,0,176,0.172,582.62
Biella,85,18/05/2020,0,1023,0,176,0.172,582.62
Biella,86,19/05/2020,1,1024,9,185,0.181,583.19
Biella,87,20/05/2020,2,1026,8,193,0.188,584.33
Biella,88,21/05/2020,2,1028,6,199,0.194,585.47
Biella,89,22/05/2020,1,1029,1,200,0.194,586.04
Biella,90,23/05/2020,1,1030,1,201,0.195,586.61
Biella,91,24/05/2020,1,1031,1,202,0.196,587.18
Biella,92,25/05/2020,1,1032,1,203,0.197,587.75
Biella,93,26/05/2020,0,1032,0,203,0.197,587.75
Biella,94,27/05/2020,0,1032,0,203,0.197,587.75
Biella,95,28/05/2020,0,1032,0,203,0.197,587.75
Biella,96,29/05/2020,0,1032,0,203,0.197,587.75
Biella,97,30/05/2020,1,1033,0,203,0.197,588.32
Biella,98,31/05/2020,1,1034,0,203,0.196,588.89
Biella,99,01/06/2020,0,1034,0,203,0.196,588.89
Biella,100,02/06/2020,0,1034,0,203,0.196,588.89
Biella,101,03/06/2020,1,1035,0,203,0.196,589.46
Biella,102,04/06/2020,2,1037,2,205,0.198,590.6
Biella,103,05/06/2020,2,1039,0,205,0.197,591.74
Biella,104,06/06/2020,0,1039,1,206,0.198,591.74
Biella,105,07/06/2020,0,1039,0,206,0.198,591.74
Biella,106,08/06/2020,0,1039,1,207,0.199,591.74
Biella,107,09/06/2020,0,1039,0,207,0.199,591.74
Biella,108,10/06/2020,1,1040,0,207,0.199,592.31
Biella,109,11/06/2020,0,1040,1,208,0.2,592.31
Biella,110,12/06/2020,0,1040,0,208,0.2,592.31
Biella,111,13/06/2020,1,1041,0,208,0.2,592.88
Biella,112,14/06/2020,1,1042,0,208,0.2,593.44
Biella,113,15/06/2020,0,1042,0,208,0.2,593.44
Biella,114,16/06/2020,0,1042,0,208,0.2,593.44
Biella,115,17/06/2020,0,1042,0,208,0.2,593.44
Biella,116,18/06/2020,0,1042,0,208,0.2,593.44
Biella,117,19/06/2020,0,1042,0,208,0.2,593.44
Biella,118,20/06/2020,0,1042,0,208,0.2,593.44
Biella,119,21/06/2020,0,1042,0,208,0.2,593.44
Biella,120,22/06/2020,0,1042,0,208,0.2,593.44
Biella,121,23/06/2020,0,1042,0,208,0.2,593.44
Biella,122,24/06/2020,2,1044,0,208,0.199,594.58
