Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Cuneo,1,24/02/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,2,25/02/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,3,26/02/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,4,27/02/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,5,28/02/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,6,29/02/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,7,01/03/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,8,02/03/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,9,03/03/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,10,04/03/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,11,05/03/2020,0,0,0,0,"0,00000000","100000,0"
Cuneo,12,06/03/2020,1,1,0,0,"0,00000000","100000,0"
Cuneo,13,07/03/2020,0,1,0,0,"0,00000000","100000,0"
Cuneo,14,08/03/2020,4,5,0,0,"0,00000000","100000,0"
Cuneo,15,09/03/2020,6,11,0,0,"0,00000000","100000,0"
Cuneo,16,10/03/2020,3,14,0,0,"0,00000000","100000,0"
Cuneo,17,11/03/2020,3,17,1,1,"0,05882353","100000,0"
Cuneo,18,12/03/2020,7,24,1,2,"0,08333333","100000,0"
Cuneo,19,13/03/2020,16,40,0,2,"0,05000000","100000,0"
Cuneo,20,14/03/2020,7,47,2,4,"0,08510638","100000,0"
Cuneo,21,15/03/2020,14,61,1,5,"0,08196721","100000,0"
Cuneo,22,16/03/2020,30,91,0,5,"0,05494505","100000,0"
Cuneo,23,17/03/2020,28,119,2,7,"0,05882353","100000,0"
Cuneo,24,18/03/2020,30,149,1,8,"0,05369127","100000,0"
Cuneo,25,19/03/2020,0,149,1,9,"0,06040268","100000,0"
Cuneo,26,20/03/2020,72,221,4,13,"0,05882353","100000,0"
Cuneo,27,21/03/2020,44,265,6,19,"0,07169811","100000,0"
Cuneo,28,22/03/2020,38,303,1,20,"0,06600660","100000,0"
Cuneo,29,23/03/2020,64,367,2,22,"0,05994550","100000,0"
Cuneo,30,24/03/2020,42,409,0,22,"0,05378973","100000,0"
Cuneo,31,25/03/2020,32,441,5,27,"0,06122449","100000,0"
Cuneo,32,26/03/2020,46,487,5,32,"0,06570842","100000,0"
Cuneo,33,27/03/2020,31,518,3,35,"0,06756757","100000,0"
Cuneo,34,28/03/2020,40,558,4,39,"0,06989247","100000,0"
Cuneo,35,29/03/2020,33,591,9,48,"0,08121827","100000,0"
Cuneo,36,30/03/2020,59,650,3,51,"0,07846154","100000,0"
Cuneo,37,31/03/2020,81,731,5,56,"0,07660739","100000,0"
Cuneo,38,01/04/2020,47,778,9,65,"0,08354756","100000,0"
Cuneo,39,02/04/2020,48,826,2,67,"0,08111380","100000,0"
Cuneo,40,03/04/2020,24,850,5,72,"0,08470588","100000,0"
Cuneo,41,04/04/2020,82,932,1,73,"0,07832618","100000,0"
Cuneo,42,05/04/2020,139,1071,2,75,"0,07002801","100000,0"
Cuneo,43,06/04/2020,64,1135,8,83,"0,07312775","100000,0"
Cuneo,44,07/04/2020,52,1187,9,92,"0,07750632","100000,0"
Cuneo,45,08/04/2020,40,1227,8,100,"0,08149959","100000,0"
Cuneo,46,09/04/2020,74,1301,5,105,"0,08070715","100000,0"
Cuneo,47,10/04/2020,17,1318,2,107,"0,08118361","100000,0"
Cuneo,48,11/04/2020,32,1350,9,116,"0,08592593","100000,0"
Cuneo,49,12/04/2020,112,1462,8,124,"0,08481532","100000,0"
Cuneo,50,13/04/2020,145,1607,7,131,"0,08151836","100000,0"
Cuneo,51,14/04/2020,140,1747,6,137,"0,07842015","100000,0"
Cuneo,52,15/04/2020,44,1791,8,145,"0,08096036","100000,0"
Cuneo,53,16/04/2020,23,1814,4,149,"0,08213892","100000,0"
Cuneo,54,17/04/2020,83,1897,9,158,"0,08328940","100000,0"
Cuneo,55,18/04/2020,80,1977,14,172,"0,08700051","100000,0"
Cuneo,56,19/04/2020,76,2053,3,175,"0,08524111","100000,0"
Cuneo,57,20/04/2020,22,2075,6,181,"0,08722892","100000,0"
Cuneo,58,21/04/2020,50,2125,4,185,"0,08705882","100000,0"
Cuneo,59,22/04/2020,59,2184,11,196,"0,08974359","100000,0"
Cuneo,60,23/04/2020,27,2211,11,207,"0,09362279","100000,0"
Cuneo,61,24/04/2020,68,2279,7,214,"0,09390083","100000,0"
Cuneo,62,25/04/2020,100,2379,6,220,"0,09247583","100000,0"
Cuneo,63,26/04/2020,12,2391,6,226,"0,09452112","100000,0"
Cuneo,64,27/04/2020,16,2407,4,230,"0,09555463","100000,0"
Cuneo,65,28/04/2020,10,2417,0,230,"0,09515929","100000,0"
Cuneo,66,29/04/2020,42,2459,6,236,"0,09597397","100000,0"
Cuneo,67,30/04/2020,27,2486,7,243,"0,09774739","100000,0"
Cuneo,68,01/05/2020,7,2493,4,247,"0,09907742","100000,0"
Cuneo,69,02/05/2020,33,2526,6,253,"0,10015835","100000,0"
Cuneo,70,03/05/2020,9,2535,2,255,"0,10059172","100000,0"
Cuneo,71,04/05/2020,18,2553,4,259,"0,10144928","100000,0"
Cuneo,72,05/05/2020,6,2559,4,263,"0,10277452","100000,0"
Cuneo,73,06/05/2020,28,2587,4,267,"0,10320835","100000,0"
Cuneo,74,07/05/2020,16,2603,3,270,"0,10372647","100000,0"
Cuneo,75,08/05/2020,25,2628,4,274,"0,10426180","100000,0"
Cuneo,76,09/05/2020,6,2634,0,274,"0,10402430","100000,0"
Cuneo,77,10/05/2020,7,2641,19,293,"0,11094282","100000,0"
Cuneo,78,11/05/2020,5,2646,2,295,"0,11148904","100000,0"
Cuneo,79,12/05/2020,3,2649,5,300,"0,11325028","100000,0"
Cuneo,80,13/05/2020,10,2659,3,303,"0,11395261","100000,0"
Cuneo,81,14/05/2020,7,2666,5,308,"0,11552888","100000,0"
Cuneo,82,15/05/2020,13,2679,16,324,"0,12094065","100000,0"
Cuneo,83,16/05/2020,6,2685,9,333,"0,12402235","100000,0"
Cuneo,84,17/05/2020,3,2688,3,336,"0,12500000","100000,0"
Cuneo,85,18/05/2020,10,2698,5,341,"0,12638992","100000,0"
Cuneo,86,19/05/2020,2,2700,8,349,"0,12925926","100000,0"
Cuneo,87,20/05/2020,6,2706,3,352,"0,13008130","100000,0"
Cuneo,88,21/05/2020,9,2715,3,355,"0,13075506","100000,0"
Cuneo,89,22/05/2020,5,2720,0,355,"0,14075506","100000,0"
Cuneo,90,23/05/2020,10,2730,5,360,"0,15075506","100000,0"
Cuneo,91,24/05/2020,9,2739,1,361,"0,16075506","100000,0"
Cuneo,92,25/05/2020,7,2746,0,361,"0,13146395","100000,0"
Cuneo,93,26/05/2020,6,2752,2,363,"0,13190407","100000,0"
Cuneo,94,27/05/2020,4,2756,3,366,"0,13280116","100000,0"
Cuneo,95,28/05/2020,3,2759,1,367,"0,13301921","100000,0"
Cuneo,96,29/05/2020,6,2765,3,370,"0,13381555","100000,0"
Cuneo,97,30/05/2020,8,2773,2,372,"0,13415074","100000,0"
