Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Novara,1,2/24/2020,0,0,0,0,0,0
Novara,2,2/25/2020,0,0,0,0,0,0
Novara,3,2/26/2020,0,0,0,0,0,0
Novara,4,2/27/2020,0,0,0,0,0,0
Novara,5,2/28/2020,0,0,0,0,0,0
Novara,6,2/29/2020,0,0,0,0,0,0
Novara,7,3/1/2020,0,0,0,0,0,0
Novara,8,3/2/2020,3,3,0,0,0,0.812968473
Novara,9,3/3/2020,0,3,0,0,0,0.812968473
Novara,10,3/4/2020,0,3,0,0,0,0.812968473
Novara,11,3/5/2020,0,3,0,0,0,0.812968473
Novara,12,3/6/2020,1,4,0,0,0,1.083957964
Novara,13,3/7/2020,1,5,0,0,0,1.354947455
Novara,14,3/8/2020,8,13,0,0,0,3.522863383
Novara,15,3/9/2020,1,14,0,0,0,3.793852874
Novara,16,3/10/2020,8,22,2,2,0.090909091,5.961768803
Novara,17,3/11/2020,5,27,0,2,0.074074074,7.316716258
Novara,18,3/12/2020,5,32,1,3,0.09375,8.671663713
Novara,19,3/13/2020,16,48,1,4,0.083333333,13.00749557
Novara,20,3/14/2020,0,48,1,5,0.104166667,13.00749557
Novara,21,3/15/2020,23,71,2,7,0.098591549,19.24025386
Novara,22,3/16/2020,38,109,5,12,0.110091743,29.53785452
Novara,23,3/17/2020,41,150,2,14,0.093333333,40.64842365
Novara,24,3/18/2020,40,190,2,16,0.084210526,51.4880033
Novara,25,3/19/2020,0,190,5,21,0.110526316,51.4880033
Novara,26,3/20/2020,103,293,7,28,0.09556314,79.39992087
Novara,27,3/21/2020,37,330,5,33,0.1,89.42653204
Novara,28,3/22/2020,68,398,10,43,0.108040201,107.8538174
Novara,29,3/23/2020,22,420,4,47,0.111904762,113.8155862
Novara,30,3/24/2020,51,471,10,57,0.121019108,127.6360503
Novara,31,3/25/2020,46,517,6,63,0.121856867,140.1015669
Novara,32,3/26/2020,60,577,4,67,0.116117851,156.3609363
Novara,33,3/27/2020,32,609,15,82,0.134646962,165.0326
Novara,34,3/28/2020,48,657,11,93,0.141552511,178.0400956
Novara,35,3/29/2020,37,694,10,103,0.148414986,188.0667068
Novara,36,3/30/2020,39,733,1,104,0.141882674,198.6352969
Novara,37,3/31/2020,64,797,4,108,0.135508156,215.9786243
Novara,38,4/1/2020,57,854,5,113,0.132318501,231.4250253
Novara,39,4/2/2020,48,902,11,124,0.137472284,244.4325209
Novara,40,4/3/2020,28,930,4,128,0.137634409,252.0202267
Novara,41,4/4/2020,37,967,5,133,0.13753878,262.0468378
Novara,42,4/5/2020,19,986,6,139,0.140973631,267.1956382
Novara,43,4/6/2020,22,1008,4,143,0.141865079,273.157407
Novara,44,4/7/2020,65,1073,1,144,0.134203169,290.7717239
Novara,45,4/8/2020,73,1146,1,145,0.126527051,310.5539567
Novara,46,4/9/2020,72,1218,8,153,0.125615764,330.0652001
Novara,47,4/10/2020,40,1258,9,162,0.128775835,340.9047797
Novara,48,4/11/2020,282,1540,8,170,0.11038961,417.3238162
Novara,49,4/12/2020,65,1605,7,177,0.110280374,434.9381331
Novara,50,4/13/2020,7,1612,8,185,0.114764268,436.8350595
Novara,51,4/14/2020,26,1638,9,194,0.118437118,443.8807863
Novara,52,4/15/2020,70,1708,7,201,0.117681499,462.8500507
Novara,53,4/16/2020,117,1825,6,207,0.113424658,494.5558211
Novara,54,4/17/2020,30,1855,6,213,0.114824798,502.6855059
Novara,55,4/18/2020,86,1941,7,220,0.113343637,525.9906021
Novara,56,4/19/2020,46,1987,2,222,0.11172622,538.4561187
Novara,57,4/20/2020,9,1996,3,225,0.112725451,540.8950241
Novara,58,4/21/2020,32,2028,4,229,0.112919132,549.5666878
Novara,59,4/22/2020,95,2123,1,230,0.108337259,575.3106895
Novara,60,4/23/2020,20,2143,8,238,0.111059263,580.7304793
Novara,61,4/24/2020,29,2172,5,243,0.111878453,588.5891745
Novara,62,4/25/2020,31,2203,5,248,0.112573763,596.9898487
Novara,63,4/26/2020,6,2209,2,250,0.113173382,598.6157857
Novara,64,4/27/2020,9,2218,2,252,0.11361587,601.0546911
Novara,65,4/28/2020,26,2244,4,256,0.114081996,608.1004179
Novara,66,4/29/2020,21,2265,1,257,0.113465784,613.7911972
Novara,67,4/30/2020,26,2291,1,258,0.112614579,620.8369239
Novara,68,5/1/2020,42,2333,5,263,0.11273039,632.2184826
Novara,69,5/2/2020,32,2365,1,264,0.111627907,640.8901463
Novara,70,5/3/2020,6,2371,1,265,0.111767187,642.5160832
Novara,71,5/4/2020,6,2377,0,265,0.111485065,644.1420202
Novara,72,5/5/2020,17,2394,8,273,0.114035088,648.7488415
Novara,73,5/6/2020,5,2399,3,276,0.115047937,650.103789
Novara,74,5/7/2020,35,2434,2,278,0.114215283,659.5884212
Novara,75,5/8/2020,8,2442,1,279,0.114250614,661.7563371
Novara,76,5/9/2020,26,2468,5,284,0.115072934,668.8020639
Novara,77,5/10/2020,7,2475,6,290,0.117171717,670.6989903
Novara,78,5/11/2020,6,2481,4,294,0.118500605,672.3249272
Novara,79,5/12/2020,13,2494,1,295,0.118283881,675.8477906
Novara,80,5/13/2020,34,2528,2,297,0.117484177,685.0614333
Novara,81,5/14/2020,15,2543,3,300,0.117970901,689.1262757
Novara,82,5/15/2020,22,2565,2,302,0.117738791,695.0880445
Novara,83,5/16/2020,5,2570,2,304,0.118287938,696.4429919
Novara,84,5/17/2020,4,2574,5,309,0.12004662,697.5269499
Novara,85,5/18/2020,5,2579,2,311,0.120589376,698.8818974
Novara,86,5/19/2020,38,2617,0,311,0.118838365,709.179498
Novara,87,5/20/2020,15,2632,8,319,0.121200608,713.2443404
Novara,88,5/21/2020,13,2645,3,322,0.12173913,716.7672038
Novara,89,5/22/2020,7,2652,3,325,0.13173913,717.7672038
Novara,90,5/23/2020,5,2657,0,325,0.14173913,718.7672038
