Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Vercelli,1,24/02/2020,0,0,0,0,0,0
Vercelli,2,25/02/2020,0,0,0,0,0,0
Vercelli,3,26/02/2020,0,0,0,0,0,0
Vercelli,4,27/02/2020,0,0,0,0,0,0
Vercelli,5,28/02/2020,0,0,0,0,0,0
Vercelli,6,29/02/2020,0,0,0,0,0,0
Vercelli,7,01/03/2020,0,0,0,0,0,0
Vercelli,8,02/03/2020,1,1,0,0,0,0.59
Vercelli,9,03/03/2020,0,1,0,0,0,0.59
Vercelli,10,04/03/2020,2,3,0,0,0,1.76
Vercelli,11,05/03/2020,5,8,0,0,0,4.68
Vercelli,12,06/03/2020,-1,7,0,0,0,4.1
Vercelli,13,07/03/2020,3,10,0,0,0,5.85
Vercelli,14,08/03/2020,5,15,0,0,0,8.78
Vercelli,15,09/03/2020,-4,11,2,2,0.182,6.44
Vercelli,16,10/03/2020,7,18,1,3,0.167,10.53
Vercelli,17,11/03/2020,6,24,0,3,0.125,14.04
Vercelli,18,12/03/2020,1,25,1,4,0.16,14.63
Vercelli,19,13/03/2020,4,29,0,4,0.138,16.97
Vercelli,20,14/03/2020,2,31,0,4,0.129,18.14
Vercelli,21,15/03/2020,53,84,2,6,0.071,49.15
Vercelli,22,16/03/2020,15,99,5,11,0.111,57.92
Vercelli,23,17/03/2020,14,113,0,11,0.097,66.12
Vercelli,24,18/03/2020,18,131,2,13,0.099,76.65
Vercelli,25,19/03/2020,0,131,0,13,0.099,76.65
Vercelli,26,20/03/2020,72,203,2,15,0.074,118.78
Vercelli,27,21/03/2020,7,210,0,15,0.071,122.87
Vercelli,28,22/03/2020,32,242,2,17,0.07,141.59
Vercelli,29,23/03/2020,21,263,3,20,0.076,153.88
Vercelli,30,24/03/2020,27,290,3,23,0.079,169.68
Vercelli,31,25/03/2020,18,308,2,25,0.081,180.21
Vercelli,32,26/03/2020,28,336,1,26,0.077,196.59
Vercelli,33,27/03/2020,22,358,1,27,0.075,209.47
Vercelli,34,28/03/2020,39,397,2,29,0.073,232.28
Vercelli,35,29/03/2020,29,426,4,33,0.077,249.25
