Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Bari,1,24/02/2020,0,0,0,0,0,0
Bari,2,25/02/2020,0,0,0,0,0,0
Bari,3,26/02/2020,0,0,0,0,0,0
Bari,4,27/02/2020,1,1,0,0,0,0.08
Bari,5,28/02/2020,-1,0,0,0,0,0
Bari,6,29/02/2020,0,0,0,0,0,0
Bari,7,01/03/2020,0,0,0,0,0,0
Bari,8,02/03/2020,1,1,0,0,0,0.08
Bari,9,03/03/2020,1,2,0,0,0,0.16
Bari,10,04/03/2020,0,2,0,0,0,0.16
Bari,11,05/03/2020,0,2,0,0,0,0.16
Bari,12,06/03/2020,1,3,0,0,0,0.24
Bari,13,07/03/2020,2,5,0,0,0,0.4
Bari,14,08/03/2020,0,5,0,0,0,0.4
Bari,15,09/03/2020,1,6,0,0,0,0.48
Bari,16,10/03/2020,9,15,0,0,0,1.2
Bari,17,11/03/2020,3,18,0,0,0,1.44
Bari,18,12/03/2020,7,25,0,0,0,2
Bari,19,13/03/2020,13,38,0,0,0,3.04
Bari,20,14/03/2020,4,42,1,1,0.024,3.35
Bari,21,15/03/2020,16,58,1,2,0.034,4.63
Bari,22,16/03/2020,0,58,0,2,0.034,4.63
Bari,23,17/03/2020,37,95,0,2,0.021,7.59
Bari,24,18/03/2020,17,112,2,4,0.036,8.95
Bari,25,19/03/2020,25,137,1,5,0.036,10.94
Bari,26,20/03/2020,28,165,0,5,0.03,13.18
Bari,27,21/03/2020,29,194,1,6,0.031,15.5
Bari,28,22/03/2020,37,231,0,6,0.026,18.45
Bari,29,23/03/2020,37,268,0,6,0.022,21.41
Bari,30,24/03/2020,36,304,3,9,0.03,24.28
Bari,31,25/03/2020,32,336,1,10,0.03,26.84
Bari,32,26/03/2020,51,387,2,12,0.031,30.91
Bari,33,27/03/2020,57,444,0,12,0.027,35.46
Bari,34,28/03/2020,25,469,0,12,0.026,37.46
Bari,35,29/03/2020,49,518,2,14,0.027,41.37
Bari,36,30/03/2020,76,594,1,15,0.025,47.44
Bari,37,31/03/2020,22,616,4,19,0.031,49.2
Bari,38,01/04/2020,39,655,11,30,0.046,52.32
Bari,39,02/04/2020,45,700,8,38,0.054,55.91
Bari,40,03/04/2020,41,741,0,38,0.051,59.19
Bari,41,04/04/2020,21,762,6,44,0.058,60.86
Bari,42,05/04/2020,28,790,0,44,0.056,63.1
Bari,43,06/04/2020,17,807,6,50,0.062,64.46
Bari,44,07/04/2020,27,834,8,58,0.07,66.61
Bari,45,08/04/2020,27,861,1,59,0.069,68.77
Bari,46,09/04/2020,9,870,1,60,0.069,69.49
