Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Barletta-Andria-Trani,1,24/02/2020,0,0,0,0,0,0
Barletta-Andria-Trani,2,25/02/2020,0,0,0,0,0,0
Barletta-Andria-Trani,3,26/02/2020,0,0,0,0,0,0
Barletta-Andria-Trani,4,27/02/2020,0,0,0,0,0,0
Barletta-Andria-Trani,5,28/02/2020,0,0,0,0,0,0
Barletta-Andria-Trani,6,29/02/2020,0,0,0,0,0,0
Barletta-Andria-Trani,7,01/03/2020,0,0,0,0,0,0
Barletta-Andria-Trani,8,02/03/2020,0,0,0,0,0,0
Barletta-Andria-Trani,9,03/03/2020,0,0,0,0,0,0
Barletta-Andria-Trani,10,04/03/2020,1,1,0,0,0,0.256403025
Barletta-Andria-Trani,11,05/03/2020,0,1,0,0,0,0.256403025
Barletta-Andria-Trani,12,06/03/2020,0,1,0,0,0,0.256403025
Barletta-Andria-Trani,13,07/03/2020,1,2,0,0,0,0.5128060489999999
Barletta-Andria-Trani,14,08/03/2020,1,3,0,0,0,0.769209074
Barletta-Andria-Trani,15,09/03/2020,0,3,0,0,0,0.769209074
Barletta-Andria-Trani,16,10/03/2020,0,3,0,0,0,0.769209074
Barletta-Andria-Trani,17,11/03/2020,1,4,0,0,0,1.0256120979999999
Barletta-Andria-Trani,18,12/03/2020,2,6,0,0,0,1.5384181469999998
Barletta-Andria-Trani,19,13/03/2020,4,10,0,0,0,2.564030245
Barletta-Andria-Trani,20,14/03/2020,7,17,0,0,0,4.3588514169999995
Barletta-Andria-Trani,21,15/03/2020,5,22,1,1,0.045,5.64086654
Barletta-Andria-Trani,22,16/03/2020,0,22,2,3,0.136,5.64086654
Barletta-Andria-Trani,23,17/03/2020,1,23,0,3,0.13,5.897269564
Barletta-Andria-Trani,24,18/03/2020,0,23,1,4,0.174,5.897269564
Barletta-Andria-Trani,25,19/03/2020,3,26,1,5,0.192,6.666478637999999
Barletta-Andria-Trani,26,20/03/2020,4,30,0,5,0.167,7.692090736
Barletta-Andria-Trani,27,21/03/2020,2,32,0,5,0.156,8.204896785
Barletta-Andria-Trani,28,22/03/2020,17,49,0,5,0.102,12.5637482
Barletta-Andria-Trani,29,23/03/2020,10,59,0,5,0.085,15.12777845
Barletta-Andria-Trani,30,24/03/2020,3,62,0,5,0.081,15.89698752
Barletta-Andria-Trani,31,25/03/2020,3,65,0,5,0.077,16.66619659
Barletta-Andria-Trani,32,26/03/2020,20,85,0,5,0.059,21.79425709
Barletta-Andria-Trani,33,27/03/2020,7,92,0,5,0.054,23.58907826
Barletta-Andria-Trani,34,28/03/2020,4,96,0,5,0.052,24.61469035
Barletta-Andria-Trani,35,29/03/2020,2,98,0,5,0.051,25.1274964
Barletta-Andria-Trani,36,30/03/2020,5,103,0,5,0.049,26.40951153
Barletta-Andria-Trani,37,31/03/2020,8,111,0,5,0.045,28.46073572
Barletta-Andria-Trani,38,01/04/2020,5,116,0,5,0.043,29.74275085
Barletta-Andria-Trani,39,02/04/2020,10,126,1,6,0.048,32.30678109
Barletta-Andria-Trani,40,03/04/2020,3,129,1,7,0.054,33.07599016
Barletta-Andria-Trani,41,04/04/2020,0,129,0,7,0.054,33.07599016
Barletta-Andria-Trani,42,05/04/2020,9,138,1,8,0.058,35.38361739
Barletta-Andria-Trani,43,06/04/2020,39,177,2,10,0.056,45.38333534
Barletta-Andria-Trani,44,07/04/2020,0,177,0,10,0.056,45.38333534
Barletta-Andria-Trani,45,08/04/2020,35,212,1,11,0.052,54.357441200000004
Barletta-Andria-Trani,46,09/04/2020,0,212,0,11,0.052,54.357441200000004
Barletta-Andria-Trani,47,10/04/2020,31,243,1,12,0.049,62.30593496
Barletta-Andria-Trani,48,11/04/2020,17,260,0,12,0.046,66.66478638
Barletta-Andria-Trani,49,12/04/2020,36,296,1,13,0.044,75.89529526
Barletta-Andria-Trani,50,13/04/2020,5,301,1,14,0.047,77.17731038
Barletta-Andria-Trani,51,14/04/2020,5,306,0,14,0.046,78.45932551
Barletta-Andria-Trani,52,15/04/2020,9,315,1,15,0.048,80.76695273
Barletta-Andria-Trani,53,16/04/2020,15,330,1,16,0.048,84.61299809
Barletta-Andria-Trani,54,17/04/2020,3,333,2,18,0.054,85.38220717
Barletta-Andria-Trani,55,18/04/2020,2,335,1,19,0.057,85.89501322
Barletta-Andria-Trani,56,19/04/2020,0,335,0,19,0.057,85.89501322
Barletta-Andria-Trani,57,20/04/2020,0,335,0,19,0.057,85.89501322
Barletta-Andria-Trani,58,21/04/2020,3,338,11,30,0.089,86.66422229
