Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Brindisi,1,24/02/2020,0,0,0,0,0,0
Brindisi,2,25/02/2020,0,0,0,0,0,0
Brindisi,3,26/02/2020,0,0,0,0,0,0
Brindisi,4,27/02/2020,0,0,0,0,0,0
Brindisi,5,28/02/2020,0,0,0,0,0,0
Brindisi,6,29/02/2020,0,0,0,0,0,0
Brindisi,7,01/03/2020,0,0,0,0,0,0
Brindisi,8,02/03/2020,0,0,0,0,0,0
Brindisi,9,03/03/2020,0,0,0,0,0,0
Brindisi,10,04/03/2020,0,0,0,0,0,0
Brindisi,11,05/03/2020,0,0,0,0,0,0
Brindisi,12,06/03/2020,0,0,0,0,0,0
Brindisi,13,07/03/2020,3,3,0,0,0,0.76
Brindisi,14,08/03/2020,0,3,0,0,0,0.76
Brindisi,15,09/03/2020,2,5,0,0,0,1.27
Brindisi,16,10/03/2020,0,5,0,0,0,1.27
Brindisi,17,11/03/2020,10,15,0,0,0,3.82
Brindisi,18,12/03/2020,1,16,0,0,0,4.07
Brindisi,19,13/03/2020,4,20,0,0,0,5.09
Brindisi,20,14/03/2020,3,23,0,0,0,5.85
Brindisi,21,15/03/2020,17,40,0,0,0,10.18
Brindisi,22,16/03/2020,0,40,0,0,0,10.18
Brindisi,23,17/03/2020,12,52,0,0,0,13.23
Brindisi,24,18/03/2020,13,65,1,1,0.01,16.54
Brindisi,25,19/03/2020,10,75,0,1,0.01,19.09
Brindisi,26,20/03/2020,9,84,0,1,0.01,21.38
Brindisi,27,21/03/2020,10,94,1,2,0.02,23.92
Brindisi,28,22/03/2020,6,100,0,2,0.02,25.45
Brindisi,29,23/03/2020,2,102,1,3,0.03,25.96
Brindisi,30,24/03/2020,1,103,0,3,0.03,26.21
Brindisi,31,25/03/2020,13,116,0,3,0.03,29.52
Brindisi,32,26/03/2020,6,122,6,9,0.07,31.05
Brindisi,33,27/03/2020,3,125,1,10,0.08,31.81
Brindisi,34,28/03/2020,23,148,0,10,0.07,37.66
Brindisi,35,29/03/2020,4,152,1,11,0.07,38.68
Brindisi,36,30/03/2020,12,164,0,11,0.07,41.73
Brindisi,37,31/03/2020,0,164,2,13,0.08,41.73
Brindisi,38,01/04/2020,27,191,1,14,0.07,48.6
Brindisi,39,02/04/2020,17,208,2,16,0.08,52.93
Brindisi,40,03/04/2020,10,218,2,18,0.08,55.47
Brindisi,41,04/04/2020,16,234,2,20,0.09,59.55
Brindisi,42,05/04/2020,12,246,0,20,0.08,62.6
Brindisi,43,06/04/2020,11,257,0,20,0.08,65.4
Brindisi,44,07/04/2020,5,262,1,21,0.08,66.67
Brindisi,45,08/04/2020,22,284,1,22,0.08,72.27
Brindisi,46,09/04/2020,15,299,0,22,0.07,76.09
Brindisi,47,10/04/2020,17,316,3,25,0.08,80.41
Brindisi,48,11/04/2020,18,334,0,25,0.07,84.99
Brindisi,49,12/04/2020,24,358,1,26,0.07,91.1
Brindisi,50,13/04/2020,21,379,1,27,0.07,96.44
Brindisi,51,14/04/2020,24,403,0,27,0.07,102.55
Brindisi,52,15/04/2020,14,417,1,28,0.07,106.11
Brindisi,53,16/04/2020,11,428,3,31,0.07,108.91
Brindisi,54,17/04/2020,11,439,2,33,0.07,111.71
Brindisi,55,18/04/2020,19,458,1,34,0.07,116.55
Brindisi,56,19/04/2020,27,485,1,35,0.07,123.42
Brindisi,57,20/04/2020,15,500,1,36,0.07,127.23
Brindisi,58,21/04/2020,5,505,3,39,0.08,128.51
Brindisi,59,22/04/2020,7,512,1,40,0.08,130.29
Brindisi,60,23/04/2020,15,527,0,40,0.08,134.11
Brindisi,61,24/04/2020,8,535,1,41,0.08,136.14
Brindisi,62,25/04/2020,7,542,1,42,0.08,137.92
Brindisi,63,26/04/2020,10,552,0,42,0.08,140.47
Brindisi,64,27/04/2020,2,554,2,44,0.08,140.98
Brindisi,65,28/04/2020,0,554,0,44,0.08,140.98
Brindisi,66,29/04/2020,1,555,1,45,0.08,141.23
Brindisi,67,30/04/2020,11,566,1,46,0.08,144.03
Brindisi,68,01/05/2020,11,577,0,46,0.08,146.83
Brindisi,69,02/05/2020,4,581,1,47,0.08,147.85
Brindisi,70,03/05/2020,1,582,0,47,0.08,148.1
Brindisi,71,04/05/2020,0,582,1,48,0.08,148.1
Brindisi,72,05/05/2020,8,590,1,49,0.08,150.14
Brindisi,73,06/05/2020,7,597,0,49,0.08,151.92
Brindisi,74,07/05/2020,3,600,1,50,0.08,152.68
Brindisi,75,08/05/2020,0,600,0,50,0.08,152.68
Brindisi,76,09/05/2020,4,604,0,50,0.08,153.7
Brindisi,77,10/05/2020,1,605,1,51,0.08,153.95
Brindisi,78,11/05/2020,0,605,0,51,0.08,153.95
Brindisi,79,12/05/2020,1,606,2,53,0.09,154.21
Brindisi,80,13/05/2020,2,608,0,53,0.09,154.72
Brindisi,81,14/05/2020,2,610,0,53,0.09,155.23
Brindisi,82,15/05/2020,5,615,0,53,0.09,156.5
Brindisi,83,16/05/2020,4,619,0,53,0.09,157.52
Brindisi,84,17/05/2020,3,622,1,54,0.09,158.28
Brindisi,85,18/05/2020,0,622,1,55,0.09,158.28
Brindisi,86,19/05/2020,7,629,1,56,0.09,160.06
Brindisi,87,20/05/2020,6,635,2,58,0.09,161.59
Brindisi,88,21/05/2020,2,637,0,58,0.09,162.1
Brindisi,89,22/05/2020,7,644,2,60,0.09,163.88
Brindisi,90,23/05/2020,7,651,1,61,0.09,165.66
Brindisi,91,24/05/2020,1,652,0,61,0.09,165.91
Brindisi,92,25/05/2020,-2,650,0,61,0.09,165.4
Brindisi,93,26/05/2020,1,651,0,61,0.09,165.66
Brindisi,94,27/05/2020,0,651,1,62,0.1,165.66
Brindisi,95,28/05/2020,1,652,1,63,0.1,165.91
Brindisi,96,29/05/2020,-1,651,0,63,0.1,165.66
Brindisi,97,30/05/2020,0,651,0,63,0.1,165.66
Brindisi,98,31/05/2020,0,651,0,63,0.1,165.66
Brindisi,99,01/06/2020,0,651,0,63,0.1,165.66
Brindisi,100,02/06/2020,-1,650,2,65,0.1,165.4
Brindisi,101,03/06/2020,0,650,0,65,0.1,165.4
Brindisi,102,04/06/2020,1,651,0,65,0.1,165.66
Brindisi,103,05/06/2020,2,653,0,65,0.1,166.17
Brindisi,104,06/06/2020,0,653,0,65,0.1,166.17
Brindisi,105,07/06/2020,0,653,0,65,0.1,166.17
Brindisi,106,08/06/2020,0,653,0,65,0.1,166.17
Brindisi,107,09/06/2020,1,654,0,65,0.1,166.42
Brindisi,108,10/06/2020,0,654,0,65,0.1,166.42
Brindisi,109,11/06/2020,0,654,0,65,0.1,166.42
Brindisi,110,12/06/2020,1,655,0,65,0.1,166.68
Brindisi,111,13/06/2020,1,656,0,65,0.1,166.93
Brindisi,112,14/06/2020,0,656,0,65,0.1,166.93
Brindisi,113,15/06/2020,0,656,0,65,0.1,166.93
Brindisi,114,16/06/2020,0,656,0,65,0.1,166.93
Brindisi,115,17/06/2020,0,656,0,65,0.1,166.93
Brindisi,116,18/06/2020,2,658,0,65,0.1,167.44
Brindisi,117,19/06/2020,0,658,0,65,0.1,167.44
Brindisi,118,20/06/2020,1,659,0,65,0.1,167.7
Brindisi,119,21/06/2020,0,659,0,65,0.1,167.7
Brindisi,120,22/06/2020,0,659,0,65,0.1,167.7
Brindisi,121,23/06/2020,0,659,0,65,0.1,167.7
Brindisi,122,24/06/2020,0,659,0,65,0.1,167.7
Brindisi,123,25/06/2020,0,659,0,65,0.1,167.7
Brindisi,124,26/06/2020,0,659,0,65,0.1,167.7
Brindisi,125,27/06/2020,0,659,0,65,0.1,167.7
Brindisi,126,28/06/2020,0,659,0,65,0.1,167.7
Brindisi,127,29/06/2020,0,659,0,65,0.1,167.7
Brindisi,128,30/06/2020,0,659,0,65,0.1,167.7
Brindisi,129,01/07/2020,0,659,0,65,0.1,167.7
Brindisi,130,02/07/2020,0,659,0,65,0.1,167.7
Brindisi,131,03/07/2020,1,660,0,65,0.1,167.95
Brindisi,132,04/07/2020,0,660,0,65,0.1,167.95
Brindisi,133,05/07/2020,0,660,0,65,0.1,167.95
Brindisi,134,06/07/2020,0,660,0,65,0.1,167.95
Brindisi,135,07/07/2020,0,660,0,65,0.1,167.95
Brindisi,136,08/07/2020,0,660,0,65,0.1,167.95
Brindisi,137,09/07/2020,0,660,0,65,0.1,167.95
Brindisi,138,10/07/2020,0,660,0,65,0.1,167.95
Brindisi,139,11/07/2020,0,660,0,65,0.1,167.95
Brindisi,140,12/07/2020,0,660,0,65,0.1,167.95
Brindisi,141,13/07/2020,0,660,0,65,0.1,167.95
Brindisi,142,14/07/2020,0,660,0,65,0.1,167.95
Brindisi,143,15/07/2020,0,660,0,65,0.1,167.95
Brindisi,144,16/07/2020,1,661,0,65,0.1,168.2
Brindisi,145,17/07/2020,0,661,0,65,0.1,168.2
Brindisi,146,18/07/2020,3,664,0,65,0.1,168.97
Brindisi,147,19/07/2020,4,668,0,65,0.1,169.99
Brindisi,148,20/07/2020,1,669,0,65,0.1,170.24
Brindisi,149,21/07/2020,0,669,0,65,0.1,170.24
Brindisi,150,22/07/2020,0,669,0,65,0.1,170.24
Brindisi,151,23/07/2020,1,670,0,65,0.1,170.49
Brindisi,152,24/07/2020,0,670,0,65,0.1,170.49
Brindisi,153,25/07/2020,1,671,0,65,0.1,170.75
Brindisi,154,26/07/2020,0,671,0,65,0.1,170.75
Brindisi,155,27/07/2020,0,671,0,65,0.1,170.75
Brindisi,156,28/07/2020,0,671,0,65,0.1,170.75
Brindisi,157,29/07/2020,0,671,0,65,0.1,170.75
Brindisi,158,30/07/2020,0,671,0,65,0.1,170.75
Brindisi,159,31/07/2020,0,671,0,65,0.1,170.75
Brindisi,160,01/08/2020,0,671,0,65,0.1,170.75
Brindisi,161,02/08/2020,1,672,0,65,0.1,171
Brindisi,162,03/08/2020,0,672,0,65,0.1,171
Brindisi,163,04/08/2020,1,673,0,65,0.1,171.26
Brindisi,164,05/08/2020,2,675,0,65,0.1,171.77
Brindisi,165,06/08/2020,0,675,0,65,0.1,171.77
Brindisi,166,07/08/2020,0,675,0,65,0.1,171.77
Brindisi,167,08/08/2020,1,676,0,65,0.1,172.02
Brindisi,168,09/08/2020,0,676,0,65,0.1,172.02
Brindisi,169,10/08/2020,0,676,0,65,0.1,172.02
Brindisi,170,11/08/2020,0,676,0,65,0.1,172.02
Brindisi,171,12/08/2020,4,680,0,65,0.1,173.04
Brindisi,172,13/08/2020,1,681,0,65,0.1,173.29
Brindisi,173,14/08/2020,0,681,0,65,0.1,173.29
Brindisi,174,15/08/2020,0,681,0,65,0.1,173.29
Brindisi,175,16/08/2020,0,681,0,65,0.1,173.29
Brindisi,176,17/08/2020,0,681,0,65,0.1,173.29
Brindisi,177,18/08/2020,0,681,0,65,0.1,173.29
Brindisi,178,19/08/2020,2,683,0,65,0.1,173.8
Brindisi,179,20/08/2020,0,683,0,65,0.1,173.8
Brindisi,180,21/08/2020,0,683,0,65,0.1,173.8
Brindisi,181,22/08/2020,0,683,0,65,0.1,173.8
Brindisi,182,23/08/2020,7,690,0,65,0.09,175.58
Brindisi,183,24/08/2020,-1,689,0,65,0.09,175.33
Brindisi,184,25/08/2020,7,696,0,65,0.09,177.11
Brindisi,185,26/08/2020,2,698,0,65,0.09,177.62
Brindisi,186,27/08/2020,4,702,0,65,0.09,178.64
Brindisi,187,28/08/2020,3,705,0,65,0.09,179.4
Brindisi,188,29/08/2020,0,705,0,65,0.09,179.4
Brindisi,189,30/08/2020,1,706,0,65,0.09,179.66
Brindisi,190,31/08/2020,0,706,0,65,0.09,179.66
Brindisi,191,01/09/2020,-1,705,0,65,0.09,179.4
Brindisi,192,02/09/2020,1,706,0,65,0.09,179.66
Brindisi,193,03/09/2020,2,708,0,65,0.09,180.16
Brindisi,194,04/09/2020,2,710,0,65,0.09,180.67
Brindisi,195,05/09/2020,0,710,0,65,0.09,180.67
Brindisi,196,06/09/2020,4,714,0,65,0.09,181.69
Brindisi,197,07/09/2020,0,714,0,65,0.09,181.69
Brindisi,198,08/09/2020,8,722,0,65,0.09,183.73
Brindisi,199,09/09/2020,4,726,0,65,0.09,184.74
Brindisi,200,10/09/2020,1,727,0,65,0.09,185
Brindisi,201,11/09/2020,9,736,0,65,0.09,187.29
Brindisi,202,12/09/2020,3,739,0,65,0.09,188.05
Brindisi,203,13/09/2020,2,741,0,65,0.09,188.56
Brindisi,204,14/09/2020,0,741,0,65,0.09,188.56
Brindisi,205,15/09/2020,0,741,0,65,0.09,188.56
Brindisi,206,16/09/2020,4,745,0,65,0.09,189.58
Brindisi,207,17/09/2020,4,749,0,65,0.09,190.6
Brindisi,208,18/09/2020,4,753,0,65,0.09,191.62
Brindisi,209,19/09/2020,3,756,0,65,0.09,192.38
Brindisi,210,20/09/2020,2,758,0,65,0.09,192.89
Brindisi,211,21/09/2020,0,758,0,65,0.09,192.89
Brindisi,212,22/09/2020,3,761,0,65,0.09,193.65
