Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Foggia,1,24/02/2020,0,0,0,0,0.0,1000000.0
Foggia,2,25/02/2020,0,0,0,0,0.0,1000000.0
Foggia,3,26/02/2020,0,0,0,0,0.0,1000000.0
Foggia,4,27/02/2020,0,0,0,0,0.0,1000000.0
Foggia,5,28/02/2020,0,0,0,0,0.0,1000000.0
Foggia,6,29/02/2020,0,0,0,0,0.0,1000000.0
Foggia,7,01/03/2020,0,0,0,0,0.0,1000000.0
Foggia,8,02/03/2020,0,0,0,0,0.0,1000000.0
Foggia,9,03/03/2020,1,1,1,1,1.0,1000000.0
Foggia,10,04/03/2020,1,2,0,1,0.5,1000000.0
Foggia,11,05/03/2020,5,7,0,1,0.14300000000000002,1000000.0
Foggia,12,06/03/2020,0,7,1,2,0.28600000000000003,1000000.0
Foggia,13,07/03/2020,2,9,1,3,0.33299999999999996,1000000.0
Foggia,14,08/03/2020,7,16,0,3,0.188,1000000.0
Foggia,15,09/03/2020,7,23,0,3,0.13,1000000.0
Foggia,16,10/03/2020,0,23,1,4,0.174,1000000.0
Foggia,17,11/03/2020,1,24,0,4,0.16699999999999998,1000000.0
Foggia,18,12/03/2020,9,33,0,4,0.121,1000000.0
Foggia,19,13/03/2020,1,34,0,4,0.11800000000000001,1000000.0
Foggia,20,14/03/2020,18,52,0,4,0.077,1000000.0
Foggia,21,15/03/2020,10,62,0,4,0.065,1000000.0
Foggia,22,16/03/2020,0,62,0,4,0.065,1000000.0
Foggia,23,17/03/2020,29,91,0,4,0.044000000000000004,1000000.0
Foggia,24,18/03/2020,0,91,0,4,0.044000000000000004,1000000.0
Foggia,25,19/03/2020,43,134,1,5,0.037000000000000005,1000000.0
Foggia,26,20/03/2020,29,163,0,5,0.031,1000000.0
Foggia,27,21/03/2020,27,190,1,6,0.032,1000000.0
Foggia,28,22/03/2020,22,212,1,7,0.033,1000000.0
Foggia,29,23/03/2020,14,226,4,11,0.049,1000000.0
Foggia,30,24/03/2020,29,255,3,14,0.055,1000000.0
Foggia,31,25/03/2020,22,277,2,16,0.057999999999999996,1000000.0
Foggia,32,26/03/2020,28,305,8,24,0.079,1000000.0
Foggia,33,27/03/2020,20,325,1,25,0.077,1000000.0
Foggia,34,28/03/2020,30,355,1,26,0.073,1000000.0
Foggia,35,29/03/2020,22,377,10,36,0.095,1000000.0
Foggia,36,30/03/2020,28,405,3,39,0.096,1000000.0
Foggia,37,31/03/2020,52,457,9,48,0.105,1000000.0
Foggia,38,01/04/2020,33,490,2,50,0.102,1000000.0
Foggia,39,02/04/2020,12,502,3,53,0.106,1000000.0
Foggia,40,03/04/2020,25,527,6,59,0.11199999999999999,1000000.0
Foggia,41,04/04/2020,19,546,0,59,0.10800000000000001,1000000.0
Foggia,42,05/04/2020,18,564,5,64,0.113,1000000.0
Foggia,43,06/04/2020,41,605,4,68,0.11199999999999999,1000000.0
Foggia,44,07/04/2020,30,635,5,73,0.115,1000000.0
Foggia,45,08/04/2020,17,652,4,77,0.11800000000000001,1000000.0
Foggia,46,09/04/2020,49,701,1,78,0.111,1000000.0
Foggia,47,10/04/2020,20,721,2,80,0.111,1000000.0
Foggia,48,11/04/2020,3,724,3,83,0.115,1000000.0
Foggia,49,12/04/2020,15,739,2,85,0.115,1000000.0
Foggia,50,13/04/2020,-2,737,2,87,0.11800000000000001,1000000.0
Foggia,51,14/04/2020,5,742,3,90,0.121,1000000.0
Foggia,52,15/04/2020,14,756,3,93,0.12300000000000001,1000000.0
Foggia,53,16/04/2020,24,780,4,97,0.124,1000000.0
Foggia,54,17/04/2020,27,807,0,97,0.12,1000000.0
Foggia,55,18/04/2020,15,822,1,98,0.11900000000000001,1000000.0
Foggia,56,19/04/2020,30,852,1,99,0.11599999999999999,1000000.0
Foggia,57,20/04/2020,16,868,4,103,0.11900000000000001,1000000.0
Foggia,58,21/04/2020,28,896,3,106,0.11800000000000001,1000000.0
Foggia,59,22/04/2020,37,933,3,109,0.11699999999999999,1000000.0
Foggia,60,23/04/2020,23,956,6,115,0.12,1000000.0
Foggia,61,24/04/2020,13,969,2,117,0.121,1000000.0
Foggia,62,25/04/2020,9,978,4,121,0.124,1000000.0
Foggia,63,26/04/2020,8,986,5,126,0.128,1000000.0
Foggia,64,27/04/2020,3,989,4,130,0.131,1000000.0
Foggia,65,28/04/2020,15,1004,0,130,0.129,1000000.0
Foggia,66,29/04/2020,28,1032,1,131,0.127,1000000.0
Foggia,67,30/04/2020,12,1044,1,132,0.126,1000000.0
Foggia,68,01/05/2020,6,1050,3,135,0.129,1000000.0
Foggia,69,02/05/2020,16,1066,0,135,0.127,1000000.0
Foggia,70,03/05/2020,2,1068,0,135,0.126,1000000.0
Foggia,71,04/05/2020,2,1070,1,136,0.127,1000000.0
Foggia,72,05/05/2020,7,1077,2,138,0.128,1000000.0
Foggia,73,06/05/2020,11,1088,2,140,0.129,1000000.0
Foggia,74,07/05/2020,10,1098,1,141,0.128,1000000.0
Foggia,75,08/05/2020,5,1103,0,141,0.128,1000000.0
Foggia,76,09/05/2020,5,1108,0,141,0.127,1000000.0
Foggia,77,10/05/2020,3,1111,2,143,0.129,1000000.0
Foggia,78,11/05/2020,5,1116,1,144,0.129,1000000.0
Foggia,79,12/05/2020,1,1117,1,145,0.13,1000000.0
Foggia,80,13/05/2020,2,1119,2,147,0.131,1000000.0
Foggia,81,14/05/2020,2,1121,0,147,0.131,1000000.0
Foggia,82,15/05/2020,4,1125,0,147,0.131,1000000.0
Foggia,83,16/05/2020,1,1126,0,147,0.131,1000000.0
Foggia,84,17/05/2020,1,1127,0,147,0.13,1000000.0
Foggia,85,18/05/2020,1,1128,0,147,0.13,1000000.0
Foggia,86,19/05/2020,1,1129,0,147,0.13,1000000.0
Foggia,87,20/05/2020,2,1131,1,148,0.131,1000000.0
Foggia,88,21/05/2020,1,1132,0,148,0.131,1000000.0
Foggia,89,22/05/2020,3,1135,0,148,0.13,1000000.0
Foggia,90,23/05/2020,0,1135,0,148,0.13,1000000.0
Foggia,91,24/05/2020,7,1142,0,148,0.13,1000000.0
Foggia,92,25/05/2020,0,1142,1,149,0.13,1000000.0
Foggia,93,26/05/2020,0,1142,0,149,0.13,1000000.0
Foggia,94,27/05/2020,10,1152,0,149,0.129,1000000.0
Foggia,95,28/05/2020,1,1153,0,149,0.129,1000000.0
Foggia,96,29/05/2020,0,1153,1,150,0.13,1000000.0
Foggia,97,30/05/2020,0,1153,0,150,0.13,1000000.0
Foggia,98,31/05/2020,3,1156,1,151,0.131,1000000.0
Foggia,99,01/06/2020,0,1156,0,151,0.131,1000000.0
Foggia,100,02/06/2020,0,1156,0,151,0.131,1000000.0
Foggia,101,03/06/2020,1,1157,2,153,0.132,1000000.0
Foggia,102,04/06/2020,0,1157,0,153,0.132,1000000.0
Foggia,103,05/06/2020,1,1158,1,154,0.133,1000000.0
Foggia,104,06/06/2020,3,1161,1,155,0.134,1000000.0
