Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Nuoro,1,24/02/2020,0,0,0,0,0,0
Nuoro,2,25/02/2020,0,0,0,0,0,0
Nuoro,3,26/02/2020,0,0,0,0,0,0
Nuoro,4,27/02/2020,0,0,0,0,0,0
Nuoro,5,28/02/2020,0,0,0,0,0,0
Nuoro,6,29/02/2020,0,0,0,0,0,0
Nuoro,7,01/03/2020,0,0,0,0,0,0
Nuoro,8,02/03/2020,0,0,0,0,0,0
Nuoro,9,03/03/2020,0,0,0,0,0,0
Nuoro,10,04/03/2020,0,0,0,0,0,0
Nuoro,11,05/03/2020,0,0,0,0,0,0
Nuoro,12,06/03/2020,2,2,0,0,0,0.96
Nuoro,13,07/03/2020,0,2,0,0,0,0.96
Nuoro,14,08/03/2020,0,2,0,0,0,0.96
Nuoro,15,09/03/2020,1,3,0,0,0,1.44
Nuoro,16,10/03/2020,0,3,0,0,0,1.44
Nuoro,17,11/03/2020,15,18,0,0,0,8.63
Nuoro,18,12/03/2020,0,18,0,0,0,8.63
Nuoro,19,13/03/2020,0,18,0,0,0,8.63
Nuoro,20,14/03/2020,0,18,0,0,0,8.63
Nuoro,21,15/03/2020,1,19,0,0,0,9.11
Nuoro,22,16/03/2020,0,19,0,0,0,9.11
Nuoro,23,17/03/2020,1,20,0,0,0,9.59
Nuoro,24,18/03/2020,0,20,0,0,0,9.59
Nuoro,25,19/03/2020,1,21,0,0,0,10.07
Nuoro,26,20/03/2020,1,22,0,0,0,10.55
Nuoro,27,21/03/2020,0,22,0,0,0,10.55
Nuoro,28,22/03/2020,0,22,1,1,0.045,10.55
Nuoro,29,23/03/2020,0,22,0,1,0.045,10.55
Nuoro,30,24/03/2020,4,26,0,1,0.038,12.47
Nuoro,31,25/03/2020,0,26,0,1,0.038,12.47
Nuoro,32,26/03/2020,26,52,1,2,0.038,24.93
Nuoro,33,27/03/2020,0,52,0,2,0.038,24.93
Nuoro,34,28/03/2020,4,56,1,3,0.054,26.85
Nuoro,35,29/03/2020,1,57,0,3,0.053,27.33
Nuoro,36,30/03/2020,0,57,0,3,0.053,27.33
Nuoro,37,31/03/2020,0,57,1,4,0.07,27.33
Nuoro,38,01/04/2020,2,59,0,4,0.068,28.29
Nuoro,39,02/04/2020,1,60,2,6,0.1,28.77
Nuoro,40,03/04/2020,2,62,0,6,0.097,29.73
Nuoro,41,04/04/2020,0,62,0,6,0.097,29.73
Nuoro,42,05/04/2020,3,65,0,6,0.092,31.17
Nuoro,43,06/04/2020,0,65,0,6,0.092,31.17
Nuoro,44,07/04/2020,0,65,1,7,0.108,31.17
Nuoro,45,08/04/2020,2,67,0,7,0.104,32.13
Nuoro,46,09/04/2020,0,67,0,7,0.104,32.13
Nuoro,47,10/04/2020,0,67,0,7,0.104,32.13
Nuoro,48,11/04/2020,0,67,0,7,0.104,32.13
Nuoro,49,12/04/2020,0,67,0,7,0.104,32.13
Nuoro,50,13/04/2020,0,67,0,7,0.104,32.13
Nuoro,51,14/04/2020,0,67,0,7,0.104,32.13
Nuoro,52,15/04/2020,0,67,0,7,0.104,32.13
Nuoro,53,16/04/2020,0,67,0,7,0.104,32.13
Nuoro,54,17/04/2020,0,67,0,7,0.104,32.13
Nuoro,55,18/04/2020,3,70,0,7,0.1,33.57
Nuoro,56,19/04/2020,4,74,0,7,0.095,35.48
Nuoro,57,20/04/2020,0,74,1,8,0.108,35.48
Nuoro,58,21/04/2020,0,74,0,8,0.108,35.48
Nuoro,59,22/04/2020,0,74,0,8,0.108,35.48
Nuoro,60,23/04/2020,0,74,0,8,0.108,35.48
Nuoro,61,24/04/2020,0,74,2,10,0.135,35.48
Nuoro,62,25/04/2020,2,76,0,10,0.132,36.44
Nuoro,63,26/04/2020,0,76,0,10,0.132,36.44
Nuoro,64,27/04/2020,0,76,0,10,0.132,36.44
Nuoro,65,28/04/2020,0,76,0,10,0.132,36.44
Nuoro,66,29/04/2020,0,76,0,10,0.132,36.44
Nuoro,67,30/04/2020,1,77,0,10,0.13,36.92
Nuoro,68,01/05/2020,0,77,1,11,0.143,36.92
Nuoro,69,02/05/2020,1,78,2,13,0.167,37.4
Nuoro,70,03/05/2020,3,81,0,13,0.16,38.84
Nuoro,71,04/05/2020,-3,78,0,13,0.167,37.4
Nuoro,72,05/05/2020,0,78,0,13,0.167,37.4
Nuoro,73,06/05/2020,0,78,0,13,0.167,37.4
Nuoro,74,07/05/2020,0,78,0,13,0.167,37.4
Nuoro,75,08/05/2020,1,79,0,13,0.165,37.88
Nuoro,76,09/05/2020,-1,78,0,13,0.167,37.4
Nuoro,77,10/05/2020,0,78,0,13,0.167,37.4
Nuoro,78,11/05/2020,0,78,0,13,0.167,37.4
Nuoro,79,12/05/2020,1,79,0,13,0.165,37.88
Nuoro,80,13/05/2020,-1,78,0,13,0.167,37.4
Nuoro,81,14/05/2020,0,78,0,13,0.167,37.4
Nuoro,82,15/05/2020,0,78,0,13,0.167,37.4
Nuoro,83,16/05/2020,1,79,0,13,0.165,37.88
Nuoro,84,17/05/2020,0,79,0,13,0.165,37.88
Nuoro,85,18/05/2020,0,79,0,13,0.165,37.88
Nuoro,86,19/05/2020,0,79,0,13,0.165,37.88
Nuoro,87,20/05/2020,0,79,0,13,0.165,37.88
Nuoro,88,21/05/2020,0,79,0,13,0.165,37.88
Nuoro,89,22/05/2020,0,79,0,13,0.165,37.88
Nuoro,90,23/05/2020,0,79,0,13,0.165,37.88
Nuoro,91,24/05/2020,0,79,0,13,0.165,37.88
Nuoro,92,25/05/2020,0,79,0,13,0.165,37.88
Nuoro,93,26/05/2020,0,79,0,13,0.165,37.88
Nuoro,94,27/05/2020,0,79,0,13,0.165,37.88
Nuoro,95,28/05/2020,0,79,0,13,0.165,37.88
Nuoro,96,29/05/2020,0,79,0,13,0.165,37.88
Nuoro,97,30/05/2020,0,79,0,13,0.165,37.88
Nuoro,98,31/05/2020,0,79,0,13,0.165,37.88
Nuoro,99,01/06/2020,0,79,0,13,0.165,37.88
Nuoro,100,02/06/2020,0,79,0,13,0.165,37.88
Nuoro,101,03/06/2020,0,79,0,13,0.165,37.88
Nuoro,102,04/06/2020,0,79,0,13,0.165,37.88
Nuoro,103,05/06/2020,0,79,0,13,0.165,37.88
Nuoro,104,06/06/2020,0,79,0,13,0.165,37.88
Nuoro,105,07/06/2020,0,79,0,13,0.165,37.88
Nuoro,106,08/06/2020,0,79,0,13,0.165,37.88
Nuoro,107,09/06/2020,0,79,0,13,0.165,37.88
Nuoro,108,10/06/2020,0,79,0,13,0.165,37.88
Nuoro,109,11/06/2020,0,79,0,13,0.165,37.88
Nuoro,110,12/06/2020,0,79,0,13,0.165,37.88
Nuoro,111,13/06/2020,0,79,0,13,0.165,37.88
Nuoro,112,14/06/2020,0,79,0,13,0.165,37.88
Nuoro,113,15/06/2020,0,79,0,13,0.165,37.88
Nuoro,114,16/06/2020,0,79,0,13,0.165,37.88
Nuoro,115,17/06/2020,0,79,0,13,0.165,37.88
Nuoro,116,18/06/2020,1,80,0,13,0.162,38.36
Nuoro,117,19/06/2020,0,80,0,13,0.162,38.36
Nuoro,118,20/06/2020,0,80,0,13,0.162,38.36
Nuoro,119,21/06/2020,0,80,0,13,0.162,38.36
Nuoro,120,22/06/2020,0,80,0,13,0.162,38.36
Nuoro,121,23/06/2020,-2,78,0,13,0.167,37.4
Nuoro,122,24/06/2020,0,78,0,13,0.167,37.4
Nuoro,123,25/06/2020,0,78,0,13,0.167,37.4
Nuoro,124,26/06/2020,0,78,0,13,0.167,37.4
Nuoro,125,27/06/2020,0,78,0,13,0.167,37.4
Nuoro,126,28/06/2020,0,78,0,13,0.167,37.4
Nuoro,127,29/06/2020,0,78,0,13,0.167,37.4
Nuoro,128,30/06/2020,0,78,0,13,0.167,37.4
Nuoro,129,01/07/2020,0,78,0,13,0.167,37.4
Nuoro,130,02/07/2020,0,78,0,13,0.167,37.4
Nuoro,131,03/07/2020,0,78,0,13,0.167,37.4
