Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Agrigento,1,24/02/2020,0,0,0,0,0.0,0.0
Agrigento,2,25/02/2020,0,0,0,0,0.0,0.0
Agrigento,3,26/02/2020,0,0,0,0,0.0,0.0
Agrigento,4,27/02/2020,0,0,0,0,0.0,0.0
Agrigento,5,28/02/2020,0,0,0,0,0.0,0.0
Agrigento,6,29/02/2020,0,0,0,0,0.0,0.0
Agrigento,7,01/03/2020,0,0,0,0,0.0,0.0
Agrigento,8,02/03/2020,0,0,0,0,0.0,0.0
Agrigento,9,03/03/2020,0,0,0,0,0.0,0.0
Agrigento,10,04/03/2020,0,0,0,0,0.0,0.0
Agrigento,11,05/03/2020,0,0,0,0,0.0,0.0
Agrigento,12,06/03/2020,0,0,0,0,0.0,0.0
Agrigento,13,07/03/2020,1,1,0,0,0.0,0.229953779
Agrigento,14,08/03/2020,0,1,0,0,0.0,0.229953779
Agrigento,15,09/03/2020,0,1,0,0,0.0,0.229953779
Agrigento,16,10/03/2020,10,11,0,0,0.0,2.529491572
Agrigento,17,11/03/2020,5,16,0,0,0.0,3.679260469
Agrigento,18,12/03/2020,1,17,0,0,0.0,3.909214248
Agrigento,19,13/03/2020,0,17,0,0,0.0,3.909214248
Agrigento,20,14/03/2020,0,17,0,0,0.0,3.909214248
Agrigento,21,15/03/2020,3,20,0,0,0.0,4.5990755860000005
Agrigento,22,16/03/2020,2,22,0,0,0.0,5.058983144
Agrigento,23,17/03/2020,0,22,0,0,0.0,5.058983144
Agrigento,24,18/03/2020,2,24,0,0,0.0,5.518890702999999
Agrigento,25,19/03/2020,3,27,0,0,0.0,6.208752041
Agrigento,26,20/03/2020,4,31,0,0,0.0,7.128567157999999
Agrigento,27,21/03/2020,5,36,0,0,0.0,8.278336054
Agrigento,28,22/03/2020,5,41,0,0,0.0,9.428104951
Agrigento,29,23/03/2020,4,45,1,1,0.022000000000000002,10.34792007
Agrigento,30,24/03/2020,2,47,0,1,0.021,10.80782763
Agrigento,31,25/03/2020,3,50,0,1,0.02,11.49768896
Agrigento,32,26/03/2020,5,55,0,1,0.018000000000000002,12.64745786
Agrigento,33,27/03/2020,3,58,0,1,0.017,13.337319199999998
Agrigento,34,28/03/2020,0,58,0,1,0.017,13.337319199999998
Agrigento,35,29/03/2020,20,78,0,1,0.013000000000000001,17.93639478
Agrigento,36,30/03/2020,11,89,0,1,0.011000000000000001,20.46588636
Agrigento,37,31/03/2020,5,94,0,1,0.011000000000000001,21.61565525
Agrigento,38,01/04/2020,2,96,0,1,0.01,22.07556281
Agrigento,39,02/04/2020,2,98,0,1,0.01,22.53547037
Agrigento,40,03/04/2020,2,100,0,1,0.01,22.99537793
Agrigento,41,04/04/2020,2,102,0,1,0.01,23.45528549
Agrigento,42,05/04/2020,5,107,0,1,0.009000000000000001,24.60505438
Agrigento,43,06/04/2020,2,109,0,1,0.009000000000000001,25.06496194
Agrigento,44,07/04/2020,1,110,0,1,0.009000000000000001,25.29491572
Agrigento,45,08/04/2020,3,113,0,1,0.009000000000000001,25.98477706
Agrigento,46,09/04/2020,2,115,0,1,0.009000000000000001,26.44468462
Agrigento,47,10/04/2020,4,119,0,1,0.008,27.36449974
Agrigento,48,11/04/2020,4,123,0,1,0.008,28.28431485
Agrigento,49,12/04/2020,3,126,0,1,0.008,28.97417619
Agrigento,50,13/04/2020,2,128,0,1,0.008,29.43408375
Agrigento,51,14/04/2020,2,130,0,1,0.008,29.89399131
Agrigento,52,15/04/2020,1,131,0,1,0.008,30.12394509
Agrigento,53,16/04/2020,1,132,0,1,0.008,30.35389887
Agrigento,54,17/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,55,18/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,56,19/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,57,20/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,58,21/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,59,22/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,60,23/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,61,24/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,62,25/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,63,26/04/2020,0,132,0,1,0.008,30.35389887
Agrigento,64,27/04/2020,1,133,0,1,0.008,30.58385265
Agrigento,65,28/04/2020,2,135,0,1,0.006999999999999999,31.0437602
Agrigento,66,29/04/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,67,30/04/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,68,01/05/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,69,02/05/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,70,03/05/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,71,04/05/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,72,05/05/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,73,06/05/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,74,07/05/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,75,08/05/2020,0,135,0,1,0.006999999999999999,31.0437602
Agrigento,76,09/05/2020,2,137,0,1,0.006999999999999999,31.50366776
Agrigento,77,10/05/2020,0,137,0,1,0.006999999999999999,31.50366776
Agrigento,78,11/05/2020,0,137,0,1,0.006999999999999999,31.50366776
Agrigento,79,12/05/2020,0,137,0,1,0.006999999999999999,31.50366776
Agrigento,80,13/05/2020,4,141,0,1,0.006999999999999999,32.42348288
Agrigento,81,14/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,82,15/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,83,16/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,84,17/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,85,18/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,86,19/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,87,20/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,88,21/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,89,22/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,90,23/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,91,24/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,92,25/05/2020,0,141,0,1,0.006999999999999999,32.42348288
Agrigento,93,26/05/2020,0,141,0,1,0.006999999999999999,32.42348288
