Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Caltanissetta,1,2020-02-24,0,0,0,0,0.0,0.0
Caltanissetta,2,2020-02-25,0,0,0,0,0.0,0.0
Caltanissetta,3,2020-02-26,0,0,0,0,0.0,0.0
Caltanissetta,4,2020-02-27,0,0,0,0,0.0,0.0
Caltanissetta,5,2020-02-28,0,0,0,0,0.0,0.0
Caltanissetta,6,2020-02-29,0,0,0,0,0.0,0.0
Caltanissetta,7,2020-03-01,0,0,0,0,0.0,0.0
Caltanissetta,8,2020-03-02,0,0,0,0,0.0,0.0
Caltanissetta,9,2020-03-03,0,0,0,0,0.0,0.0
Caltanissetta,10,2020-03-04,0,0,0,0,0.0,0.0
Caltanissetta,11,2020-03-05,0,0,0,0,0.0,0.0
Caltanissetta,12,2020-03-06,0,0,0,0,0.0,0.0
Caltanissetta,13,2020-03-07,0,0,0,0,0.0,0.0
Caltanissetta,14,2020-03-08,0,0,0,0,0.0,0.0
Caltanissetta,15,2020-03-09,0,0,0,0,0.0,0.0
Caltanissetta,16,2020-03-10,0,0,0,0,0.0,0.0
Caltanissetta,17,2020-03-11,0,0,1,1,0.0,0.0
Caltanissetta,18,2020-03-12,2,2,0,1,0.5,0.76202668617455
Caltanissetta,19,2020-03-13,0,2,0,1,0.5,0.76202668617455
Caltanissetta,20,2020-03-14,0,2,0,1,0.5,0.76202668617455
Caltanissetta,21,2020-03-15,0,2,0,1,0.5,0.76202668617455
Caltanissetta,22,2020-03-16,2,4,0,1,0.25,1.5240533723491
Caltanissetta,23,2020-03-17,0,4,0,1,0.25,1.5240533723491
Caltanissetta,24,2020-03-18,2,6,0,1,0.166666666666667,2.28608005852365
Caltanissetta,25,2020-03-19,6,12,0,1,0.0833333333333333,4.5721601170473
Caltanissetta,26,2020-03-20,6,18,0,1,0.0555555555555556,6.85824017557095
Caltanissetta,27,2020-03-21,9,27,0,1,0.037037037037037,10.287360263356401
Caltanissetta,28,2020-03-22,0,27,0,1,0.037037037037037,10.287360263356401
Caltanissetta,29,2020-03-23,2,29,0,1,0.0344827586206897,11.049386949531
Caltanissetta,30,2020-03-24,11,40,1,2,0.05,15.240533723491001
Caltanissetta,31,2020-03-25,5,45,0,2,0.0444444444444444,17.1456004389274
Caltanissetta,32,2020-03-26,5,50,0,2,0.04,19.05066715436369
Caltanissetta,33,2020-03-27,5,55,2,4,0.0727272727272727,20.955733869800106
Caltanissetta,34,2020-03-28,2,57,0,4,0.0701754385964912,21.7177605559747
Caltanissetta,35,2020-03-29,11,68,0,4,0.0588235294117647,25.908907329934696
Caltanissetta,36,2020-03-30,2,70,0,4,0.0571428571428571,26.6709340161092
Caltanissetta,37,2020-03-31,0,70,0,4,0.0571428571428571,26.6709340161092
Caltanissetta,38,2020-04-01,6,76,1,5,0.0657894736842105,28.95701407463289
Caltanissetta,39,2020-04-02,4,80,0,5,0.0625,30.481067446982003
Caltanissetta,40,2020-04-03,3,83,1,6,0.07228915662650601,31.6241074762438
Caltanissetta,41,2020-04-04,10,93,1,7,0.0752688172043011,35.4342409071166
Caltanissetta,42,2020-04-05,9,102,0,7,0.0686274509803922,38.863360994902
Caltanissetta,43,2020-04-06,2,104,1,8,0.0769230769230769,39.6253876810766
Caltanissetta,44,2020-04-07,1,105,0,8,0.0761904761904762,40.0064010241639
Caltanissetta,45,2020-04-08,2,107,0,8,0.0747663551401869,40.7684277103384
Caltanissetta,46,2020-04-09,5,112,0,8,0.0714285714285714,42.6734944257748
Caltanissetta,47,2020-04-10,4,116,1,9,0.0775862068965517,44.19754779812389
Caltanissetta,48,2020-04-11,6,122,0,9,0.0737704918032787,46.4836278566475
Caltanissetta,49,2020-04-12,6,128,1,10,0.078125,48.7697079151712
Caltanissetta,50,2020-04-13,3,131,0,10,0.0763358778625954,49.912747944433
Caltanissetta,51,2020-04-14,4,135,0,10,0.0740740740740741,51.4368013167821
Caltanissetta,52,2020-04-15,2,137,0,10,0.072992700729927,52.1988280029567
Caltanissetta,53,2020-04-16,1,138,0,10,0.072463768115942,52.5798413460439
Caltanissetta,54,2020-04-17,0,138,0,10,0.072463768115942,52.5798413460439
Caltanissetta,55,2020-04-18,0,138,0,10,0.072463768115942,52.5798413460439
Caltanissetta,56,2020-04-19,0,138,0,10,0.072463768115942,52.5798413460439
Caltanissetta,57,2020-04-20,0,138,0,10,0.072463768115942,52.5798413460439
Caltanissetta,58,2020-04-21,0,138,0,10,0.072463768115942,52.5798413460439
Caltanissetta,59,2020-04-22,3,141,0,10,0.0709219858156028,53.722881375305796
Caltanissetta,60,2020-04-23,4,145,0,10,0.0689655172413793,55.2469347476549
Caltanissetta,61,2020-04-24,3,148,0,10,0.0675675675675676,56.3899747769167
Caltanissetta,62,2020-04-25,0,148,1,11,0.0743243243243243,56.3899747769167
Caltanissetta,63,2020-04-26,0,148,0,11,0.0743243243243243,56.3899747769167
Caltanissetta,64,2020-04-27,0,148,0,11,0.0743243243243243,56.3899747769167
Caltanissetta,65,2020-04-28,10,158,0,11,0.069620253164557,60.200108207789405
Caltanissetta,66,2020-04-29,1,159,0,11,0.0691823899371069,60.5811215508767
Caltanissetta,67,2020-04-30,0,159,0,11,0.0691823899371069,60.5811215508767
Caltanissetta,68,2020-05-01,0,159,0,11,0.0691823899371069,60.5811215508767
Caltanissetta,69,2020-05-02,0,159,0,11,0.0691823899371069,60.5811215508767
Caltanissetta,70,2020-05-03,0,159,0,11,0.0691823899371069,60.5811215508767
Caltanissetta,71,2020-05-04,3,162,0,11,0.0679012345679012,61.7241615801385
Caltanissetta,72,2020-05-05,0,162,0,11,0.0679012345679012,61.7241615801385
Caltanissetta,73,2020-05-06,0,162,0,11,0.0679012345679012,61.7241615801385
Caltanissetta,74,2020-05-07,0,162,0,11,0.0679012345679012,61.7241615801385
Caltanissetta,75,2020-05-08,0,162,0,11,0.0679012345679012,61.7241615801385
Caltanissetta,76,2020-05-09,0,162,0,11,0.0679012345679012,61.7241615801385
Caltanissetta,77,2020-05-10,0,162,0,11,0.0679012345679012,61.7241615801385
Caltanissetta,78,2020-05-11,0,162,0,11,0.0679012345679012,61.7241615801385
Caltanissetta,79,2020-05-12,0,162,0,11,0.0679012345679012,61.7241615801385
Caltanissetta,80,2020-05-13,2,164,0,11,0.0670731707317073,62.48618826631311
Caltanissetta,81,2020-05-14,2,166,0,11,0.0662650602409639,63.2482149524876
Caltanissetta,82,2020-05-15,4,170,0,11,0.0647058823529412,64.7722683248367
Caltanissetta,83,2020-05-16,0,170,0,11,0.0647058823529412,64.7722683248367
Caltanissetta,84,2020-05-17,0,170,0,11,0.0647058823529412,64.7722683248367
Caltanissetta,85,2020-05-18,0,170,0,11,0.0647058823529412,64.7722683248367
Caltanissetta,86,2020-05-19,0,170,0,11,0.0647058823529412,64.7722683248367
Caltanissetta,87,2020-05-20,0,170,0,11,0.0647058823529412,64.7722683248367
Caltanissetta,88,2020-05-21,2,172,0,11,0.063953488372093,65.5342950110113
Caltanissetta,89,2020-05-22,0,172,0,11,0.063953488372093,65.5342950110113
Caltanissetta,90,2020-05-23,0,172,0,11,0.063953488372093,65.5342950110113
Caltanissetta,91,2020-05-24,0,172,0,11,0.063953488372093,65.5342950110113
Caltanissetta,92,2020-05-25,0,172,0,11,0.063953488372093,65.5342950110113
Caltanissetta,93,2020-05-26,1,173,0,11,0.0635838150289017,65.91530835409861
Caltanissetta,94,2020-05-27,0,173,0,11,0.0635838150289017,65.91530835409861
Caltanissetta,95,2020-05-28,0,173,0,11,0.0635838150289017,65.91530835409861
Caltanissetta,96,2020-05-29,0,173,0,11,0.0635838150289017,65.91530835409861
Caltanissetta,97,2020-05-30,0,173,0,11,0.0635838150289017,65.91530835409861
Caltanissetta,98,2020-05-31,1,174,0,11,0.0632183908045977,66.29632169718579
Caltanissetta,99,2020-06-01,0,174,0,11,0.0632183908045977,66.29632169718579
Caltanissetta,100,2020-06-02,2,176,0,11,0.0625,67.0583483833604
Caltanissetta,101,2020-06-03,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,102,2020-06-04,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,103,2020-06-05,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,104,2020-06-06,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,105,2020-06-07,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,106,2020-06-08,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,107,2020-06-09,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,108,2020-06-10,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,109,2020-06-11,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,110,2020-06-12,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,111,2020-06-13,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,112,2020-06-14,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,113,2020-06-15,0,176,0,11,0.0625,67.05834838336038
Caltanissetta,114,2020-06-16,1,177,0,11,0.062146892655367235,67.43936172644766
Caltanissetta,115,2020-06-17,0,177,0,11,0.062146892655367235,67.43936172644766
