Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Catania,1,2020-02-24,0,0,0,0,0.0,0.0
Catania,2,2020-02-25,0,0,0,0,0.0,0.0
Catania,3,2020-02-26,0,0,0,0,0.0,0.0
Catania,4,2020-02-27,1,1,0,0,0.0,0.0902769878541341
Catania,5,2020-02-28,0,1,0,0,0.0,0.0902769878541341
Catania,6,2020-02-29,0,1,0,0,0.0,0.0902769878541341
Catania,7,2020-03-01,0,1,0,0,0.0,0.0902769878541341
Catania,8,2020-03-02,0,1,0,0,0.0,0.0902769878541341
Catania,9,2020-03-03,0,1,0,0,0.0,0.0902769878541341
Catania,10,2020-03-04,0,1,0,0,0.0,0.0902769878541341
Catania,11,2020-03-05,0,1,0,0,0.0,0.0902769878541341
Catania,12,2020-03-06,14,15,0,0,0.0,1.35415481781201
Catania,13,2020-03-07,8,23,0,0,0.0,2.0763707206450803
Catania,14,2020-03-08,0,23,0,0,0.0,2.0763707206450803
Catania,15,2020-03-09,0,23,0,0,0.0,2.0763707206450803
Catania,16,2020-03-10,12,35,0,0,0.0,3.15969457489469
Catania,17,2020-03-11,6,41,0,0,0.0,3.7013565020195003
Catania,18,2020-03-12,8,49,0,0,0.0,4.42357240485257
Catania,19,2020-03-13,0,49,0,0,0.0,4.42357240485257
Catania,20,2020-03-14,0,49,0,0,0.0,4.42357240485257
Catania,21,2020-03-15,42,91,0,0,0.0,8.2152058947262
Catania,22,2020-03-16,5,96,0,0,0.0,8.666590833996871
Catania,23,2020-03-17,12,108,1,1,0.009259259259259259,9.74991468824648
Catania,24,2020-03-18,23,131,0,1,0.007633587786259541,11.826285408891597
Catania,25,2020-03-19,20,151,0,1,0.00662251655629139,13.631825165974199
Catania,26,2020-03-20,11,162,0,1,0.00617283950617284,14.6248720323697
Catania,27,2020-03-21,27,189,1,2,0.0105820105820106,17.0623507044313
Catania,28,2020-03-22,45,234,1,3,0.0128205128205128,21.1248151578674
Catania,29,2020-03-23,40,274,2,5,0.0182481751824818,24.7358946720327
Catania,30,2020-03-24,12,286,3,8,0.027972027972028,25.819218526282306
Catania,31,2020-03-25,22,308,5,13,0.0422077922077922,27.8053122590733
Catania,32,2020-03-26,38,346,3,16,0.04624277456647402,31.235837797530397
Catania,33,2020-03-27,19,365,2,18,0.0493150684931507,32.9511005667589
Catania,34,2020-03-28,22,387,3,21,0.0542635658914729,34.9371942995499
Catania,35,2020-03-29,20,407,2,23,0.0565110565110565,36.7427340566326
Catania,36,2020-03-30,41,448,4,27,0.0602678571428571,40.4440905586521
Catania,37,2020-03-31,50,498,2,29,0.0582329317269076,44.957939951358796
Catania,38,2020-04-01,12,510,4,33,0.0647058823529412,46.041263805608395
Catania,39,2020-04-02,34,544,4,37,0.0680147058823529,49.1106813926489
Catania,40,2020-04-03,15,559,1,38,0.0679785330948122,50.4648362104609
Catania,41,2020-04-04,10,569,4,42,0.0738137082601054,51.36760608900229
Catania,42,2020-04-05,25,594,4,46,0.0774410774410774,53.6245307853556
Catania,43,2020-04-06,20,614,3,49,0.0798045602605863,55.43007054243829
Catania,44,2020-04-07,16,630,2,51,0.080952380952381,56.8745023481044
Catania,45,2020-04-08,16,646,3,54,0.0835913312693498,58.3189341537706
Catania,46,2020-04-09,16,662,1,55,0.0830815709969789,59.76336595943671
Catania,47,2020-04-10,10,672,0,55,0.0818452380952381,60.6661358379781
Catania,48,2020-04-11,6,678,0,55,0.0811209439528024,61.2077977651029
Catania,49,2020-04-12,11,689,4,59,0.0856313497822932,62.20084463149839
Catania,50,2020-04-13,15,704,2,61,0.0866477272727273,63.5549994493104
Catania,51,2020-04-14,11,715,2,63,0.0881118881118881,64.54804631570579
Catania,52,2020-04-15,10,725,2,65,0.0896551724137931,65.45081619424721
Catania,53,2020-04-16,10,735,0,65,0.0884353741496599,66.3535860727885
Catania,54,2020-04-17,10,745,0,65,0.08724832214765099,67.2563559513299
Catania,55,2020-04-18,13,758,3,68,0.0897097625329815,68.4299567934336
Catania,56,2020-04-19,25,783,2,70,0.0893997445721584,70.686881489787
Catania,57,2020-04-20,25,808,1,71,0.0878712871287129,72.94380618614029
Catania,58,2020-04-21,43,851,2,73,0.0857814336075206,76.82571666386809
Catania,59,2020-04-22,35,886,0,73,0.082392776523702,79.9854112387628
Catania,60,2020-04-23,19,905,3,76,0.0839779005524862,81.7006740079913
Catania,61,2020-04-24,21,926,1,77,0.0831533477321814,83.59649075292809
Catania,62,2020-04-25,17,943,1,78,0.0827147401908802,85.1311995464484
Catania,63,2020-04-26,10,953,1,79,0.0828961175236096,86.0339694249897
Catania,64,2020-04-27,8,961,1,80,0.0832466181061394,86.7561853278228
Catania,65,2020-04-28,10,971,1,81,0.0834191555097837,87.65895520636421
Catania,66,2020-04-29,0,971,0,81,0.0834191555097837,87.65895520636421
Catania,67,2020-04-30,2,973,2,83,0.0853031860226105,87.8395091820724
Catania,68,2020-05-01,8,981,1,84,0.0856269113149847,88.56172508490549
Catania,69,2020-05-02,9,990,2,86,0.0868686868686869,89.37421797559271
Catania,70,2020-05-03,12,1002,0,86,0.0858283433133733,90.4575418298423
Catania,71,2020-05-04,7,1009,2,88,0.08721506442021801,91.0894807448213
Catania,72,2020-05-05,3,1012,0,88,0.0869565217391304,91.36031170838369
Catania,73,2020-05-06,9,1021,2,90,0.0881488736532811,92.17280459907093
Catania,74,2020-05-07,6,1027,0,90,0.0876338851022395,92.7144665261957
Catania,75,2020-05-08,5,1032,1,91,0.0881782945736434,93.16585146546629
Catania,76,2020-05-09,3,1035,2,93,0.0898550724637681,93.4366824290287
Catania,77,2020-05-10,2,1037,0,93,0.0896817743490839,93.617236404737
Catania,78,2020-05-11,9,1046,1,94,0.0898661567877629,94.4297292954242
Catania,79,2020-05-12,1,1047,1,95,0.0907354345749761,94.5200062832784
Catania,80,2020-05-13,0,1047,0,95,0.0907354345749761,94.5200062832784
Catania,81,2020-05-14,10,1057,0,95,0.0898770104068117,95.42277616181973
Catania,82,2020-05-15,2,1059,0,95,0.0897072710103872,95.603330137528
Catania,83,2020-05-16,2,1061,0,95,0.0895381715362865,95.7838841132362
Catania,84,2020-05-17,0,1061,1,96,0.0904806786050895,95.7838841132362
Catania,85,2020-05-18,0,1061,0,96,0.0904806786050895,95.7838841132362
Catania,86,2020-05-19,1,1062,1,97,0.0913370998116761,95.87416110109041
Catania,87,2020-05-20,1,1063,0,97,0.0912511759172154,95.96443808894449
Catania,88,2020-05-21,0,1063,0,97,0.0912511759172154,95.96443808894449
Catania,89,2020-05-22,4,1067,0,97,0.0909090909090909,96.325546040361
Catania,90,2020-05-23,0,1067,1,98,0.091846298031865,96.325546040361
Catania,91,2020-05-24,1,1068,0,98,0.0917602996254682,96.4158230282152
Catania,92,2020-05-25,2,1070,0,98,0.091588785046729,96.5963770039234
Catania,93,2020-05-26,1,1071,0,98,0.0915032679738562,96.68665399177759
Catania,94,2020-05-27,1,1072,0,98,0.0914179104477612,96.77693097963171
Catania,95,2020-05-28,0,1072,0,98,0.0914179104477612,96.77693097963171
Catania,96,2020-05-29,0,1072,0,98,0.0914179104477612,96.77693097963171
Catania,97,2020-05-30,0,1072,1,99,0.0923507462686567,96.77693097963171
Catania,98,2020-05-31,0,1072,0,99,0.0923507462686567,96.77693097963171
Catania,99,2020-06-01,0,1072,0,99,0.0923507462686567,96.77693097963171
Catania,100,2020-06-02,0,1072,1,100,0.0932835820895522,96.77693097963171
Catania,101,2020-06-03,0,1072,0,100,0.09328358208955224,96.77693097963171
Catania,102,2020-06-04,0,1072,0,100,0.09328358208955224,96.77693097963171
Catania,103,2020-06-05,0,1072,0,100,0.09328358208955224,96.77693097963171
Catania,104,2020-06-06,1,1073,0,100,0.09319664492078283,96.86720796748585
Catania,105,2020-06-07,0,1073,0,100,0.09319664492078283,96.86720796748585
Catania,106,2020-06-08,1,1074,0,100,0.0931098696461825,96.95748495533995
Catania,107,2020-06-09,1,1075,0,100,0.09302325581395347,97.0477619431941
Catania,108,2020-06-10,1,1076,0,100,0.09293680297397768,97.13803893104824
Catania,109,2020-06-11,0,1076,0,100,0.09293680297397768,97.13803893104824
Catania,110,2020-06-12,0,1076,0,100,0.09293680297397768,97.13803893104824
Catania,111,2020-06-13,0,1076,0,100,0.09293680297397768,97.13803893104824
Catania,112,2020-06-14,0,1076,0,100,0.09293680297397768,97.13803893104824
Catania,113,2020-06-15,1,1077,1,101,0.09377901578458682,97.22831591890235
Catania,114,2020-06-16,0,1077,0,101,0.09377901578458682,97.22831591890235
Catania,115,2020-06-17,0,1077,0,101,0.09377901578458682,97.22831591890235
Catania,116,2020-06-18,1,1078,0,101,0.09369202226345084,97.31859290675648
Catania,117,2020-06-19,-301,777,0,101,0.12998712998713,70.14521956266215
Catania,118,2020-06-20,0,777,0,101,0.12998712998713,70.14521956266215
Catania,119,2020-06-21,0,777,0,101,0.12998712998713,70.14521956266215
Catania,120,2020-06-22,0,777,0,101,0.12998712998713,70.14521956266215
Catania,121,2020-06-23,0,777,0,101,0.12998712998713,70.14521956266215
Catania,122,2020-06-24,0,777,0,101,0.12998712998713,70.14521956266215
Catania,123,2020-06-25,0,777,0,101,0.12998712998713,70.14521956266215
Catania,124,2020-06-26,0,777,0,101,0.12998712998713,70.14521956266215
Catania,125,2020-06-27,0,777,0,101,0.12998712998713,70.14521956266215
Catania,126,2020-06-28,0,777,0,101,0.12998712998713,70.14521956266215
Catania,127,2020-06-29,0,777,0,101,0.12998712998713,70.14521956266215
