Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Enna,1,24/02/2020,0,0,0,0,0.0,0.0
Enna,2,25/02/2020,0,0,0,0,0.0,0.0
Enna,3,26/02/2020,0,0,0,0,0.0,0.0
Enna,4,27/02/2020,0,0,0,0,0.0,0.0
Enna,5,28/02/2020,0,0,0,0,0.0,0.0
Enna,6,29/02/2020,0,0,0,0,0.0,0.0
Enna,7,01/03/2020,0,0,0,0,0.0,0.0
Enna,8,02/03/2020,0,0,0,0,0.0,0.0
Enna,9,03/03/2020,0,0,0,0,0.0,0.0
Enna,10,04/03/2020,0,0,0,0,0.0,0.0
Enna,11,05/03/2020,0,0,0,0,0.0,0.0
Enna,12,06/03/2020,1,1,0,0,0.0,0.606840304
Enna,13,07/03/2020,-1,0,0,0,0.0,0.0
Enna,14,08/03/2020,0,0,0,0,0.0,0.0
Enna,15,09/03/2020,0,0,0,0,0.0,0.0
Enna,16,10/03/2020,1,1,0,0,0.0,0.606840304
Enna,17,11/03/2020,0,1,0,0,0.0,0.606840304
Enna,18,12/03/2020,0,1,0,0,0.0,0.606840304
Enna,19,13/03/2020,0,1,0,0,0.0,0.606840304
Enna,20,14/03/2020,0,1,0,0,0.0,0.606840304
Enna,21,15/03/2020,1,2,0,0,0.0,1.213680608
Enna,22,16/03/2020,3,5,0,0,0.0,3.03420152
Enna,23,17/03/2020,3,8,0,0,0.0,4.854722431
Enna,24,18/03/2020,0,8,0,0,0.0,4.854722431
Enna,25,19/03/2020,13,21,1,1,0.047619048,12.74364638
Enna,26,20/03/2020,4,25,0,1,0.04,15.1710076
Enna,27,21/03/2020,2,27,1,2,0.074074074,16.38468821
Enna,28,22/03/2020,7,34,1,3,0.088235294,20.63257033
Enna,29,23/03/2020,10,44,1,4,0.090909091,26.70097337
Enna,30,24/03/2020,19,63,2,6,0.095238095,38.23093915
Enna,31,25/03/2020,27,90,0,6,0.066666667,54.61562735
Enna,32,26/03/2020,43,133,0,6,0.045112782,80.70976042
Enna,33,27/03/2020,22,155,1,7,0.04516129,94.06024711
Enna,34,28/03/2020,13,168,2,9,0.053571429,101.9491711
Enna,35,29/03/2020,24,192,1,10,0.052083333,116.5133383
Enna,36,30/03/2020,3,195,1,11,0.056410256,118.3338593
Enna,37,31/03/2020,8,203,0,11,0.054187192,123.1885817
Enna,38,01/04/2020,21,224,0,11,0.049107143,135.9322281
Enna,39,02/04/2020,14,238,0,11,0.046218487,144.42799230000003
Enna,40,03/04/2020,19,257,0,11,0.042801556,155.9579581
Enna,41,04/04/2020,23,280,2,13,0.046428571,169.9152851
Enna,42,05/04/2020,4,284,0,13,0.045774648,172.3426463
Enna,43,06/04/2020,3,287,2,15,0.052264808,174.16316719999998
Enna,44,07/04/2020,2,289,0,15,0.05190311400000002,175.3768478
Enna,45,08/04/2020,7,296,1,16,0.054054054,179.62473
Enna,46,09/04/2020,4,300,0,16,0.053333333,182.0520912
Enna,47,10/04/2020,16,316,3,19,0.06012658200000001,191.761536
Enna,48,11/04/2020,5,321,0,19,0.059190031,194.7957376
Enna,49,12/04/2020,4,325,1,20,0.061538462,197.2230988
Enna,50,13/04/2020,2,327,1,21,0.064220183,198.4367794
Enna,51,14/04/2020,8,335,0,21,0.062686567,203.2915018
Enna,52,15/04/2020,5,340,1,22,0.064705882,206.3257033
Enna,53,16/04/2020,1,341,2,24,0.070381232,206.9325436
Enna,54,17/04/2020,17,358,1,25,0.069832402,217.2488288
Enna,55,18/04/2020,7,365,0,25,0.068493151,221.4967109
Enna,56,19/04/2020,7,372,0,25,0.067204301,225.7445931
Enna,57,20/04/2020,5,377,0,25,0.066312997,228.7787946
Enna,58,21/04/2020,0,377,0,25,0.066312997,228.7787946
Enna,59,22/04/2020,1,378,0,25,0.066137566,229.3856349
Enna,60,23/04/2020,8,386,0,25,0.064766839,234.24035730000003
Enna,61,24/04/2020,11,397,0,25,0.062972292,240.9156007
Enna,62,25/04/2020,0,397,3,28,0.070528967,240.9156007
Enna,63,26/04/2020,0,397,0,28,0.070528967,240.9156007
Enna,64,27/04/2020,5,402,0,28,0.069651741,243.9498022
Enna,65,28/04/2020,2,404,0,28,0.069306931,245.16348280000003
Enna,66,29/04/2020,6,410,0,28,0.06829268299999999,248.8045246
Enna,67,30/04/2020,1,411,0,28,0.068126521,249.4113649
Enna,68,01/05/2020,0,411,1,29,0.070559611,249.4113649
Enna,69,02/05/2020,1,412,0,29,0.07038835,250.01820519999995
Enna,70,03/05/2020,6,418,0,29,0.06937799,253.659247
Enna,71,04/05/2020,0,418,0,29,0.06937799,253.659247
Enna,72,05/05/2020,0,418,0,29,0.06937799,253.659247
Enna,73,06/05/2020,3,421,0,29,0.06888361,255.4797679
Enna,74,07/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,75,08/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,76,09/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,77,10/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,78,11/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,79,12/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,80,13/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,81,14/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,82,15/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,83,16/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,84,17/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,85,18/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,86,19/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,87,20/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,88,21/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,89,22/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,90,23/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,91,24/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,92,25/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,93,26/05/2020,0,421,0,29,0.06888361,255.4797679
Enna,94,27/05/2020,1,422,0,29,0.068720379,256.0866082
Enna,95,28/05/2020,0,422,0,29,0.068720379,256.0866082
Enna,96,29/05/2020,1,423,0,29,0.06855792,256.6934486
Enna,97,30/05/2020,2,425,0,29,0.068235294,257.9071292
Enna,98,31/05/2020,0,425,0,29,0.068235294,257.9071292
Enna,99,01/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,100,02/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,101,03/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,102,04/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,103,05/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,104,06/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,105,07/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,106,08/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,107,09/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,108,10/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,109,11/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,110,12/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,111,13/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,112,14/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,113,15/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,114,16/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,115,17/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,116,18/06/2020,0,425,0,29,0.068235294,257.9071292
Enna,117,19/06/2020,13,438,0,29,0.066210046,265.7960531
Enna,118,20/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,119,21/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,120,22/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,121,23/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,122,24/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,123,25/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,124,26/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,125,27/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,126,28/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,127,29/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,128,30/06/2020,0,438,0,29,0.066210046,265.7960531
Enna,129,01/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,130,02/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,131,03/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,132,04/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,133,05/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,134,06/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,135,07/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,136,08/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,137,09/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,138,10/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,139,11/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,140,12/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,141,13/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,142,14/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,143,15/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,144,16/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,145,17/07/2020,0,438,0,29,0.066210046,265.7960531
Enna,146,18/07/2020,1,439,0,29,0.066059226,266.4028934
Enna,147,19/07/2020,0,439,0,29,0.066059226,266.4028934
Enna,148,20/07/2020,0,439,0,29,0.066059226,266.4028934
