Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Messina,1,24/02/2020,0,0,0,0,0.0,0.0
Messina,2,25/02/2020,0,0,0,0,0.0,0.0
Messina,3,26/02/2020,0,0,0,0,0.0,0.0
Messina,4,27/02/2020,0,0,0,0,0.0,0.0
Messina,5,28/02/2020,0,0,0,0,0.0,0.0
Messina,6,29/02/2020,0,0,0,0,0.0,0.0
Messina,7,01/03/2020,0,0,0,0,0.0,0.0
Messina,8,02/03/2020,0,0,0,0,0.0,0.0
Messina,9,03/03/2020,0,0,0,0,0.0,0.0
Messina,10,04/03/2020,0,0,0,0,0.0,0.0
Messina,11,05/03/2020,0,0,0,0,0.0,0.0
Messina,12,06/03/2020,0,0,0,0,0.0,0.0
Messina,13,07/03/2020,2,2,0,0,0.0,0.31904236199999997
Messina,14,08/03/2020,0,2,0,0,0.0,0.31904236199999997
Messina,15,09/03/2020,0,2,0,0,0.0,0.31904236199999997
Messina,16,10/03/2020,0,2,0,0,0.0,0.31904236199999997
Messina,17,11/03/2020,2,4,0,0,0.0,0.638084725
Messina,18,12/03/2020,5,9,0,0,0.0,1.435690631
Messina,19,13/03/2020,0,9,0,0,0.0,1.435690631
Messina,20,14/03/2020,0,9,0,0,0.0,1.435690631
Messina,21,15/03/2020,1,10,0,0,0.0,1.5952118119999998
Messina,22,16/03/2020,1,11,0,0,0.0,1.7547329930000002
Messina,23,17/03/2020,5,16,0,0,0.0,2.5523389
Messina,24,18/03/2020,0,16,0,0,0.0,2.5523389
Messina,25,19/03/2020,0,16,0,0,0.0,2.5523389
Messina,26,20/03/2020,23,39,0,0,0.0,6.221326068
Messina,27,21/03/2020,31,70,0,0,0.0,11.16648269
Messina,28,22/03/2020,42,112,0,0,0.0,17.8663723
Messina,29,23/03/2020,8,120,0,0,0.0,19.14254175
Messina,30,24/03/2020,19,139,1,1,0.006999999999999999,22.17344419
Messina,31,25/03/2020,35,174,0,1,0.006,27.75668553
Messina,32,26/03/2020,47,221,3,4,0.018000000000000002,35.25418105
Messina,33,27/03/2020,6,227,2,6,0.026000000000000002,36.21130814
Messina,34,28/03/2020,52,279,8,14,0.05,44.50640956
Messina,35,29/03/2020,10,289,1,15,0.052000000000000005,46.10162137
Messina,36,30/03/2020,16,305,2,17,0.055999999999999994,48.65396027
Messina,37,31/03/2020,6,311,1,18,0.057999999999999996,49.61108736
Messina,38,01/04/2020,8,319,1,19,0.06,50.88725681
Messina,39,02/04/2020,4,323,1,20,0.062,51.52534153
Messina,40,03/04/2020,14,337,3,23,0.068,53.75863807
Messina,41,04/04/2020,7,344,1,24,0.07,54.87528634
Messina,42,05/04/2020,9,353,0,24,0.068,56.31097697
Messina,43,06/04/2020,9,362,1,25,0.069,57.746667599999995
Messina,44,07/04/2020,8,370,0,25,0.068,59.02283705
