Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Ragusa,1,24/02/2020,0,0,0,0,0,0
Ragusa,2,25/02/2020,0,0,0,0,0,0
Ragusa,3,26/02/2020,0,0,0,0,0,0
Ragusa,4,27/02/2020,0,0,0,0,0,0
Ragusa,5,28/02/2020,0,0,0,0,0,0
Ragusa,6,29/02/2020,0,0,0,0,0,0
Ragusa,7,01/03/2020,0,0,0,0,0,0
Ragusa,8,02/03/2020,0,0,0,0,0,0
Ragusa,9,03/03/2020,0,0,0,0,0,0
Ragusa,10,04/03/2020,0,0,0,0,0,0
Ragusa,11,05/03/2020,0,0,0,0,0,0
Ragusa,12,06/03/2020,1,1,0,0,0,0.31
Ragusa,13,07/03/2020,0,1,0,0,0,0.31
Ragusa,14,08/03/2020,0,1,0,0,0,0.31
Ragusa,15,09/03/2020,0,1,0,0,0,0.31
Ragusa,16,10/03/2020,0,1,0,0,0,0.31
Ragusa,17,11/03/2020,0,1,0,0,0,0.31
Ragusa,18,12/03/2020,1,2,0,0,0,0.62
Ragusa,19,13/03/2020,0,2,0,0,0,0.62
Ragusa,20,14/03/2020,0,2,0,0,0,0.62
Ragusa,21,15/03/2020,2,4,0,0,0,1.25
Ragusa,22,16/03/2020,0,4,0,0,0,1.25
Ragusa,23,17/03/2020,0,4,0,0,0,1.25
Ragusa,24,18/03/2020,2,6,0,0,0,1.87
Ragusa,25,19/03/2020,1,7,0,0,0,2.18
Ragusa,26,20/03/2020,0,7,0,0,0,2.18
Ragusa,27,21/03/2020,1,8,0,0,0,2.49
Ragusa,28,22/03/2020,1,9,0,0,0,2.8
Ragusa,29,23/03/2020,0,9,0,0,0,2.8
Ragusa,30,24/03/2020,0,9,0,0,0,2.8
Ragusa,31,25/03/2020,13,22,0,0,0,6.86
Ragusa,32,26/03/2020,6,28,0,0,0,8.73
Ragusa,33,27/03/2020,4,32,0,0,0,9.97
Ragusa,34,28/03/2020,0,32,0,0,0,9.97
Ragusa,35,29/03/2020,0,32,2,2,0.06,9.97
Ragusa,36,30/03/2020,3,35,0,2,0.06,10.91
Ragusa,37,31/03/2020,8,43,0,2,0.05,13.4
Ragusa,38,01/04/2020,1,44,0,2,0.04,13.71
Ragusa,39,02/04/2020,1,45,0,2,0.04,14.02
Ragusa,40,03/04/2020,1,46,1,3,0.06,14.33
Ragusa,41,04/04/2020,1,47,0,3,0.06,14.65
Ragusa,42,05/04/2020,1,48,0,3,0.06,14.96
Ragusa,43,06/04/2020,6,54,0,3,0.06,16.83
Ragusa,44,07/04/2020,0,54,0,3,0.06,16.83
Ragusa,45,08/04/2020,2,56,0,3,0.05,17.45
Ragusa,46,09/04/2020,2,58,0,3,0.05,18.07
Ragusa,47,10/04/2020,3,61,1,4,0.07,19.01
Ragusa,48,11/04/2020,3,64,1,5,0.08,19.94
Ragusa,49,12/04/2020,2,66,0,5,0.08,20.57
Ragusa,50,13/04/2020,1,67,0,5,0.07,20.88
Ragusa,51,14/04/2020,0,67,0,5,0.07,20.88
Ragusa,52,15/04/2020,1,68,0,5,0.07,21.19
Ragusa,53,16/04/2020,1,69,0,5,0.07,21.5
Ragusa,54,17/04/2020,0,69,0,5,0.07,21.5
Ragusa,55,18/04/2020,0,69,0,5,0.07,21.5
Ragusa,56,19/04/2020,0,69,0,5,0.07,21.5
Ragusa,57,20/04/2020,0,69,1,6,0.09,21.5
Ragusa,58,21/04/2020,1,70,0,6,0.09,21.81
Ragusa,59,22/04/2020,2,72,0,6,0.08,22.44
Ragusa,60,23/04/2020,2,74,0,6,0.08,23.06
Ragusa,61,24/04/2020,9,83,0,6,0.07,25.87
Ragusa,62,25/04/2020,4,87,0,6,0.07,27.11
Ragusa,63,26/04/2020,2,89,0,6,0.07,27.74
Ragusa,64,27/04/2020,0,89,0,6,0.07,27.74
Ragusa,65,28/04/2020,0,89,0,6,0.07,27.74
Ragusa,66,29/04/2020,0,89,0,6,0.07,27.74
Ragusa,67,30/04/2020,2,91,0,6,0.07,28.36
Ragusa,68,01/05/2020,1,92,0,6,0.06,28.67
Ragusa,69,02/05/2020,0,92,0,6,0.06,28.67
Ragusa,70,03/05/2020,0,92,0,6,0.06,28.67
Ragusa,71,04/05/2020,0,92,0,6,0.06,28.67
Ragusa,72,05/05/2020,2,94,1,7,0.07,29.29
Ragusa,73,06/05/2020,0,94,0,7,0.07,29.29
Ragusa,74,07/05/2020,0,94,0,7,0.07,29.29
Ragusa,75,08/05/2020,0,94,0,7,0.07,29.29
