Province;Day;Date;New_cases;Curr_pos_cases;Deaths;Tot_deaths;Lethality_rate;Cumul_rates
Arezzo;1;24/02/2020;0;0;0;0;0;0
Arezzo;2;25/02/2020;0;0;0;0;0;0
Arezzo;3;26/02/2020;0;0;0;0;0;0
Arezzo;4;27/02/2020;0;0;0;0;0;0
Arezzo;5;28/02/2020;0;0;0;0;0;0
Arezzo;6;29/02/2020;0;0;0;0;0;0
Arezzo;7;01/03/2020;0;0;0;0;0;0
Arezzo;8;02/03/2020;1;1;0;0;0;0.291839582
Arezzo;9;03/03/2020;1;2;0;0;0;0.583679163
Arezzo;10;04/03/2020;0;2;0;0;0;0.583679163
Arezzo;11;05/03/2020;3;5;0;0;0;14.591.979.080.000.000
Arezzo;12;06/03/2020;2;7;0;0;0;2.042.877.071
Arezzo;13;07/03/2020;1;8;0;0;0;2.334.716.653
Arezzo;14;08/03/2020;1;9;0;0;0;2.626.556.235
Arezzo;15;09/03/2020;3;12;0;0;0;3.502.074.979
Arezzo;16;10/03/2020;1;13;0;0;0;3.793.914.561
Arezzo;17;11/03/2020;1;14;0;0;0;4.085.754.143
Arezzo;18;12/03/2020;0;14;0;0;0;4.085.754.143
Arezzo;19;13/03/2020;2;16;0;0;0;4.669.433.306
Arezzo;20;14/03/2020;11;27;0;0;0;7.879.668.704
Arezzo;21;15/03/2020;14;41;0;0;0;1.196.542.285
Arezzo;22;16/03/2020;2;43;0;0;0;1.254.910.201
Arezzo;23;17/03/2020;28;71;0;0;0;2.072.061.029
Arezzo;24;18/03/2020;71;142;0;0;0;4.144.122.059
Arezzo;25;19/03/2020;-29;113;0;0;0;3.297.787.272
Arezzo;26;20/03/2020;11;124;0;0;0;3.618.810.812
Arezzo;27;21/03/2020;12;136;0;0;0;396.901.831
Arezzo;28;22/03/2020;18;154;1;1;0.006;4.494.329.557
Arezzo;29;23/03/2020;47;201;0;1;0.005;5.865.975.591
Arezzo;30;24/03/2020;10;211;1;2;0.009;6.157.815.172
Arezzo;31;25/03/2020;18;229;0;2;0.009;6.683.126.419
Arezzo;32;26/03/2020;20;249;1;3;0.012;7.266.805.582
Arezzo;33;27/03/2020;0;249;2;5;0.02;7.266.805.582
Arezzo;34;28/03/2020;23;272;0;5;0.018;793.803.662
Arezzo;35;29/03/2020;12;284;0;5;0.018;8.288.244.118
Arezzo;36;30/03/2020;26;310;0;5;0.016;904.702.703
Arezzo;37;31/03/2020;22;332;1;6;0.018;968.907.411
Arezzo;38;01/04/2020;11;343;1;7;0.02;1.001.009.765
Arezzo;39;02/04/2020;14;357;0;7;0.02;1.041.867.306
Arezzo;40;03/04/2020;1;358;1;8;0.022;1.044.785.702
Arezzo;41;04/04/2020;12;370;1;9;0.024;1.079.806.452
Arezzo;42;05/04/2020;8;378;0;9;0.024;1.103.153.619
Arezzo;43;06/04/2020;9;387;0;9;0.023;11.294.191.809.999.900
Arezzo;44;07/04/2020;9;396;1;10;0.025;1.155.684.743
Arezzo;45;08/04/2020;2;398;0;10;0.025;1.161.521.535
Arezzo;46;09/04/2020;1;399;1;11;0.028;1.164.439.931
Arezzo;47;10/04/2020;4;403;2;13;0.032;1.176.113.514
Arezzo;48;11/04/2020;14;417;0;13;0.031;1.216.971.055
Arezzo;49;12/04/2020;12;429;0;13;0.03;1.251.991.805
Arezzo;50;13/04/2020;24;453;2;15;0.033;1.322.033.305
Arezzo;51;14/04/2020;34;487;0;15;0.031;1.421.258.762
Arezzo;52;15/04/2020;35;522;3;18;0.034;1.523.402.616
Arezzo;53;16/04/2020;8;530;2;20;0.038;1.546.749.783
Arezzo;54;17/04/2020;11;541;2;22;0.041;15.788.521.369.999.900
Arezzo;55;18/04/2020;7;548;0;22;0.04;15.992.809.069.999.900
Arezzo;56;19/04/2020;10;558;0;22;0.039;1.628.464.865
Arezzo;57;20/04/2020;9;567;1;23;0.041;1.654.730.428
Arezzo;58;21/04/2020;13;580;3;26;0.045;1.692.669.573
Arezzo;59;22/04/2020;7;587;1;27;0.046;1.713.098.344
Arezzo;60;23/04/2020;10;597;0;27;0.045;17.422.823.019.999.900
Arezzo;61;24/04/2020;9;606;0;27;0.045;1.768.547.865
