Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Firenze,1,24/02/2020,0,0,0,0,0,0
Firenze,2,25/02/2020,1,1,0,0,0,0.1
Firenze,3,26/02/2020,1,2,0,0,0,0.2
Firenze,4,27/02/2020,-1,1,0,0,0,0.1
Firenze,5,28/02/2020,6,7,0,0,0,0.69
Firenze,6,29/02/2020,-2,5,0,0,0,0.49
Firenze,7,01/03/2020,0,5,0,0,0,0.49
Firenze,8,02/03/2020,-1,4,0,0,0,0.4
Firenze,9,03/03/2020,3,7,0,0,0,0.69
Firenze,10,04/03/2020,5,12,0,0,0,1.19
Firenze,11,05/03/2020,8,20,0,0,0,1.98
Firenze,12,06/03/2020,3,23,0,0,0,2.27
Firenze,13,07/03/2020,4,27,0,0,0,2.67
Firenze,14,08/03/2020,12,39,0,0,0,3.86
Firenze,15,09/03/2020,12,51,0,0,0,5.04
Firenze,16,10/03/2020,10,61,0,0,0,6.03
Firenze,17,11/03/2020,10,71,0,0,0,7.02
Firenze,18,12/03/2020,15,86,0,0,0,8.5
Firenze,19,13/03/2020,15,101,0,0,0,9.99
Firenze,20,14/03/2020,31,132,0,0,0,13.05
Firenze,21,15/03/2020,30,162,0,0,0,16.02
Firenze,22,16/03/2020,24,186,1,1,0.005,18.39
Firenze,23,17/03/2020,28,214,0,1,0.005,21.16
Firenze,24,18/03/2020,81,295,0,1,0.003,29.17
Firenze,25,19/03/2020,54,349,3,4,0.011,34.51
Firenze,26,20/03/2020,52,401,0,4,0.01,39.65
Firenze,27,21/03/2020,50,451,2,6,0.013,44.59
Firenze,28,22/03/2020,63,514,5,11,0.021,50.82
Firenze,29,23/03/2020,34,548,1,12,0.022,54.19
Firenze,30,24/03/2020,74,622,3,15,0.024,61.5
Firenze,31,25/03/2020,87,709,4,19,0.027,70.1
Firenze,32,26/03/2020,55,764,5,24,0.031,75.54
Firenze,33,27/03/2020,0,764,0,24,0.031,75.54
Firenze,34,28/03/2020,91,855,1,25,0.029,84.54
Firenze,35,29/03/2020,102,957,1,26,0.027,94.63
Firenze,36,30/03/2020,65,1022,6,32,0.031,101.05
