Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Grosseto,1,2020-02-24,0,0,0,0,0.0,0.0
Grosseto,2,2020-02-25,0,0,0,0,0.0,0.0
Grosseto,3,2020-02-26,0,0,0,0,0.0,0.0
Grosseto,4,2020-02-27,0,0,0,0,0.0,0.0
Grosseto,5,2020-02-28,0,0,0,0,0.0,0.0
Grosseto,6,2020-02-29,0,0,0,0,0.0,0.0
Grosseto,7,2020-03-01,0,0,0,0,0.0,0.0
Grosseto,8,2020-03-02,0,0,0,0,0.0,0.0
Grosseto,9,2020-03-03,0,0,0,0,0.0,0.0
Grosseto,10,2020-03-04,0,0,0,0,0.0,0.0
Grosseto,11,2020-03-05,2,2,0,0,0.0,0.902408980774177
Grosseto,12,2020-03-06,0,2,0,0,0.0,0.902408980774177
Grosseto,13,2020-03-07,0,2,0,0,0.0,0.902408980774177
Grosseto,14,2020-03-08,2,4,0,0,0.0,1.8048179615483504
Grosseto,15,2020-03-09,2,6,0,0,0.0,2.7072269423225297
Grosseto,16,2020-03-10,4,10,0,0,0.0,4.51204490387088
Grosseto,17,2020-03-11,2,12,0,0,0.0,5.414453884645059
Grosseto,18,2020-03-12,4,16,0,0,0.0,7.21927184619341
Grosseto,19,2020-03-13,0,16,0,0,0.0,7.21927184619341
Grosseto,20,2020-03-14,15,31,0,0,0.0,13.987339201999701
Grosseto,21,2020-03-15,7,38,0,0,0.0,17.1457706347094
Grosseto,22,2020-03-16,12,50,0,0,0.0,22.5602245193544
Grosseto,23,2020-03-17,10,60,0,0,0.0,27.072269423225304
Grosseto,24,2020-03-18,8,68,0,0,0.0,30.681905346321997
Grosseto,25,2020-03-19,21,89,0,0,0.0,40.1571996444509
Grosseto,26,2020-03-20,8,97,1,1,0.0103092783505155,43.766835567547595
Grosseto,27,2020-03-21,9,106,0,1,0.009433962264150941,47.8276759810314
Grosseto,28,2020-03-22,14,120,0,1,0.00833333333333333,54.14453884645061
Grosseto,29,2020-03-23,8,128,0,1,0.0078125,57.7541747695473
Grosseto,30,2020-03-24,12,140,0,1,0.007142857142857141,63.1686286541924
Grosseto,31,2020-03-25,7,147,0,1,0.00680272108843537,66.327060086902
Grosseto,32,2020-03-26,27,174,1,2,0.0114942528735632,78.50958132735342
Grosseto,33,2020-03-27,0,174,0,2,0.0114942528735632,78.50958132735342
Grosseto,34,2020-03-28,60,234,0,2,0.00854700854700855,105.581850750579
Grosseto,35,2020-03-29,11,245,0,2,0.00816326530612245,110.545100144837
Grosseto,36,2020-03-30,6,251,1,3,0.0119521912350598,113.252327087159
Grosseto,37,2020-03-31,6,257,0,3,0.0116731517509728,115.959554029482
Grosseto,38,2020-04-01,6,263,1,4,0.0152091254752852,118.666780971804
Grosseto,39,2020-04-02,1,264,1,5,0.0189393939393939,119.11798546219102
Grosseto,40,2020-04-03,0,264,1,6,0.0227272727272727,119.11798546219102
Grosseto,41,2020-04-04,9,273,0,6,0.021978021978022,123.17882587567499
Grosseto,42,2020-04-05,4,277,1,7,0.0252707581227437,124.983643837223
