Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Livorno,1,24/02/2020,0,0,0,0,NA,1000000
Livorno,2,25/02/2020,0,0,0,0,NA,1000000
Livorno,3,26/02/2020,0,0,0,0,NA,1000000
Livorno,4,27/02/2020,0,0,0,0,NA,1000000
Livorno,5,28/02/2020,0,0,0,0,NA,1000000
Livorno,6,29/02/2020,0,0,0,0,NA,1000000
Livorno,7,01/03/2020,0,0,0,0,NA,1000000
Livorno,8,02/03/2020,0,0,0,0,NA,1000000
Livorno,9,03/03/2020,0,0,0,0,NA,1000000
Livorno,10,04/03/2020,3,3,0,0,NA,1000000
Livorno,11,05/03/2020,0,3,0,0,NA,1000000
Livorno,12,06/03/2020,2,5,0,0,NA,1000000
Livorno,13,07/03/2020,1,6,0,0,NA,1000000
Livorno,14,08/03/2020,4,10,0,0,NA,1000000
Livorno,15,09/03/2020,0,10,0,0,NA,1000000
Livorno,16,10/03/2020,4,14,0,0,NA,1000000
Livorno,17,11/03/2020,2,16,0,0,NA,1000000
Livorno,18,12/03/2020,0,16,0,0,NA,1000000
Livorno,19,13/03/2020,11,27,0,0,NA,1000000
Livorno,20,14/03/2020,13,40,0,0,NA,1000000
Livorno,21,15/03/2020,10,50,1,1,NA,1000000
Livorno,22,16/03/2020,3,53,1,2,NA,1000000
Livorno,23,17/03/2020,6,59,1,3,NA,1000000
Livorno,24,18/03/2020,3,62,0,3,NA,1000000
Livorno,25,19/03/2020,0,62,1,4,NA,1000000
Livorno,26,20/03/2020,55,117,1,5,NA,1000000
Livorno,27,21/03/2020,3,120,1,6,NA,1000000
Livorno,28,22/03/2020,10,130,2,8,NA,1000000
Livorno,29,23/03/2020,10,140,1,9,NA,1000000
Livorno,30,24/03/2020,22,162,1,10,NA,1000000
Livorno,31,25/03/2020,17,179,0,10,NA,1000000
Livorno,32,26/03/2020,25,204,0,10,NA,1000000
Livorno,33,27/03/2020,0,204,0,10,NA,1000000
Livorno,34,28/03/2020,16,220,1,11,NA,1000000
Livorno,35,29/03/2020,16,236,5,16,NA,1000000
Livorno,36,30/03/2020,35,271,1,17,NA,1000000
Livorno,37,31/03/2020,9,280,1,18,NA,1000000
Livorno,38,01/04/2020,15,295,1,19,NA,1000000
Livorno,39,02/04/2020,6,301,0,19,NA,1000000
Livorno,40,03/04/2020,6,307,0,19,NA,1000000
Livorno,41,04/04/2020,9,316,3,22,NA,1000000
Livorno,42,05/04/2020,6,322,1,23,NA,1000000
Livorno,43,06/04/2020,1,323,0,23,NA,1000000
Livorno,44,07/04/2020,13,336,0,23,NA,1000000
Livorno,45,08/04/2020,13,349,0,23,NA,1000000
Livorno,46,09/04/2020,4,353,0,23,NA,1000000
Livorno,47,10/04/2020,5,358,7,30,NA,1000000
Livorno,48,11/04/2020,21,379,0,30,NA,1000000
Livorno,49,12/04/2020,19,398,2,32,NA,1000000
Livorno,50,13/04/2020,6,404,1,33,NA,1000000
Livorno,51,14/04/2020,6,410,0,33,NA,1000000
Livorno,52,15/04/2020,5,415,1,34,NA,1000000
Livorno,53,16/04/2020,50,465,2,36,NA,1000000
Livorno,54,17/04/2020,10,475,0,36,NA,1000000
Livorno,55,18/04/2020,5,480,0,36,NA,1000000
Livorno,56,19/04/2020,9,489,3,39,NA,1000000
Livorno,57,20/04/2020,2,491,0,39,NA,1000000
Livorno,58,21/04/2020,1,492,0,39,NA,1000000
Livorno,59,22/04/2020,2,494,2,41,NA,1000000
Livorno,60,23/04/2020,1,495,0,41,NA,1000000
Livorno,61,24/04/2020,4,499,0,41,NA,1000000
Livorno,62,25/04/2020,2,501,1,42,NA,1000000
Livorno,63,26/04/2020,7,508,1,43,NA,1000000
Livorno,64,27/04/2020,0,508,1,44,NA,1000000
Livorno,65,28/04/2020,3,511,0,44,NA,1000000
Livorno,66,29/04/2020,2,513,0,44,NA,1000000
Livorno,67,30/04/2020,0,513,0,44,NA,1000000
