Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Lucca,1,24/02/2020,0,0,0,0,"0,000000000","100000,0"
Lucca,2,25/02/2020,0,0,0,0,"0,000000000","100000,0"
Lucca,3,26/02/2020,0,0,0,0,"0,000000000","100000,0"
Lucca,4,27/02/2020,0,0,0,0,"0,000000000","100000,0"
Lucca,5,28/02/2020,0,0,0,0,"0,000000000","100000,0"
Lucca,6,29/02/2020,1,1,0,0,"0,000000000","100000,0"
Lucca,7,01/03/2020,0,1,0,0,"0,000000000","100000,0"
Lucca,8,02/03/2020,0,1,0,0,"0,000000000","100000,0"
Lucca,9,03/03/2020,2,3,0,0,"0,000000000","100000,0"
Lucca,10,04/03/2020,0,3,0,0,"0,000000000","100000,0"
Lucca,11,05/03/2020,3,6,0,0,"0,000000000","100000,0"
Lucca,12,06/03/2020,2,8,0,0,"0,000000000","100000,0"
Lucca,13,07/03/2020,7,15,0,0,"0,000000000","100000,0"
Lucca,14,08/03/2020,11,26,0,0,"0,000000000","100000,0"
Lucca,15,09/03/2020,5,31,0,0,"0,000000000","100000,0"
Lucca,16,10/03/2020,6,37,0,0,"0,000000000","100000,0"
Lucca,17,11/03/2020,6,43,0,0,"0,000000000","100000,0"
Lucca,18,12/03/2020,6,49,1,1,"0,020408163","100000,0"
Lucca,19,13/03/2020,30,79,0,1,"0,012658228","100000,0"
Lucca,20,14/03/2020,17,96,0,1,"0,010416667","100000,0"
Lucca,21,15/03/2020,34,130,0,1,"0,007692308","100000,0"
Lucca,22,16/03/2020,8,138,1,2,"0,014492754","100000,0"
Lucca,23,17/03/2020,41,179,0,2,"0,011173184","100000,0"
Lucca,24,18/03/2020,26,205,3,5,"0,024390244","100000,0"
Lucca,25,19/03/2020,25,230,6,11,"0,047826087","100000,0"
Lucca,26,20/03/2020,19,249,1,12,"0,048192771","100000,0"
Lucca,27,21/03/2020,58,307,2,14,"0,045602606","100000,0"
