Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Massa Carrara,1,24/02/2020,0,0,0,0,0.0,0.0
Massa Carrara,2,25/02/2020,0,0,0,0,0.0,0.0
Massa Carrara,3,26/02/2020,0,0,0,0,0.0,0.0
Massa Carrara,4,27/02/2020,0,0,0,0,0.0,0.0
Massa Carrara,5,28/02/2020,0,0,0,0,0.0,0.0
Massa Carrara,6,29/02/2020,1,1,0,0,0.0,0.513141555
Massa Carrara,7,01/03/2020,2,3,0,0,0.0,1.539424666
Massa Carrara,8,02/03/2020,0,3,0,0,0.0,1.539424666
Massa Carrara,9,03/03/2020,0,3,0,0,0.0,1.539424666
Massa Carrara,10,04/03/2020,1,4,0,0,0.0,2.0525662209999997
Massa Carrara,11,05/03/2020,2,6,0,0,0.0,3.0788493310000002
Massa Carrara,12,06/03/2020,4,10,0,0,0.0,5.131415552
Massa Carrara,13,07/03/2020,6,16,0,0,0.0,8.210264883999999
Massa Carrara,14,08/03/2020,5,21,0,0,0.0,10.77597266
Massa Carrara,15,09/03/2020,7,28,0,0,0.0,14.36796355
Massa Carrara,16,10/03/2020,9,37,0,0,0.0,18.98623754
Massa Carrara,17,11/03/2020,3,40,0,0,0.0,20.52566221
Massa Carrara,18,12/03/2020,0,40,3,3,0.075,20.52566221
Massa Carrara,19,13/03/2020,25,65,0,3,0.046153846,33.35420109
Massa Carrara,20,14/03/2020,23,88,0,3,0.034090908999999996,45.15645686
Massa Carrara,21,15/03/2020,20,108,0,3,0.027777778,55.41928796
Massa Carrara,22,16/03/2020,9,117,2,5,0.042735043,60.03756196
Massa Carrara,23,17/03/2020,26,143,0,5,0.034965035,73.37924240000002
Massa Carrara,24,18/03/2020,33,176,1,6,0.034090908999999996,90.31291372
Massa Carrara,25,19/03/2020,24,200,4,10,0.05,102.628311
Massa Carrara,26,20/03/2020,32,232,1,11,0.047413792999999996,119.04884080000001
Massa Carrara,27,21/03/2020,24,256,9,20,0.078125,131.3642381
Massa Carrara,28,22/03/2020,25,281,4,24,0.085409253,144.192777
Massa Carrara,29,23/03/2020,8,289,7,31,0.10726643599999999,148.2979095
Massa Carrara,30,24/03/2020,25,314,4,35,0.11146496800000001,161.1264483
Massa Carrara,31,25/03/2020,16,330,2,37,0.112121212,169.3367132
Massa Carrara,32,26/03/2020,4,334,4,41,0.122754491,171.3892794
