Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Prato,1,2020-02-24,0,0,0,0,0.0,0.0
Prato,2,2020-02-25,0,0,0,0,0.0,0.0
Prato,3,2020-02-26,0,0,0,0,0.0,0.0
Prato,4,2020-02-27,0,0,0,0,0.0,0.0
Prato,5,2020-02-28,0,0,0,0,0.0,0.0
Prato,6,2020-02-29,0,0,0,0,0.0,0.0
Prato,7,2020-03-01,0,0,0,0,0.0,0.0
Prato,8,2020-03-02,0,0,0,0,0.0,0.0
Prato,9,2020-03-03,0,0,0,0,0.0,0.0
Prato,10,2020-03-04,1,1,0,0,0.0,0.3880240264477179
Prato,11,2020-03-05,0,1,0,0,0.0,0.3880240264477179
Prato,12,2020-03-06,0,1,0,0,0.0,0.3880240264477179
Prato,13,2020-03-07,2,3,0,0,0.0,1.16407207934315
Prato,14,2020-03-08,0,3,0,0,0.0,1.16407207934315
Prato,15,2020-03-09,2,5,0,0,0.0,1.94012013223859
Prato,16,2020-03-10,2,7,0,0,0.0,2.71616818513402
Prato,17,2020-03-11,14,21,0,0,0.0,8.14850455540207
Prato,18,2020-03-12,4,25,0,0,0.0,9.70060066119294
Prato,19,2020-03-13,1,26,0,0,0.0,10.0886246876407
Prato,20,2020-03-14,7,33,0,0,0.0,12.8047928727747
Prato,21,2020-03-15,9,42,0,0,0.0,16.2970091108041
Prato,22,2020-03-16,3,45,0,0,0.0,17.4610811901473
Prato,23,2020-03-17,8,53,1,1,0.0188679245283019,20.565273401728998
Prato,24,2020-03-18,6,59,0,1,0.0169491525423729,22.8934175604153
Prato,25,2020-03-19,11,70,1,2,0.0285714285714286,27.161681851340198
Prato,26,2020-03-20,24,94,1,3,0.0319148936170213,36.4742584860855
Prato,27,2020-03-21,17,111,2,5,0.045045045045045,43.07066693569671
Prato,28,2020-03-22,18,129,1,6,0.0465116279069767,50.0550994117556
Prato,29,2020-03-23,8,137,1,7,0.0510948905109489,53.159291623337296
Prato,30,2020-03-24,22,159,0,7,0.0440251572327044,61.695820205187104
Prato,31,2020-03-25,19,178,1,8,0.0449438202247191,69.0682767076937
Prato,32,2020-03-26,11,189,0,8,0.0423280423280423,73.33654099861859
Prato,33,2020-03-27,0,189,1,9,0.0476190476190476,73.33654099861859
Prato,34,2020-03-28,28,217,2,11,0.0506912442396313,84.2012137391547
Prato,35,2020-03-29,4,221,0,11,0.0497737556561086,85.75330984494559
Prato,36,2020-03-30,27,248,3,14,0.0564516129032258,96.229958559034
Prato,37,2020-03-31,10,258,1,15,0.0581395348837209,100.11019882351101
Prato,38,2020-04-01,32,290,1,16,0.0551724137931034,112.52696766983802
Prato,39,2020-04-02,1,291,0,16,0.0549828178694158,112.914991696286
Prato,40,2020-04-03,32,323,3,19,0.0588235294117647,125.331760542613
Prato,41,2020-04-04,9,332,0,19,0.0572289156626506,128.823976780642
Prato,42,2020-04-05,6,338,0,19,0.0562130177514793,131.152120939329
Prato,43,2020-04-06,4,342,1,20,0.0584795321637427,132.704217045119
Prato,44,2020-04-07,2,344,0,20,0.0581395348837209,133.480265098015
Prato,45,2020-04-08,1,345,2,22,0.063768115942029,133.86828912446302
Prato,46,2020-04-09,10,355,1,23,0.0647887323943662,137.74852938894
Prato,47,2020-04-10,2,357,4,27,0.0756302521008403,138.524577441835
Prato,48,2020-04-11,13,370,0,27,0.07297297297297299,143.56888978565598
Prato,49,2020-04-12,23,393,2,29,0.0737913486005089,152.493442393953
Prato,50,2020-04-13,1,394,1,30,0.0761421319796954,152.881466420401
Prato,51,2020-04-14,10,404,1,31,0.0767326732673267,156.761706684878
Prato,52,2020-04-15,7,411,0,31,0.0767326732673267,159.477874870012
Prato,53,2020-04-16,29,440,2,33,0.075,170.730571636996
Prato,54,2020-04-17,9,449,0,33,0.0734966592427617,174.22278787502498
Prato,55,2020-04-18,8,457,1,34,0.07439824945295401,177.32698008660702
Prato,56,2020-04-19,9,466,1,35,0.0751072961373391,180.819196324636
Prato,57,2020-04-20,6,472,1,36,0.076271186440678,183.14734048332298
Prato,58,2020-04-21,1,473,1,37,0.0782241014799154,183.53536450977
Prato,59,2020-04-22,6,479,2,39,0.081419624217119,185.863508668457
Prato,60,2020-04-23,7,486,0,39,0.0802469135802469,188.579676853591
Prato,61,2020-04-24,7,493,1,40,0.0811359026369168,191.29584503872502
Prato,62,2020-04-25,9,502,0,40,0.0796812749003984,194.788061276754
Prato,63,2020-04-26,11,513,0,40,0.0779727095516569,199.05632556767898
Prato,64,2020-04-27,0,513,1,41,0.0799220272904483,199.05632556767898
Prato,65,2020-04-28,2,515,0,41,0.0796116504854369,199.832373620575
Prato,66,2020-04-29,2,517,1,42,0.0812379110251451,200.60842167347
Prato,67,2020-04-30,3,520,1,43,0.0826923076923077,201.772493752813
Prato,68,2020-05-01,7,527,0,43,0.0815939278937381,204.488661937947
Prato,69,2020-05-02,2,529,0,43,0.0812854442344045,205.26470999084304
Prato,70,2020-05-03,0,529,0,43,0.0812854442344045,205.26470999084304
Prato,71,2020-05-04,2,531,1,44,0.0828625235404896,206.04075804373798
Prato,72,2020-05-05,0,531,0,44,0.0828625235404896,206.04075804373798
Prato,73,2020-05-06,2,533,0,44,0.0825515947467167,206.816806096633
Prato,74,2020-05-07,2,535,0,44,0.0822429906542056,207.592854149529
Prato,75,2020-05-08,1,536,0,44,0.082089552238806,207.98087817597698
Prato,76,2020-05-09,0,536,0,44,0.082089552238806,207.98087817597698
Prato,77,2020-05-10,2,538,1,45,0.0836431226765799,208.756926228872
Prato,78,2020-05-11,1,539,0,45,0.0834879406307978,209.14495025532003
Prato,79,2020-05-12,3,542,0,45,0.0830258302583026,210.309022334663
Prato,80,2020-05-13,1,543,0,45,0.0828729281767956,210.697046361111
Prato,81,2020-05-14,3,546,0,45,0.0824175824175824,211.861118440454
Prato,82,2020-05-15,0,546,0,45,0.0824175824175824,211.861118440454
Prato,83,2020-05-16,4,550,1,46,0.0836363636363636,213.413214546245
Prato,84,2020-05-17,1,551,0,46,0.0834845735027223,213.801238572692
Prato,85,2020-05-18,0,551,0,46,0.0834845735027223,213.801238572692
Prato,86,2020-05-19,0,551,0,46,0.0834845735027223,213.801238572692
Prato,87,2020-05-20,4,555,0,46,0.0828828828828829,215.353334678483
Prato,88,2020-05-21,2,557,0,46,0.0825852782764812,216.12938273137902
Prato,89,2020-05-22,2,559,0,46,0.0822898032200358,216.905430784274
Prato,90,2020-05-23,0,559,0,46,0.0822898032200358,216.905430784274
Prato,91,2020-05-24,3,562,0,46,0.0818505338078292,218.06950286361698
Prato,92,2020-05-25,0,562,1,47,0.0836298932384342,218.06950286361698
Prato,93,2020-05-26,0,562,0,47,0.0836298932384342,218.06950286361698
Prato,94,2020-05-27,2,564,0,47,0.0833333333333333,218.845550916513
Prato,95,2020-05-28,0,564,1,48,0.0851063829787234,218.845550916513
Prato,96,2020-05-29,0,564,0,48,0.0851063829787234,218.845550916513
Prato,97,2020-05-30,0,564,1,49,0.0868794326241135,218.845550916513
Prato,98,2020-05-31,0,564,0,49,0.0868794326241135,218.845550916513
Prato,99,2020-06-01,0,564,0,49,0.0868794326241135,218.845550916513
Prato,100,2020-06-02,1,565,1,50,0.0884955752212389,219.23357494296002
