Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Siena,1,2020-02-24,0,0,0,0,0.0,0.0
Siena,2,2020-02-25,0,0,0,0,0.0,0.0
Siena,3,2020-02-26,0,0,0,0,0.0,0.0
Siena,4,2020-02-27,0,0,0,0,0.0,0.0
Siena,5,2020-02-28,0,0,0,0,0.0,0.0
Siena,6,2020-02-29,3,3,0,0,0.0,1.12276709693597
Siena,7,2020-03-01,0,3,0,0,0.0,1.12276709693597
Siena,8,2020-03-02,0,3,0,0,0.0,1.12276709693597
Siena,9,2020-03-03,0,3,0,0,0.0,1.12276709693597
Siena,10,2020-03-04,7,10,0,0,0.0,3.74255698978656
Siena,11,2020-03-05,2,12,0,0,0.0,4.49106838774387
Siena,12,2020-03-06,2,14,0,0,0.0,5.23957978570119
Siena,13,2020-03-07,5,19,0,0,0.0,7.110858280594469
Siena,14,2020-03-08,5,24,0,0,0.0,8.98213677548775
Siena,15,2020-03-09,5,29,0,0,0.0,10.853415270381
Siena,16,2020-03-10,4,33,0,0,0.0,12.3504380662957
Siena,17,2020-03-11,4,37,0,0,0.0,13.8474608622103
Siena,18,2020-03-12,4,41,0,0,0.0,15.3444836581249
Siena,19,2020-03-13,0,41,0,0,0.0,15.3444836581249
Siena,20,2020-03-14,17,58,0,0,0.0,21.706830540762105
Siena,21,2020-03-15,2,60,0,0,0.0,22.455341938719396
Siena,22,2020-03-16,6,66,1,1,0.0151515151515152,24.7008761325913
Siena,23,2020-03-17,7,73,0,1,0.0136986301369863,27.3206660254419
Siena,24,2020-03-18,4,77,0,1,0.012987012987013,28.8176888213565
Siena,25,2020-03-19,1,78,0,1,0.0128205128205128,29.1919445203352
Siena,26,2020-03-20,50,128,1,2,0.015625,47.904729469268
Siena,27,2020-03-21,5,133,1,3,0.0225563909774436,49.7760079641613
Siena,28,2020-03-22,11,144,0,3,0.0208333333333333,53.8928206529265
Siena,29,2020-03-23,16,160,1,4,0.025,59.880911836585
Siena,30,2020-03-24,16,176,1,5,0.0284090909090909,65.8690030202435
Siena,31,2020-03-25,17,193,1,6,0.0310880829015544,72.23134990288071
Siena,32,2020-03-26,23,216,0,6,0.0277777777777778,80.83923097938971
Siena,33,2020-03-27,0,216,0,6,0.0277777777777778,80.83923097938971
Siena,34,2020-03-28,19,235,2,8,0.0340425531914894,87.95008925998421
Siena,35,2020-03-29,38,273,1,9,0.032967032967032996,102.171805821173
Siena,36,2020-03-30,13,286,0,9,0.0314685314685315,107.037129907896
Siena,37,2020-03-31,15,301,1,10,0.0332225913621262,112.65096539257601
Siena,38,2020-04-01,11,312,0,10,0.032051282051282014,116.767778081341
Siena,39,2020-04-02,22,334,0,10,0.029940119760479,125.001403458871
Siena,40,2020-04-03,3,337,2,12,0.0356083086053412,126.124170555807
Siena,41,2020-04-04,2,339,0,12,0.0353982300884956,126.872681953764
Siena,42,2020-04-05,1,340,0,12,0.0352941176470588,127.246937652743
Siena,43,2020-04-06,10,350,1,13,0.0371428571428571,130.98949464253
Siena,44,2020-04-07,10,360,1,14,0.0388888888888889,134.732051632316
Siena,45,2020-04-08,1,361,0,14,0.038781163434902996,135.106307331295
Siena,46,2020-04-09,-1,360,0,14,0.0388888888888889,134.732051632316
Siena,47,2020-04-10,3,363,0,14,0.0385674931129477,135.854818729252
Siena,48,2020-04-11,6,369,0,14,0.037940379403794,138.100352923124
