Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Bolzano,1,24/02/2020,0,0,0,0,0.0,0.0
Bolzano,2,25/02/2020,1,1,0,0,0.0,0.188260809
Bolzano,3,26/02/2020,0,1,0,0,0.0,0.188260809
Bolzano,4,27/02/2020,0,1,0,0,0.0,0.188260809
Bolzano,5,28/02/2020,0,1,0,0,0.0,0.188260809
Bolzano,6,29/02/2020,0,1,0,0,0.0,0.188260809
Bolzano,7,01/03/2020,0,1,0,0,0.0,0.188260809
Bolzano,8,02/03/2020,0,1,0,0,0.0,0.188260809
Bolzano,9,03/03/2020,0,1,0,0,0.0,0.188260809
Bolzano,10,04/03/2020,0,1,0,0,0.0,0.188260809
Bolzano,11,05/03/2020,0,1,0,0,0.0,0.188260809
Bolzano,12,06/03/2020,3,4,0,0,0.0,0.7530432359999999
Bolzano,13,07/03/2020,5,9,0,0,0.0,1.694347281
Bolzano,14,08/03/2020,0,9,0,0,0.0,1.694347281
Bolzano,15,09/03/2020,0,9,0,0,0.0,1.694347281
Bolzano,16,10/03/2020,29,38,0,0,0.0,7.153910742000001
Bolzano,17,11/03/2020,37,75,0,0,0.0,14.11956067
Bolzano,18,12/03/2020,29,104,1,1,0.009615385,19.57912414
Bolzano,19,13/03/2020,21,125,1,2,0.016,23.53260112
Bolzano,20,14/03/2020,48,173,1,3,0.01734104,32.56911996
Bolzano,21,15/03/2020,31,204,2,5,0.024509804,38.40520503
Bolzano,22,16/03/2020,37,241,1,6,0.024896266,45.37085497
Bolzano,23,17/03/2020,50,291,2,8,0.027491409,54.78389542
Bolzano,24,18/03/2020,85,376,1,9,0.02393617,70.78606418
Bolzano,25,19/03/2020,60,436,5,14,0.032110092,82.08171272
Bolzano,26,20/03/2020,112,548,3,17,0.031021898,103.1669233
Bolzano,27,21/03/2020,73,621,3,20,0.032206119,116.9099624
Bolzano,28,22/03/2020,57,678,3,23,0.033923304,127.6408285
Bolzano,29,23/03/2020,46,724,6,29,0.040055249,136.3008257
Bolzano,30,24/03/2020,57,781,9,38,0.04865557,147.0316918
Bolzano,31,25/03/2020,77,858,5,43,0.05011655,161.5277741
Bolzano,32,26/03/2020,48,906,5,48,0.052980132,170.5642929
Bolzano,33,27/03/2020,97,1003,12,60,0.059820538,188.8255914
Bolzano,34,28/03/2020,106,1109,4,64,0.057709648,208.7812372
Bolzano,35,29/03/2020,105,1214,0,64,0.052718287,228.5486221
Bolzano,36,30/03/2020,111,1325,10,74,0.055849057,249.4455719
Bolzano,37,31/03/2020,46,1371,2,76,0.05543399,258.1055691
Bolzano,38,01/04/2020,47,1418,40,116,0.08180536,266.9538272
Bolzano,39,02/04/2020,61,1479,13,129,0.087221095,278.4377365
Bolzano,40,03/04/2020,80,1559,10,139,0.08915971800000001,293.4986012
Bolzano,41,04/04/2020,33,1592,7,146,0.091708543,299.7112079
Bolzano,42,05/04/2020,52,1644,12,158,0.096107056,309.5007700000001
Bolzano,43,06/04/2020,78,1722,6,164,0.095238095,324.1851131
Bolzano,44,07/04/2020,89,1811,10,174,0.096079514,340.9403251
Bolzano,45,08/04/2020,24,1835,9,183,0.09972752,345.45858450000014
Bolzano,46,09/04/2020,68,1903,4,187,0.098265896,358.2603195
Bolzano,47,10/04/2020,52,1955,4,191,0.09769821,368.0498816
Bolzano,48,11/04/2020,2,1957,9,200,0.102197241,368.4264032
Bolzano,49,12/04/2020,141,2098,5,205,0.097712107,394.9711773
Bolzano,50,13/04/2020,51,2149,7,212,0.098650535,404.5724785
Bolzano,51,14/04/2020,35,2184,2,214,0.097985348,411.1616068
Bolzano,52,15/04/2020,40,2224,9,223,0.100269784,418.6920392
Bolzano,53,16/04/2020,43,2267,2,225,0.09925011,426.787254
Bolzano,54,17/04/2020,29,2296,9,234,0.101916376,432.2468175
Bolzano,55,18/04/2020,29,2325,5,239,0.102795699,437.7063809
Bolzano,56,19/04/2020,55,2380,6,245,0.102941176,448.0607254
Bolzano,57,20/04/2020,14,2394,4,249,0.104010025,450.6963767
Bolzano,58,21/04/2020,16,2410,2,251,0.104149378,453.7085497
Bolzano,59,22/04/2020,6,2416,5,256,0.105960265,454.8381145
Bolzano,60,23/04/2020,19,2435,5,261,0.107186858,458.4150699
Bolzano,61,24/04/2020,21,2456,2,263,0.107084691,462.3685469
Bolzano,62,25/04/2020,20,2476,2,265,0.107027464,466.1337631
Bolzano,63,26/04/2020,5,2481,4,269,0.108424023,467.0750671
Bolzano,64,27/04/2020,15,2496,1,270,0.108173077,469.89897919999987
Bolzano,65,28/04/2020,2,2498,2,272,0.10888711,470.2755009
Bolzano,66,29/04/2020,9,2507,2,274,0.109293977,471.9698481
Bolzano,67,30/04/2020,11,2518,1,275,0.109213662,474.040717
Bolzano,68,01/05/2020,10,2528,3,278,0.109968354,475.9233251
Bolzano,69,02/05/2020,7,2535,1,279,0.110059172,477.2411508
Bolzano,70,03/05/2020,1,2536,2,281,0.110804416,477.4294116
Bolzano,71,04/05/2020,5,2541,3,284,0.111767021,478.3707157
Bolzano,72,05/05/2020,1,2542,1,285,0.112116444,478.5589765
Bolzano,73,06/05/2020,1,2543,1,286,0.112465592,478.7472373
Bolzano,74,07/05/2020,9,2552,0,286,0.112068966,480.4415846
Bolzano,75,08/05/2020,6,2558,3,289,0.11297889,481.5711494
Bolzano,76,09/05/2020,9,2567,1,290,0.112972341,483.2654967
Bolzano,77,10/05/2020,2,2569,0,290,0.112884391,483.6420183
Bolzano,78,11/05/2020,3,2572,0,290,0.112752722,484.2068007
Bolzano,79,12/05/2020,0,2572,0,290,0.112752722,484.2068007
Bolzano,80,13/05/2020,3,2575,0,290,0.112621359,484.7715832
Bolzano,81,14/05/2020,3,2578,0,290,0.112490303,485.3363656
Bolzano,82,15/05/2020,0,2578,0,290,0.112490303,485.3363656
Bolzano,83,16/05/2020,0,2578,0,290,0.112490303,485.3363656
Bolzano,84,17/05/2020,3,2581,0,290,0.112359551,485.901148
Bolzano,85,18/05/2020,1,2582,1,291,0.112703331,486.08940880000006
Bolzano,86,19/05/2020,5,2587,0,291,0.112485504,487.0307129
Bolzano,87,20/05/2020,0,2587,0,291,0.112485504,487.0307129
Bolzano,88,21/05/2020,0,2587,0,291,0.112485504,487.0307129
Bolzano,89,22/05/2020,3,2590,0,291,0.122485504,488.0307129
Bolzano,90,23/05/2020,0,2590,0,291,0.132485504,489.0307129
Bolzano,91,24/05/2020,3,2593,0,291,0.142485504,490.0307129
Bolzano,92,25/05/2020,0,2593,0,291,0.112225222,488.1602777
Bolzano,93,26/05/2020,0,2593,0,291,0.112225222,488.1602777
Bolzano,94,27/05/2020,0,2593,0,291,0.112225222,488.1602777
Bolzano,95,28/05/2020,2,2595,0,291,0.112138728,488.5367993
Bolzano,96,29/05/2020,0,2595,0,291,0.112138728,488.5367993
Bolzano,97,30/05/2020,1,2596,0,291,0.112095532,488.7250601
Bolzano,98,31/05/2020,1,2597,0,291,0.11205237,488.913321
Bolzano,99,01/06/2020,1,2598,0,291,0.112009238,489.1015818
Bolzano,100,02/06/2020,0,2598,0,291,0.112009238,489.1015818
Bolzano,101,03/06/2020,0,2598,0,291,0.112009238,489.1015818
Bolzano,102,04/06/2020,0,2598,1,292,0.112394149,489.1015818
Bolzano,103,05/06/2020,1,2599,0,292,0.112350904,489.2898426
Bolzano,104,06/06/2020,1,2600,0,292,0.112307692,489.4781034
