Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Terni,1,24/02/2020,0,0,0,0,0,0
Terni,2,25/02/2020,0,0,0,0,0,0
Terni,3,26/02/2020,0,0,0,0,0,0
Terni,4,27/02/2020,0,0,0,0,0,0
Terni,5,28/02/2020,0,0,0,0,0,0
Terni,6,29/02/2020,0,0,0,0,0,0
Terni,7,01/03/2020,0,0,0,0,0,0
Terni,8,02/03/2020,1,1,0,0,0,0.44
Terni,9,03/03/2020,0,1,0,0,0,0.44
Terni,10,04/03/2020,2,3,0,0,0,1.33
Terni,11,05/03/2020,0,3,0,0,0,1.33
Terni,12,06/03/2020,3,6,0,0,0,2.66
Terni,13,07/03/2020,3,9,0,0,0,3.99
Terni,14,08/03/2020,2,11,0,0,0,4.88
Terni,15,09/03/2020,5,16,0,0,0,7.09
Terni,16,10/03/2020,8,24,0,0,0,10.64
Terni,17,11/03/2020,-6,18,0,0,0,7.98
Terni,18,12/03/2020,7,25,0,0,0,11.08
Terni,19,13/03/2020,4,29,0,0,0,12.85
Terni,20,14/03/2020,0,29,0,0,0,12.85
Terni,21,15/03/2020,28,57,0,0,0,25.26
Terni,22,16/03/2020,3,60,0,0,0,26.59
Terni,23,17/03/2020,3,63,0,0,0,27.92
Terni,24,18/03/2020,11,74,1,1,0.014,32.8
Terni,25,19/03/2020,10,84,0,1,0.012,37.23
Terni,26,20/03/2020,13,97,2,3,0.031,42.99
Terni,27,21/03/2020,18,115,1,4,0.035,50.97
Terni,28,22/03/2020,13,128,2,6,0.047,56.73
Terni,29,23/03/2020,6,134,0,6,0.045,59.39
Terni,30,24/03/2020,21,155,1,7,0.045,68.7
Terni,31,25/03/2020,8,163,0,7,0.043,72.24
Terni,32,26/03/2020,15,178,0,7,0.039,78.89
Terni,33,27/03/2020,17,195,1,8,0.041,86.42
Terni,34,28/03/2020,18,213,2,10,0.047,94.4
Terni,35,29/03/2020,5,218,2,12,0.055,96.62
Terni,36,30/03/2020,8,226,0,12,0.053,100.16
Terni,37,31/03/2020,4,230,0,12,0.052,101.94
Terni,38,01/04/2020,6,236,6,18,0.076,104.59
Terni,39,02/04/2020,10,246,6,24,0.098,109.03
Terni,40,03/04/2020,11,257,2,26,0.101,113.9
Terni,41,04/04/2020,6,263,0,26,0.099,116.56
Terni,42,05/04/2020,12,275,1,27,0.098,121.88
Terni,43,06/04/2020,9,284,0,27,0.095,125.87
Terni,44,07/04/2020,4,288,1,28,0.097,127.64
Terni,45,08/04/2020,15,303,1,29,0.096,134.29
Terni,46,09/04/2020,2,305,0,29,0.095,135.18
Terni,47,10/04/2020,1,306,0,29,0.095,135.62
Terni,48,11/04/2020,4,310,0,29,0.094,137.39
Terni,49,12/04/2020,6,316,0,29,0.092,140.05
Terni,50,13/04/2020,1,317,0,29,0.091,140.49
Terni,51,14/04/2020,0,317,0,29,0.091,140.49
Terni,52,15/04/2020,0,317,1,30,0.095,140.49
Terni,53,16/04/2020,1,318,0,30,0.094,140.94
Terni,54,17/04/2020,4,322,0,30,0.093,142.71
Terni,55,18/04/2020,3,325,0,30,0.092,144.04
Terni,56,19/04/2020,3,328,0,30,0.091,145.37
Terni,57,20/04/2020,0,328,-13,17,0.052,145.37
Terni,58,21/04/2020,3,331,0,17,0.051,146.7
Terni,59,22/04/2020,0,331,0,17,0.051,146.7
Terni,60,23/04/2020,3,334,0,17,0.051,148.03
Terni,61,24/04/2020,0,334,1,18,0.054,148.03
Terni,62,25/04/2020,0,334,1,19,0.057,148.03
Terni,63,26/04/2020,0,334,0,19,0.057,148.03
Terni,64,27/04/2020,0,334,0,19,0.057,148.03
Terni,65,28/04/2020,7,341,0,19,0.056,151.13
Terni,66,29/04/2020,8,349,0,19,0.054,154.68
Terni,67,30/04/2020,0,349,0,19,0.054,154.68
Terni,68,01/05/2020,0,349,1,20,0.057,154.68
Terni,69,02/05/2020,1,350,0,20,0.057,155.12
Terni,70,03/05/2020,0,350,0,20,0.057,155.12
Terni,71,04/05/2020,0,350,0,20,0.057,155.12
Terni,72,05/05/2020,7,357,0,20,0.056,158.22
Terni,73,06/05/2020,2,359,0,20,0.056,159.11
Terni,74,07/05/2020,0,359,0,20,0.056,159.11
Terni,75,08/05/2020,2,361,1,21,0.058,159.99
Terni,76,09/05/2020,1,362,0,21,0.058,160.44
Terni,77,10/05/2020,2,364,0,21,0.058,161.32
Terni,78,11/05/2020,1,365,0,21,0.058,161.77
Terni,79,12/05/2020,3,368,0,21,0.057,163.1
Terni,80,13/05/2020,0,368,1,22,0.06,163.1
Terni,81,14/05/2020,1,369,1,23,0.062,163.54
Terni,82,15/05/2020,1,370,0,23,0.062,163.98
Terni,83,16/05/2020,0,370,0,23,0.062,163.98
Terni,84,17/05/2020,0,370,0,23,0.062,163.98
Terni,85,18/05/2020,0,370,0,23,0.062,163.98
Terni,86,19/05/2020,0,370,0,23,0.062,163.98
Terni,87,20/05/2020,0,370,0,23,0.062,163.98
Terni,88,21/05/2020,2,372,0,23,0.062,164.87
Terni,89,22/05/2020,0,372,0,23,0.062,164.87
Terni,90,23/05/2020,0,372,0,23,0.062,164.87
Terni,91,24/05/2020,0,372,1,24,0.065,164.87
Terni,92,25/05/2020,0,372,0,24,0.065,164.87
Terni,93,26/05/2020,0,372,0,24,0.065,164.87
Terni,94,27/05/2020,0,372,0,24,0.065,164.87
Terni,95,28/05/2020,0,372,0,24,0.065,164.87
Terni,96,29/05/2020,0,372,1,25,0.067,164.87
Terni,97,30/05/2020,0,372,0,25,0.067,164.87
Terni,98,31/05/2020,0,372,0,25,0.067,164.87
Terni,99,01/06/2020,0,372,0,25,0.067,164.87
Terni,100,02/06/2020,0,372,0,25,0.067,164.87
Terni,101,03/06/2020,0,372,0,25,0.067,164.87
Terni,102,04/06/2020,0,372,0,25,0.067,164.87
Terni,103,05/06/2020,0,372,0,25,0.067,164.87
Terni,104,06/06/2020,0,372,0,25,0.067,164.87
Terni,105,07/06/2020,1,373,0,25,0.067,165.31
Terni,106,08/06/2020,0,373,0,25,0.067,165.31
Terni,107,09/06/2020,1,374,0,25,0.067,165.76
Terni,108,10/06/2020,1,375,0,25,0.067,166.2
Terni,109,11/06/2020,0,375,0,25,0.067,166.2
Terni,110,12/06/2020,0,375,0,25,0.067,166.2
Terni,111,13/06/2020,0,375,0,25,0.067,166.2
Terni,112,14/06/2020,0,375,1,26,0.069,166.2
Terni,113,15/06/2020,0,375,0,26,0.069,166.2
Terni,114,16/06/2020,0,375,0,26,0.069,166.2
Terni,115,17/06/2020,0,375,0,26,0.069,166.2
Terni,116,18/06/2020,0,375,0,26,0.069,166.2
Terni,117,19/06/2020,0,375,0,26,0.069,166.2
Terni,118,20/06/2020,0,375,1,27,0.072,166.2
Terni,119,21/06/2020,0,375,0,27,0.072,166.2
Terni,120,22/06/2020,0,375,0,27,0.072,166.2
Terni,121,23/06/2020,0,375,0,27,0.072,166.2
Terni,122,24/06/2020,0,375,1,28,0.075,166.2
Terni,123,25/06/2020,0,375,0,28,0.075,166.2
Terni,124,26/06/2020,1,376,0,28,0.074,166.64
Terni,125,27/06/2020,0,376,1,29,0.077,166.64
Terni,126,28/06/2020,0,376,0,29,0.077,166.64
Terni,127,29/06/2020,0,376,0,29,0.077,166.64
Terni,128,30/06/2020,1,377,0,29,0.077,167.09
Terni,129,01/07/2020,0,377,0,29,0.077,167.09
Terni,130,02/07/2020,2,379,0,29,0.077,167.97
Terni,131,03/07/2020,2,381,0,29,0.076,168.86
Terni,132,04/07/2020,1,382,0,29,0.076,169.3
Terni,133,05/07/2020,0,382,0,29,0.076,169.3
Terni,134,06/07/2020,0,382,0,29,0.076,169.3
Terni,135,07/07/2020,0,382,0,29,0.076,169.3
Terni,136,08/07/2020,0,382,0,29,0.076,169.3
Terni,137,09/07/2020,0,382,0,29,0.076,169.3
Terni,138,10/07/2020,0,382,0,29,0.076,169.3
Terni,139,11/07/2020,0,382,0,29,0.076,169.3
Terni,140,12/07/2020,2,384,0,29,0.076,170.19
Terni,141,13/07/2020,0,384,0,29,0.076,170.19
Terni,142,14/07/2020,0,384,0,29,0.076,170.19
Terni,143,15/07/2020,0,384,0,29,0.076,170.19
Terni,144,16/07/2020,0,384,0,29,0.076,170.19
Terni,145,17/07/2020,0,384,0,29,0.076,170.19
Terni,146,18/07/2020,0,384,0,29,0.076,170.19
Terni,147,19/07/2020,0,384,0,29,0.076,170.19
Terni,148,20/07/2020,0,384,0,29,0.076,170.19
Terni,149,21/07/2020,0,384,0,29,0.076,170.19
Terni,150,22/07/2020,0,384,0,29,0.076,170.19
Terni,151,23/07/2020,0,384,0,29,0.076,170.19
Terni,152,24/07/2020,0,384,0,29,0.076,170.19
Terni,153,25/07/2020,0,384,0,29,0.076,170.19
Terni,154,26/07/2020,0,384,0,29,0.076,170.19
Terni,155,27/07/2020,0,384,0,29,0.076,170.19
Terni,156,28/07/2020,0,384,0,29,0.076,170.19
Terni,157,29/07/2020,0,384,0,29,0.076,170.19
Terni,158,30/07/2020,0,384,0,29,0.076,170.19
Terni,159,31/07/2020,0,384,0,29,0.076,170.19
Terni,160,01/08/2020,2,386,0,29,0.075,171.07
Terni,161,02/08/2020,0,386,0,29,0.075,171.07
Terni,162,03/08/2020,1,387,0,29,0.075,171.52
Terni,163,04/08/2020,0,387,0,29,0.075,171.52
Terni,164,05/08/2020,0,387,0,29,0.075,171.52
Terni,165,06/08/2020,3,390,0,29,0.074,172.85
Terni,166,07/08/2020,5,395,0,29,0.073,175.06
Terni,167,08/08/2020,2,397,0,29,0.073,175.95
Terni,168,09/08/2020,1,398,0,29,0.073,176.39
Terni,169,10/08/2020,1,399,0,29,0.073,176.84
Terni,170,11/08/2020,0,399,0,29,0.073,176.84
Terni,171,12/08/2020,5,404,0,29,0.072,179.05
Terni,172,13/08/2020,1,405,0,29,0.072,179.5
Terni,173,14/08/2020,0,405,0,29,0.072,179.5
Terni,174,15/08/2020,4,409,0,29,0.071,181.27
Terni,175,16/08/2020,0,409,0,29,0.071,181.27
Terni,176,17/08/2020,0,409,0,29,0.071,181.27
Terni,177,18/08/2020,0,409,0,29,0.071,181.27
Terni,178,19/08/2020,0,409,0,29,0.071,181.27
Terni,179,20/08/2020,4,413,0,29,0.07,183.04
Terni,180,21/08/2020,12,425,0,29,0.068,188.36
Terni,181,22/08/2020,6,431,0,29,0.067,191.02
Terni,182,23/08/2020,4,435,0,29,0.067,192.79
Terni,183,24/08/2020,2,437,0,29,0.066,193.68
Terni,184,25/08/2020,15,452,0,29,0.064,200.33
Terni,185,26/08/2020,3,455,0,29,0.064,201.65
Terni,186,27/08/2020,1,456,0,29,0.064,202.1
Terni,187,28/08/2020,4,460,0,29,0.063,203.87
Terni,188,29/08/2020,5,465,0,29,0.062,206.09
Terni,189,30/08/2020,7,472,0,29,0.061,209.19
Terni,190,31/08/2020,3,475,0,29,0.061,210.52
Terni,191,01/09/2020,0,475,0,29,0.061,210.52
Terni,192,02/09/2020,3,478,0,29,0.061,211.85
Terni,193,03/09/2020,3,481,0,29,0.06,213.18
Terni,194,04/09/2020,5,486,0,29,0.06,215.39
Terni,195,05/09/2020,6,492,0,29,0.059,218.05
Terni,196,06/09/2020,1,493,0,29,0.059,218.5
Terni,197,07/09/2020,5,498,0,29,0.058,220.71
Terni,198,08/09/2020,3,501,0,29,0.058,222.04
Terni,199,09/09/2020,6,507,0,29,0.057,224.7
Terni,200,10/09/2020,5,512,0,29,0.057,226.92
Terni,201,11/09/2020,2,514,0,29,0.056,227.8
Terni,202,12/09/2020,8,522,0,29,0.056,231.35
Terni,203,13/09/2020,15,537,0,29,0.054,238
Terni,204,14/09/2020,9,546,0,29,0.053,241.99
Terni,205,15/09/2020,1,547,0,29,0.053,242.43
Terni,206,16/09/2020,1,548,0,29,0.053,242.87
Terni,207,17/09/2020,9,557,0,29,0.052,246.86
Terni,208,18/09/2020,7,564,0,29,0.051,249.96
Terni,209,19/09/2020,9,573,0,29,0.051,253.95
Terni,210,20/09/2020,7,580,0,29,0.05,257.05
Terni,211,21/09/2020,2,582,0,29,0.05,257.94
Terni,212,22/09/2020,2,584,0,29,0.05,258.83
Terni,213,23/09/2020,2,586,0,29,0.049,259.71
Terni,214,24/09/2020,9,595,0,29,0.049,263.7
Terni,215,25/09/2020,6,601,0,29,0.048,266.36
Terni,216,26/09/2020,3,604,0,29,0.048,267.69
Terni,217,27/09/2020,2,606,0,29,0.048,268.58
Terni,218,28/09/2020,3,609,0,29,0.048,269.91
Terni,219,29/09/2020,11,620,0,29,0.047,274.78
Terni,220,30/09/2020,0,620,0,29,0.047,274.78
Terni,221,01/10/2020,9,629,0,29,0.046,278.77
Terni,222,02/10/2020,5,634,0,29,0.046,280.99
Terni,223,03/10/2020,5,639,0,29,0.045,283.2
Terni,224,04/10/2020,7,646,1,30,0.046,286.31
Terni,225,05/10/2020,1,647,0,30,0.046,286.75
Terni,226,06/10/2020,8,655,0,30,0.046,290.29
Terni,227,07/10/2020,6,661,0,30,0.045,292.95
Terni,228,08/10/2020,13,674,0,30,0.045,298.72
Terni,229,09/10/2020,18,692,0,30,0.043,306.69
Terni,230,10/10/2020,26,718,0,30,0.042,318.22
Terni,231,11/10/2020,25,743,0,30,0.04,329.3
Terni,232,12/10/2020,24,767,0,30,0.039,339.93
Terni,233,13/10/2020,33,800,0,30,0.038,354.56
Terni,234,14/10/2020,34,834,0,30,0.036,369.63
Terni,235,15/10/2020,23,857,0,30,0.035,379.82
Terni,236,16/10/2020,25,882,0,30,0.034,390.9
Terni,237,17/10/2020,29,911,0,30,0.033,403.75
Terni,238,18/10/2020,67,978,0,30,0.031,433.45
Terni,239,19/10/2020,52,1030,1,31,0.03,456.49
Terni,240,20/10/2020,45,1075,0,31,0.029,476.44
Terni,241,21/10/2020,80,1155,0,31,0.027,511.89
Terni,242,22/10/2020,98,1253,1,32,0.026,555.33
Terni,243,23/10/2020,60,1313,0,32,0.024,581.92
Terni,244,24/10/2020,107,1420,1,33,0.023,629.34
Terni,245,25/10/2020,119,1539,0,33,0.021,682.08
Terni,246,26/10/2020,49,1588,0,33,0.021,703.8
Terni,247,27/10/2020,44,1632,0,33,0.02,723.3
Terni,248,28/10/2020,116,1748,1,34,0.019,774.71
Terni,249,29/10/2020,136,1884,2,36,0.019,834.98
Terni,250,30/10/2020,174,2058,1,37,0.018,912.1
Terni,251,31/10/2020,161,2219,0,37,0.017,983.46
Terni,252,01/11/2020,201,2420,3,40,0.017,1072.54
Terni,253,02/11/2020,13,2433,1,41,0.017,1078.3
Terni,254,03/11/2020,119,2552,1,42,0.016,1131.04
Terni,255,04/11/2020,127,2679,1,43,0.016,1187.33
Terni,256,05/11/2020,195,2874,3,46,0.016,1273.75
Terni,257,06/11/2020,194,3068,3,49,0.016,1359.73
Terni,258,07/11/2020,177,3245,1,50,0.015,1438.18
Terni,259,08/11/2020,164,3409,4,54,0.016,1510.86
Terni,260,09/11/2020,43,3452,3,57,0.017,1529.92
Terni,261,10/11/2020,143,3595,0,57,0.016,1593.3
Terni,262,11/11/2020,104,3699,6,63,0.017,1639.39
Terni,263,12/11/2020,131,3830,4,67,0.017,1697.45
Terni,264,13/11/2020,104,3934,3,70,0.018,1743.54
Terni,265,14/11/2020,148,4082,1,71,0.017,1809.13
Terni,266,15/11/2020,183,4265,2,73,0.017,1890.24
Terni,267,16/11/2020,30,4295,2,75,0.017,1903.53
Terni,268,17/11/2020,61,4356,3,78,0.018,1930.57
Terni,269,18/11/2020,78,4434,4,82,0.018,1965.14
Terni,270,19/11/2020,102,4536,1,83,0.018,2010.34
Terni,271,20/11/2020,90,4626,6,89,0.019,2050.23
Terni,272,21/11/2020,97,4723,5,94,0.02,2093.22
Terni,273,22/11/2020,119,4842,1,95,0.02,2145.96
Terni,274,23/11/2020,23,4865,1,96,0.02,2156.16
Terni,275,24/11/2020,47,4912,1,97,0.02,2176.99
Terni,276,25/11/2020,100,5012,2,99,0.02,2221.31
Terni,277,26/11/2020,71,5083,5,104,0.02,2252.77
Terni,278,27/11/2020,60,5143,6,110,0.021,2279.37
Terni,279,28/11/2020,83,5226,3,113,0.022,2316.15
Terni,280,29/11/2020,69,5295,0,113,0.021,2346.73
Terni,281,30/11/2020,3,5298,7,120,0.023,2348.06
Terni,282,01/12/2020,30,5328,0,120,0.023,2361.36
Terni,283,02/12/2020,64,5392,2,122,0.023,2389.72
Terni,284,03/12/2020,60,5452,6,128,0.023,2416.31
Terni,285,04/12/2020,37,5489,2,130,0.024,2432.71
Terni,286,05/12/2020,42,5531,1,131,0.024,2451.33
Terni,287,06/12/2020,107,5638,0,131,0.023,2498.75
Terni,288,07/12/2020,4,5642,1,132,0.023,2500.52
Terni,289,08/12/2020,57,5699,2,134,0.024,2525.78
Terni,290,09/12/2020,2,5701,4,138,0.024,2526.67
Terni,291,10/12/2020,41,5742,4,142,0.025,2544.84
Terni,292,11/12/2020,93,5835,0,142,0.024,2586.06
Terni,293,12/12/2020,55,5890,5,147,0.025,2610.43
Terni,294,13/12/2020,56,5946,4,151,0.025,2635.25
Terni,295,14/12/2020,4,5950,1,152,0.026,2637.03
Terni,296,15/12/2020,54,6004,2,154,0.026,2660.96
Terni,297,16/12/2020,76,6080,1,155,0.025,2694.64
Terni,298,17/12/2020,39,6119,3,158,0.026,2711.93
Terni,299,18/12/2020,51,6170,3,161,0.026,2734.53
Terni,300,19/12/2020,65,6235,3,164,0.026,2763.34
Terni,301,20/12/2020,34,6269,4,168,0.027,2778.41
Terni,302,21/12/2020,1,6270,4,172,0.027,2778.85
Terni,303,22/12/2020,15,6285,2,174,0.028,2785.5
Terni,304,23/12/2020,54,6339,1,175,0.028,2809.43
Terni,305,24/12/2020,48,6387,1,176,0.028,2830.7
Terni,306,25/12/2020,88,6475,5,181,0.028,2869.7
Terni,307,26/12/2020,2,6477,0,181,0.028,2870.59
Terni,308,27/12/2020,2,6479,2,183,0.028,2871.48
Terni,309,28/12/2020,30,6509,2,185,0.028,2884.77
Terni,310,29/12/2020,31,6540,2,187,0.029,2898.51
Terni,311,30/12/2020,92,6632,0,187,0.028,2939.29
Terni,312,31/12/2020,64,6696,1,188,0.028,2967.65
Terni,313,01/01/2021,63,6759,0,188,0.028,2995.57
Terni,314,02/01/2021,2,6761,1,189,0.028,2996.46
Terni,315,03/01/2021,54,6815,1,190,0.028,3020.39
Terni,316,04/01/2021,4,6819,1,191,0.028,3022.16
Terni,317,05/01/2021,29,6848,2,193,0.028,3035.02
Terni,318,06/01/2021,74,6922,1,194,0.028,3067.81
Terni,319,07/01/2021,1,6923,2,196,0.028,3068.26
Terni,320,08/01/2021,34,6957,1,197,0.028,3083.33
Terni,321,09/01/2021,57,7014,1,198,0.028,3108.59
Terni,322,10/01/2021,48,7062,4,202,0.029,3129.86
Terni,323,11/01/2021,4,7066,2,204,0.029,3131.63
Terni,324,12/01/2021,33,7099,3,207,0.029,3146.26
Terni,325,13/01/2021,38,7137,3,210,0.029,3163.1
Terni,326,14/01/2021,33,7170,1,211,0.029,3177.73
Terni,327,15/01/2021,39,7209,2,213,0.03,3195.01
Terni,328,16/01/2021,43,7252,4,217,0.03,3214.07
Terni,329,17/01/2021,39,7291,0,217,0.03,3231.35
Terni,330,18/01/2021,3,7294,2,219,0.03,3232.68
Terni,331,19/01/2021,5,7299,1,220,0.03,3234.9
Terni,332,20/01/2021,29,7328,0,220,0.03,3247.75
Terni,333,21/01/2021,19,7347,2,222,0.03,3256.17
Terni,334,22/01/2021,22,7369,1,223,0.03,3265.92
Terni,335,23/01/2021,29,7398,1,224,0.03,3278.78
Terni,336,24/01/2021,61,7459,3,227,0.03,3305.81
Terni,337,25/01/2021,1,7460,0,227,0.03,3306.25
Terni,338,26/01/2021,8,7468,0,227,0.03,3309.8
Terni,339,27/01/2021,28,7496,2,229,0.031,3322.21
Terni,340,28/01/2021,42,7538,0,229,0.03,3340.82
Terni,341,29/01/2021,28,7566,0,229,0.03,3353.23
Terni,342,30/01/2021,33,7599,1,230,0.03,3367.86
Terni,343,31/01/2021,51,7650,0,230,0.03,3390.46
Terni,344,01/02/2021,2,7652,1,231,0.03,3391.35
Terni,345,02/02/2021,9,7661,4,235,0.031,3395.34
Terni,346,03/02/2021,26,7687,0,235,0.031,3406.86
