Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Aosta,1,2020-02-24,0,0,0,0,0.0,0.0
Aosta,2,2020-02-25,0,0,0,0,0.0,0.0
Aosta,3,2020-02-26,0,0,0,0,0.0,0.0
Aosta,4,2020-02-27,0,0,0,0,0.0,0.0
Aosta,5,2020-02-28,0,0,0,0,0.0,0.0
Aosta,6,2020-02-29,0,0,0,0,0.0,0.0
Aosta,7,2020-03-01,0,0,0,0,0.0,0.0
Aosta,8,2020-03-02,0,0,0,0,0.0,0.0
Aosta,9,2020-03-03,0,0,0,0,0.0,0.0
Aosta,10,2020-03-04,0,0,0,0,0.0,0.0
Aosta,11,2020-03-05,2,2,0,0,0.0,1.5915203794184598
Aosta,12,2020-03-06,5,7,0,0,0.0,5.570321327964599
Aosta,13,2020-03-07,1,8,0,0,0.0,6.3660815176738295
Aosta,14,2020-03-08,1,9,0,0,0.0,7.16184170738306
Aosta,15,2020-03-09,6,15,0,0,0.0,11.936402845638401
Aosta,16,2020-03-10,2,17,0,0,0.0,13.5279232250569
Aosta,17,2020-03-11,3,20,1,1,0.05,15.915203794184599
Aosta,18,2020-03-12,7,27,0,1,0.037037037037037,21.485525122149202
Aosta,19,2020-03-13,1,28,0,1,0.0357142857142857,22.281285311858397
Aosta,20,2020-03-14,14,42,0,1,0.0238095238095238,33.4219279677876
Aosta,21,2020-03-15,15,57,0,1,0.0175438596491228,45.3583308134261
Aosta,22,2020-03-16,48,105,1,2,0.0190476190476191,83.5548199194691
Aosta,23,2020-03-17,31,136,0,2,0.0147058823529412,108.22338580045499
Aosta,24,2020-03-18,29,165,1,3,0.0181818181818182,131.300431302023
Aosta,25,2020-03-19,50,215,3,6,0.027906976744186004,171.088440787484
Aosta,26,2020-03-20,49,264,1,7,0.0265151515151515,210.08069008323602
Aosta,27,2020-03-21,49,313,1,8,0.0255591054313099,249.072939378989
Aosta,28,2020-03-22,51,364,1,9,0.0247252747252747,289.656709054159
Aosta,29,2020-03-23,29,393,3,12,0.0305343511450382,312.733754555727
Aosta,30,2020-03-24,7,400,7,19,0.0475,318.304075883692
Aosta,31,2020-03-25,1,401,5,24,0.0598503740648379,319.099836073401
Aosta,32,2020-03-26,7,408,4,28,0.0686274509803922,324.670157401366
Aosta,33,2020-03-27,44,452,9,37,0.081858407079646,359.683605748572
Aosta,34,2020-03-28,59,511,4,41,0.0802348336594912,406.633456941416
Aosta,35,2020-03-29,73,584,2,43,0.0736301369863014,464.72395079019
Aosta,36,2020-03-30,0,584,7,50,0.0856164383561644,464.72395079019
Aosta,37,2020-03-31,44,628,6,56,0.08917197452229303,499.73739913739604
Aosta,38,2020-04-01,3,631,3,59,0.0935023771790808,502.124679706524
Aosta,39,2020-04-02,37,668,4,63,0.094311377245509,531.567806725765
Aosta,40,2020-04-03,51,719,7,70,0.0973574408901252,572.1515764009359
Aosta,41,2020-04-04,29,748,12,82,0.109625668449198,595.2286219025029
Aosta,42,2020-04-05,34,782,9,91,0.116368286445013,622.2844683526171
Aosta,43,2020-04-06,23,805,5,96,0.119254658385093,640.5869527159299
Aosta,44,2020-04-07,30,835,4,100,0.119760479041916,664.459758407206
Aosta,45,2020-04-08,15,850,2,102,0.12,676.396161252845
Aosta,46,2020-04-09,18,868,3,105,0.120967741935484,690.7198446676109
Aosta,47,2020-04-10,11,879,2,107,0.121729237770193,699.4732067544119
Aosta,48,2020-04-11,23,902,0,107,0.118625277161863,717.775691117725
Aosta,49,2020-04-12,19,921,5,112,0.121606948968512,732.8951347222
Aosta,50,2020-04-13,6,927,3,115,0.124056094929881,737.6696958604559
Aosta,51,2020-04-14,20,947,3,118,0.124604012671594,753.58489965464
Aosta,52,2020-04-15,11,958,3,121,0.126304801670146,762.338261741442
Aosta,53,2020-04-16,13,971,1,122,0.125643666323378,772.683144207662
Aosta,54,2020-04-17,22,993,1,123,0.123867069486405,790.189868381265
Aosta,55,2020-04-18,80,1073,1,124,0.115563839701771,853.850683558003
Aosta,56,2020-04-19,15,1088,1,125,0.11488970588235302,865.7870864036411
Aosta,57,2020-04-20,0,1088,2,127,0.11672794117647098,865.7870864036411
Aosta,58,2020-04-21,5,1093,-1,126,0.115279048490393,869.765887352188
Aosta,59,2020-04-22,2,1095,1,127,0.11598173515981698,871.357407731606
Aosta,60,2020-04-23,1,1096,0,127,0.115875912408759,872.153167921315
Aosta,61,2020-04-24,4,1100,2,129,0.117272727272727,875.336208680152
Aosta,62,2020-04-25,0,1100,1,130,0.118181818181818,875.336208680152
Aosta,63,2020-04-26,6,1106,1,131,0.11844484629294802,880.110769818408
Aosta,64,2020-04-27,5,1111,2,133,0.11971197119712,884.089570766954
Aosta,65,2020-04-28,8,1119,2,135,0.120643431635389,890.455652284627
Aosta,66,2020-04-29,5,1124,2,137,0.121886120996441,894.4344532331737
Aosta,67,2020-04-30,4,1128,0,137,0.12145390070922,897.617493992011
Aosta,68,2020-05-01,5,1133,0,137,0.120917917034422,901.596294940557
Aosta,69,2020-05-02,3,1136,0,137,0.120598591549296,903.983575509684
Aosta,70,2020-05-03,6,1142,1,138,0.120840630472855,908.7581366479401
Aosta,71,2020-05-04,1,1143,1,139,0.12160979877515304,909.553896837649
Aosta,72,2020-05-05,0,1143,0,139,0.12160979877515304,909.553896837649
Aosta,73,2020-05-06,3,1146,0,139,0.121291448516579,911.941177406777
Aosta,74,2020-05-07,4,1150,0,139,0.120869565217391,915.124218165614
Aosta,75,2020-05-08,1,1151,0,139,0.120764552562989,915.919978355323
Aosta,76,2020-05-09,1,1152,0,139,0.12065972222222195,916.7157385450321
Aosta,77,2020-05-10,5,1157,0,139,0.120138288677615,920.6945394935781
Aosta,78,2020-05-11,1,1158,0,139,0.120034542314335,921.490299683287
Aosta,79,2020-05-12,2,1160,1,140,0.120689655172414,923.081820062706
Aosta,80,2020-05-13,3,1163,1,141,0.121238177128117,925.469100631834
Aosta,81,2020-05-14,3,1166,0,141,0.120926243567753,927.856381200961
Aosta,82,2020-05-15,6,1172,1,142,0.12116040955631402,932.6309423392172
Aosta,83,2020-05-16,1,1173,0,142,0.121057118499574,933.426702528926
Aosta,84,2020-05-17,0,1173,1,143,0.121909633418585,933.426702528926
Aosta,85,2020-05-18,1,1174,0,143,0.121805792163543,934.2224627186348
Aosta,86,2020-05-19,1,1175,0,143,0.121702127659574,935.018222908344
Aosta,87,2020-05-20,0,1175,0,143,0.121702127659574,935.018222908344
Aosta,88,2020-05-21,1,1176,0,143,0.121598639455782,935.813983098054
Aosta,89,2020-05-22,1,1177,0,143,0.13159863945578198,936.813983098054
Aosta,90,2020-05-23,0,1177,0,143,0.141598639455782,937.813983098054
Aosta,91,2020-05-24,1,1178,0,143,0.15159863945578195,938.813983098054
Aosta,92,2020-05-25,1,1179,0,143,0.12128922815945695,938.2012636671808
Aosta,93,2020-05-26,2,1181,0,143,0.12108382726503,939.7927840466
Aosta,94,2020-05-27,0,1181,0,143,0.12108382726503,939.7927840466
Aosta,95,2020-05-28,1,1182,0,143,0.120981387478849,940.5885442363092
Aosta,96,2020-05-29,0,1182,0,143,0.120981387478849,940.5885442363092
Aosta,97,2020-05-30,1,1183,0,143,0.120879120879121,941.384304426018
