Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Rovigo,1,24/02/2020,0,0,0,0,0,0
Rovigo,2,25/02/2020,0,0,0,0,0,0
Rovigo,3,26/02/2020,0,0,0,0,0,0
Rovigo,4,27/02/2020,0,0,0,0,0,0
Rovigo,5,28/02/2020,0,0,0,0,0,0
Rovigo,6,29/02/2020,0,0,0,0,0,0
Rovigo,7,01/03/2020,0,0,0,0,0,0
Rovigo,8,02/03/2020,0,0,0,0,0,0
Rovigo,9,03/03/2020,1,1,0,0,0,0.43
Rovigo,10,04/03/2020,3,4,0,0,0,1.7
Rovigo,11,05/03/2020,1,5,0,0,0,2.13
Rovigo,12,06/03/2020,0,5,0,0,0,2.13
Rovigo,13,07/03/2020,0,5,0,0,0,2.13
Rovigo,14,08/03/2020,0,5,0,0,0,2.13
Rovigo,15,09/03/2020,2,7,0,0,0,2.98
Rovigo,16,10/03/2020,3,10,0,0,0,4.26
Rovigo,17,11/03/2020,4,14,0,0,0,5.96
Rovigo,18,12/03/2020,-1,13,0,0,0,5.53
Rovigo,19,13/03/2020,3,16,0,0,0,6.81
Rovigo,20,14/03/2020,11,27,0,0,0,11.49
Rovigo,21,15/03/2020,0,27,0,0,0,11.49
Rovigo,22,16/03/2020,0,27,0,0,0,11.49
Rovigo,23,17/03/2020,1,28,0,0,0,11.92
Rovigo,24,18/03/2020,5,33,0,0,0,14.05
Rovigo,25,19/03/2020,19,52,0,0,0,22.13
Rovigo,26,20/03/2020,15,67,0,0,0,28.52
Rovigo,27,21/03/2020,1,68,0,0,0,28.94
Rovigo,28,22/03/2020,8,76,0,0,0,32.35
Rovigo,29,23/03/2020,4,80,0,0,0,34.05
Rovigo,30,24/03/2020,2,82,0,0,0,34.9
Rovigo,31,25/03/2020,5,87,0,0,0,37.03
Rovigo,32,26/03/2020,23,110,0,0,0,46.82
Rovigo,33,27/03/2020,12,122,0,0,0,51.93
Rovigo,34,28/03/2020,0,122,0,0,0,51.93
Rovigo,35,29/03/2020,3,125,0,0,0,53.21
Rovigo,36,30/03/2020,6,131,0,0,0,55.76
Rovigo,37,31/03/2020,5,136,0,0,0,57.89
Rovigo,38,01/04/2020,4,140,0,0,0,59.59
Rovigo,39,02/04/2020,12,152,0,0,0,64.7
