Province,Day,Date,New_cases,Curr_pos_cases,Deaths,Tot_deaths,Lethality_rate,Cumul_rates
Vicenza,1,24/02/2020,0,0,0,0,0,0
Vicenza,2,25/02/2020,0,0,0,0,0,0
Vicenza,3,26/02/2020,0,0,0,0,0,0
Vicenza,4,27/02/2020,3,3,0,0,0,0.35
Vicenza,5,28/02/2020,0,3,0,0,0,0.35
Vicenza,6,29/02/2020,0,3,0,0,0,0.35
Vicenza,7,01/03/2020,0,3,0,0,0,0.35
Vicenza,8,02/03/2020,0,3,0,0,0,0.35
Vicenza,9,03/03/2020,2,5,0,0,0,0.58
Vicenza,10,04/03/2020,5,10,0,0,0,1.16
Vicenza,11,05/03/2020,9,19,0,0,0,2.2
Vicenza,12,06/03/2020,5,24,0,0,0,2.78
Vicenza,13,07/03/2020,13,37,0,0,0,4.29
Vicenza,14,08/03/2020,13,50,0,0,0,5.8
Vicenza,15,09/03/2020,3,53,0,0,0,6.15
Vicenza,16,10/03/2020,20,73,0,0,0,8.46
Vicenza,17,11/03/2020,19,92,0,0,0,10.67
Vicenza,18,12/03/2020,30,122,0,0,0,14.15
Vicenza,19,13/03/2020,19,141,0,0,0,16.35
Vicenza,20,14/03/2020,23,164,0,0,0,19.02
Vicenza,21,15/03/2020,71,235,0,0,0,27.25
Vicenza,22,16/03/2020,52,287,0,0,0,33.28
Vicenza,23,17/03/2020,38,325,0,0,0,37.68
Vicenza,24,18/03/2020,68,393,0,0,0,45.57
Vicenza,25,19/03/2020,31,424,0,0,0,49.16
Vicenza,26,20/03/2020,94,518,0,0,0,60.06
Vicenza,27,21/03/2020,54,572,0,0,0,66.33
Vicenza,28,22/03/2020,59,631,0,0,0,73.17
Vicenza,29,23/03/2020,60,691,0,0,0,80.12
Vicenza,30,24/03/2020,53,744,0,0,0,86.27
Vicenza,31,25/03/2020,80,824,0,0,0,95.55
Vicenza,32,26/03/2020,75,899,0,0,0,104.24
Vicenza,33,27/03/2020,67,966,0,0,0,112.01
Vicenza,34,28/03/2020,70,1036,0,0,0,120.13
Vicenza,35,29/03/2020,68,1104,0,0,0,128.01
Vicenza,36,30/03/2020,64,1168,0,0,0,135.43
Vicenza,37,31/03/2020,74,1242,0,0,0,144.01
Vicenza,38,01/04/2020,85,1327,0,0,0,153.87
Vicenza,39,02/04/2020,107,1434,0,0,0,166.28
Vicenza,40,03/04/2020,80,1514,0,0,0,175.55
Vicenza,41,04/04/2020,94,1608,0,0,0,186.45
Vicenza,42,05/04/2020,39,1647,0,0,0,190.97
Vicenza,43,06/04/2020,57,1704,0,0,0,197.58
Vicenza,44,07/04/2020,30,1734,0,0,0,201.06
Vicenza,45,08/04/2020,48,1782,0,0,0,206.63
Vicenza,46,09/04/2020,103,1885,0,0,0,218.57
Vicenza,47,10/04/2020,68,1953,0,0,0,226.46
Vicenza,48,11/04/2020,56,2009,0,0,0,232.95
Vicenza,49,12/04/2020,46,2055,0,0,0,238.28
Vicenza,50,13/04/2020,25,2080,0,0,0,241.18
Vicenza,51,14/04/2020,9,2089,0,0,0,242.23
Vicenza,52,15/04/2020,47,2136,0,0,0,247.68
Vicenza,53,16/04/2020,34,2170,0,0,0,251.62
Vicenza,54,17/04/2020,30,2200,0,0,0,255.1
Vicenza,55,18/04/2020,96,2296,0,0,0,266.23
Vicenza,56,19/04/2020,43,2339,7,7,0,271.21
Vicenza,57,20/04/2020,40,2379,1,8,0,275.85
Vicenza,58,21/04/2020,11,2390,7,15,0.01,277.13
Vicenza,59,22/04/2020,43,2433,3,18,0.01,282.11
Vicenza,60,23/04/2020,21,2454,3,21,0.01,284.55
Vicenza,61,24/04/2020,29,2483,5,26,0.01,287.91
Vicenza,62,25/04/2020,53,2536,22,48,0.02,294.06
Vicenza,63,26/04/2020,18,2554,5,53,0.02,296.14
Vicenza,64,27/04/2020,17,2571,2,55,0.02,298.12
Vicenza,65,28/04/2020,25,2596,6,61,0.02,301.01
Vicenza,66,29/04/2020,20,2616,7,68,0.03,303.33
Vicenza,67,30/04/2020,28,2644,149,217,0.08,306.58
Vicenza,68,01/05/2020,36,2680,1,218,0.08,310.75
Vicenza,69,02/05/2020,21,2701,2,220,0.08,313.19
Vicenza,70,03/05/2020,12,2713,6,226,0.08,314.58
Vicenza,71,04/05/2020,6,2719,4,230,0.09,315.28
Vicenza,72,05/05/2020,3,2722,2,232,0.09,315.62
Vicenza,73,06/05/2020,10,2732,4,236,0.09,316.78
Vicenza,74,07/05/2020,11,2743,2,238,0.09,318.06
Vicenza,75,08/05/2020,5,2748,25,263,0.1,318.64
Vicenza,76,09/05/2020,8,2756,1,264,0.1,319.57
Vicenza,77,10/05/2020,16,2772,2,266,0.1,321.42
Vicenza,78,11/05/2020,1,2773,3,269,0.1,321.54
Vicenza,79,12/05/2020,14,2787,3,272,0.1,323.16
Vicenza,80,13/05/2020,2,2789,10,282,0.1,323.39
Vicenza,81,14/05/2020,6,2795,6,288,0.1,324.09
Vicenza,82,15/05/2020,13,2808,0,288,0.1,325.6
Vicenza,83,16/05/2020,6,2814,0,288,0.1,326.29
Vicenza,84,17/05/2020,2,2816,1,289,0.1,326.52
Vicenza,85,18/05/2020,2,2818,3,292,0.1,326.76
Vicenza,86,19/05/2020,6,2824,2,294,0.1,327.45
Vicenza,87,20/05/2020,6,2830,0,294,0.1,328.15
Vicenza,88,21/05/2020,1,2831,2,296,0.1,328.26
Vicenza,89,22/05/2020,1,2832,5,301,0.11,328.38
Vicenza,90,23/05/2020,0,2832,5,306,0.11,328.38
Vicenza,91,24/05/2020,2,2834,0,306,0.11,328.61
Vicenza,92,25/05/2020,0,2834,0,306,0.11,328.61
Vicenza,93,26/05/2020,1,2835,0,306,0.11,328.73
Vicenza,94,27/05/2020,4,2839,2,308,0.11,329.19
Vicenza,95,28/05/2020,4,2843,0,308,0.11,329.65
Vicenza,96,29/05/2020,2,2845,2,310,0.11,329.89
Vicenza,97,30/05/2020,0,2845,5,315,0.11,329.89
Vicenza,98,31/05/2020,1,2846,0,315,0.11,330
Vicenza,99,01/06/2020,0,2846,0,315,0.11,330
Vicenza,100,02/06/2020,3,2849,0,315,0.11,330.35
Vicenza,101,03/06/2020,0,2849,0,315,0.11,330.35
Vicenza,102,04/06/2020,-1,2848,4,319,0.11,330.23
Vicenza,103,05/06/2020,3,2851,0,319,0.11,330.58
Vicenza,104,06/06/2020,0,2851,1,320,0.11,330.58
Vicenza,105,07/06/2020,1,2852,0,320,0.11,330.7
Vicenza,106,08/06/2020,0,2852,1,321,0.11,330.7
Vicenza,107,09/06/2020,0,2852,0,321,0.11,330.7
Vicenza,108,10/06/2020,0,2852,0,321,0.11,330.7
Vicenza,109,11/06/2020,3,2855,1,322,0.11,331.05
Vicenza,110,12/06/2020,0,2855,0,322,0.11,331.05
Vicenza,111,13/06/2020,0,2855,6,328,0.12,331.05
Vicenza,112,14/06/2020,0,2855,0,328,0.12,331.05
Vicenza,113,15/06/2020,0,2855,0,328,0.12,331.05
Vicenza,114,16/06/2020,0,2855,0,328,0.12,331.05
Vicenza,115,17/06/2020,0,2855,1,329,0.12,331.05
Vicenza,116,18/06/2020,1,2856,2,331,0.12,331.16
Vicenza,117,19/06/2020,0,2856,1,332,0.12,331.16
Vicenza,118,20/06/2020,0,2856,3,335,0.12,331.16
Vicenza,119,21/06/2020,2,2858,0,335,0.12,331.39
Vicenza,120,22/06/2020,0,2858,0,335,0.12,331.39
Vicenza,121,23/06/2020,1,2859,0,335,0.12,331.51
Vicenza,122,24/06/2020,1,2860,0,335,0.12,331.63
Vicenza,123,25/06/2020,-1,2859,0,335,0.12,331.51
Vicenza,124,26/06/2020,3,2862,0,335,0.12,331.86
Vicenza,125,27/06/2020,0,2862,0,335,0.12,331.86
Vicenza,126,28/06/2020,2,2864,0,335,0.12,332.09
Vicenza,127,29/06/2020,1,2865,0,335,0.12,332.21
Vicenza,128,30/06/2020,1,2866,3,338,0.12,332.32
Vicenza,129,01/07/2020,1,2867,6,344,0.12,332.44
Vicenza,130,02/07/2020,3,2870,0,344,0.12,332.79
Vicenza,131,03/07/2020,0,2870,0,344,0.12,332.79
Vicenza,132,04/07/2020,1,2871,0,344,0.12,332.9
Vicenza,133,05/07/2020,2,2873,0,344,0.12,333.13
Vicenza,134,06/07/2020,0,2873,0,344,0.12,333.13
Vicenza,135,07/07/2020,0,2873,1,345,0.12,333.13
Vicenza,136,08/07/2020,0,2873,0,345,0.12,333.13
Vicenza,137,09/07/2020,1,2874,1,346,0.12,333.25
Vicenza,138,10/07/2020,2,2876,2,348,0.12,333.48
Vicenza,139,11/07/2020,0,2876,0,348,0.12,333.48
Vicenza,140,12/07/2020,2,2878,0,348,0.12,333.71
Vicenza,141,13/07/2020,0,2878,0,348,0.12,333.71
Vicenza,142,14/07/2020,1,2879,1,349,0.12,333.83
Vicenza,143,15/07/2020,2,2881,0,349,0.12,334.06
Vicenza,144,16/07/2020,1,2882,0,349,0.12,334.18
Vicenza,145,17/07/2020,0,2882,0,349,0.12,334.18
Vicenza,146,18/07/2020,1,2883,0,349,0.12,334.29
Vicenza,147,19/07/2020,0,2883,0,349,0.12,334.29
Vicenza,148,20/07/2020,1,2884,0,349,0.12,334.41
Vicenza,149,21/07/2020,1,2885,1,350,0.12,334.52
Vicenza,150,22/07/2020,1,2886,1,351,0.12,334.64
Vicenza,151,23/07/2020,-2,2884,1,352,0.12,334.41
Vicenza,152,24/07/2020,3,2887,0,352,0.12,334.76
Vicenza,153,25/07/2020,2,2889,0,352,0.12,334.99
Vicenza,154,26/07/2020,1,2890,0,352,0.12,335.1
Vicenza,155,27/07/2020,9,2899,0,352,0.12,336.15
Vicenza,156,28/07/2020,5,2904,2,354,0.12,336.73
Vicenza,157,29/07/2020,5,2909,2,356,0.12,337.31
Vicenza,158,30/07/2020,2,2911,0,356,0.12,337.54
Vicenza,159,31/07/2020,4,2915,1,357,0.12,338
Vicenza,160,01/08/2020,1,2916,0,357,0.12,338.12
Vicenza,161,02/08/2020,4,2920,0,357,0.12,338.58
Vicenza,162,03/08/2020,0,2920,0,357,0.12,338.58
Vicenza,163,04/08/2020,2,2922,0,357,0.12,338.81
Vicenza,164,05/08/2020,3,2925,0,357,0.12,339.16
Vicenza,165,06/08/2020,6,2931,0,357,0.12,339.86
Vicenza,166,07/08/2020,6,2937,0,357,0.12,340.55
Vicenza,167,08/08/2020,3,2940,3,360,0.12,340.9
Vicenza,168,09/08/2020,8,2948,0,360,0.12,341.83
Vicenza,169,10/08/2020,0,2948,0,360,0.12,341.83
Vicenza,170,11/08/2020,4,2952,0,360,0.12,342.29
Vicenza,171,12/08/2020,3,2955,1,361,0.12,342.64
Vicenza,172,13/08/2020,11,2966,2,363,0.12,343.92
Vicenza,173,14/08/2020,10,2976,1,364,0.12,345.08
Vicenza,174,15/08/2020,10,2986,0,364,0.12,346.24
Vicenza,175,16/08/2020,5,2991,0,364,0.12,346.82
Vicenza,176,17/08/2020,6,2997,0,364,0.12,347.51
Vicenza,177,18/08/2020,6,3003,0,364,0.12,348.21
Vicenza,178,19/08/2020,7,3010,0,364,0.12,349.02
Vicenza,179,20/08/2020,12,3022,0,364,0.12,350.41
