Province;Day;Date;New_cases;Curr_pos_cases;Deaths;Tot_deaths;Lethality_rate;Cumul_rates;;
Cremona;1;2020-02-24;0;0;0;1;0,000%;0,0;;
Cremona;2;2020-02-25;0;53;0;1;0,000%;14,7;;
Cremona;3;2020-02-26;4;57;0;1;0,000%;15,8;;
Cremona;4;2020-02-27;34;91;0;1;0,000%;25,2;;
Cremona;5;2020-02-28;32;123;1;2;0,000%;34,1;;
Cremona;6;2020-02-29;13;136;0;2;0,000%;37,7;;
Cremona;7;2020-03-01;78;214;0;2;0,935%;59,4;;
Cremona;8;2020-03-02;9;223;1;3;1,345%;61,9;;
Cremona;9;2020-03-03;64;287;2;5;1,742%;79,6;;
Cremona;10;2020-03-04;46;333;4;9;2,703%;92,4;;
Cremona;11;2020-03-05;73;406;4;13;3,202%;112,6;;
Cremona;12;2020-03-06;46;452;4;17;3,761%;125,4;;
Cremona;13;2020-03-07;110;562;10;27;4,804%;155,9;;
Cremona;14;2020-03-08;103;665;8;35;5,263%;184,5;;
Cremona;15;2020-03-09;251;916;9;44;4,803%;254,1;;
Cremona;16;2020-03-10;41;957;32;76;7,941%;265,5;;
Cremona;17;2020-03-11;104;1061;11;87;8,200%;294,4;;
Cremona;18;2020-03-12;241;1302;14;101;7,757%;361,2;;
Cremona;19;2020-03-13;42;1344;6;107;7,961%;372,9;;
Cremona;20;2020-03-14;312;1656;6;113;6,824%;459,4;;
Cremona;21;2020-03-15;136;1792;14;127;7,087%;497,2;;
Cremona;22;2020-03-16;89;1881;24;151;8,028%;521,9;;
Cremona;23;2020-03-17;192;2073;19;170;8,201%;575,1;;
Cremona;24;2020-03-18;94;2167;28;198;9,137%;601,2;;
Cremona;25;2020-03-19;119;2286;19;217;9,493%;634,2;;
Cremona;26;2020-03-20;106;2392;36;253;10,577%;663,6;;
Cremona;27;2020-03-21;341;2733;47;300;10,977%;758,2;;
Cremona;28;2020-03-22;162;2895;21;321;11,088%;803,2;;
